| People | Somalia |
| --- | --- |
| Population: | 8,591,629 |
| Population: | note: this estimate was derived from an official census taken in 1975 by the Somali Government; population counting in Somalia is complicated by the large number of nomads and by refugee movements in response to famine and clan warfare (July 2005 est.) |
| Age structure: | 0-14 years: 44.5% (male 1,918,209/female 1,905,974) |
| Age structure: | 15-64 years: 52.9% (male 2,278,406/female 2,263,602) |
| Age structure: | 65 years and over: 2.6% (male 96,256/female 129,182) (2005 est.) |
| Median age: | total: 17.59 years |
| Median age: | male: 17.53 years |
| Median age: | female: 17.65 years (2005 est.) |
| Population growth rate: | 3.38% (2005 est.) |
| Birth rate: | 45.62 births/1,000 population (2005 est.) |
| Death rate: | 16.97 deaths/1,000 population (2005 est.) |
| Net migration rate: | 5.19 migrant(s)/1,000 population (2005 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.74 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2005 est.) |
| Infant mortality rate: | total: 116.7 deaths/1,000 live births |
| Infant mortality rate: | male: 126.06 deaths/1,000 live births |
| Infant mortality rate: | female: 107.06 deaths/1,000 live births (2005 est.) |
| Life expectancy at birth: | total population: 48.09 years |
| Life expectancy at birth: | male: 46.36 years |
| Life expectancy at birth: | female: 49.87 years (2005 est.) |
| Total fertility rate: | 6.84 children born/woman (2005 est.) |
| HIV/AIDS - adult prevalence rate: | 1% (2001 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 43,000 (2001 est.) |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever are high risks in some locations |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2004) |
| Nationality: | noun: Somali(s) |
| Nationality: | adjective: Somali |
| Ethnic groups: | Somali 85%, Bantu and other non-Somali 15% (including Arabs 30,000) |
| Religions: | Sunni Muslim |
| Languages: | Somali (official), Arabic, Italian, English |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 37.8% |
| Literacy: | male: 49.7% |
| Literacy: | female: 25.8% (2001 est.) |
