| People and Society | SOMALIA |
| --- | --- |
| Population: | 10,817,354 |
| Population: | note: this estimate was derived from an official census taken in 1975 by the Somali Government; population counting in Somalia is complicated by the large number of nomads and by refugee movements in response to famine and clan warfare (July 2016 est.) |
| Nationality: | noun: Somali(s) |
| Nationality: | adjective: Somali |
| Ethnic groups: | Somali 85%, Bantu and other non-Somali 15% (including 30,000 Arabs) |
| Languages: | Somali (official), Arabic (official, according to the Transitional Federal Charter), Italian, English |
| Religions: | Sunni Muslim (Islam) (official, according to the Transitional Federal Charter) |
| Demographic profile: | Somalia scores very low for most humanitarian indicators, suffering from poor governance, protracted internal conflict, underdevelopment, economic decline, poverty, social and gender inequality, and environmental degradation. Despite civil war and famine raising its mortality rate, Somalia’s high fertility rate and large proportion of people of reproductive age maintain rapid population growth, with each generation being larger than the prior one. More than 60% of Somalia’s population is younger than 25, and the fertility rate is among the world’s highest at almost 6 children per woman – a rate that has decreased little since the 1970s. |
| Demographic profile: | A lack of educational and job opportunities is a major source of tension for Somalia’s large youth cohort, making them vulnerable to recruitment by extremist and pirate groups. Somalia has one of the world’s lowest primary school enrollment rates – just over 40% of children are in school – and one of world’s highest youth unemployment rates. Life expectancy is low as a result of high infant and maternal mortality rates, the spread of preventable diseases, poor sanitation, chronic malnutrition, and inadequate health services. |
| Demographic profile: | During the two decades of conflict that followed the fall of the SIAD regime in 1991, hundreds of thousands of Somalis fled their homes. Today Somalia is the world’s third highest source country for refugees, after Syria and Afghanistan. Insecurity, drought, floods, food shortages, and a lack of economic opportunities are the driving factors. |
| Demographic profile: | As of 2016, more than 1.1 million Somali refugees were hosted in the region, mainly in Kenya, Yemen, Egypt, Ethiopia, Djibouti, and Uganda, while more than 1.1 million Somalis were internally displaced. Since the implementation of a tripartite voluntary repatriation agreement among Kenya, Somalia, and the UNHCR in 2013, more than 24,000 Somali refugees have returned home from Kenya’s Dadaab refugee camp – home to more than 300,000 Somalis. The flow has sped up rapidly since May 2016, when the Kenyan Government announced its intention to close the camp, worsening security and humanitarian conditions in receiving communities in south-central Somalia. Despite the conflict in Yemen, thousands of Somalis and other refugees and asylum seekers from the Horn of Africa risk their lives crossing the Gulf of Aden to reach Yemen and beyond (often Saudi Arabia). Bossaso in Puntland overtook Obock, Djibouti, as the primary departure point in mid-2014. |
| Age structure: | 0-14 years: 43.42% (male 2,345,536/female 2,351,886) |
| Age structure: | 15-24 years: 18.87% (male 1,031,804/female 1,009,831) |
| Age structure: | 25-54 years: 31.47% (male 1,762,093/female 1,641,699) |
| Age structure: | 55-64 years: 4.02% (male 213,259/female 221,520) |
| Age structure: | 65 years and over: 2.22% (male 92,966/female 146,760) (2016 est.) |
| Dependency ratios: | total dependency ratio: 98.1% |
| Dependency ratios: | youth dependency ratio: 92.5% |
| Dependency ratios: | elderly dependency ratio: 5.6% |
| Dependency ratios: | potential support ratio: 17.9% (2015 est.) |
| Median age: | total: 17.9 years |
| Median age: | male: 18.1 years |
| Median age: | female: 17.8 years (2016 est.) |
| Population growth rate: | 1.92% (2016 est.) |
| Birth rate: | 40 births/1,000 population (2016 est.) |
| Death rate: | 13.3 deaths/1,000 population (2016 est.) |
| Net migration rate: | -7.5 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 39.6% of total population (2015) |
| Urbanization: | rate of urbanization: 4.06% annual rate of change (2010-15 est.) |
