| People | Somalia |
| --- | --- |
| Population: | 9,558,666 |
| Population: | note: this estimate was derived from an official census taken in 1975 by the Somali Government; population counting in Somalia is complicated by the large number of nomads and by refugee movements in response to famine and clan warfare (July 2008 est.) |
| Age structure: | 0-14 years: 44.7% (male 2,143,758/female 2,132,869) |
| Age structure: | 15-64 years: 52.8% (male 2,525,562/female 2,516,879) |
| Age structure: | 65 years and over: 2.5% (male 100,655/female 138,943) (2008 est.) |
| Median age: | total: 17.5 years |
| Median age: | male: 17.4 years |
| Median age: | female: 17.6 years (2008 est.) |
| Population growth rate: | 2.824% (2008 est.) |
| Birth rate: | 44.12 births/1,000 population (2008 est.) |
| Death rate: | 15.89 deaths/1,000 population (2008 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2008 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1 male(s)/female |
| Sex ratio: | 15-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.72 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2008 est.) |
| Infant mortality rate: | total: 110.97 deaths/1,000 live births |
| Infant mortality rate: | male: 120.17 deaths/1,000 live births |
| Infant mortality rate: | female: 101.5 deaths/1,000 live births (2008 est.) |
| Life expectancy at birth: | total population: 49.25 years |
| Life expectancy at birth: | male: 47.43 years |
| Life expectancy at birth: | female: 51.12 years (2008 est.) |
| Total fertility rate: | 6.6 children born/woman (2008 est.) |
| HIV/AIDS - adult prevalence rate: | 1% (2001 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 43,000 (2001 est.) |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, and Rift Valley fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2008) |
| Nationality: | noun: Somali(s) |
| Nationality: | adjective: Somali |
| Ethnic groups: | Somali 85%, Bantu and other non-Somali 15% (including Arabs 30,000) |
| Religions: | Sunni Muslim |
| Languages: | Somali (official), Arabic, Italian, English |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 37.8% |
| Literacy: | male: 49.7% |
| Literacy: | female: 25.8% (2001 est.) |
| Education expenditures: | NA |
