| People and Society | SOMALIA |
| --- | --- |
| Nationality: | noun: Somali(s) |
| Nationality: | adjective: Somali |
| Ethnic groups: | Somali 85%, Bantu and other non-Somali 15% (including 30,000 Arabs) |
| Languages: | Somali (official), Arabic (official, according to the Transitional Federal Charter), Italian, English |
| Religions: | Sunni Muslim (Islam) (official, according to the Transitional Federal Charter) |
| Population: | 10,616,380 |
| Population: | note: this estimate was derived from an official census taken in 1975 by the Somali Government; population counting in Somalia is complicated by the large number of nomads and by refugee movements in response to famine and clan warfare (July 2015 est.) |
| Age structure: | 0-14 years: 43.72% (male 2,317,935/female 2,323,681) |
| Age structure: | 15-24 years: 18.85% (male 1,012,447/female 988,251) |
| Age structure: | 25-54 years: 31.36% (male 1,722,230/female 1,607,117) |
| Age structure: | 55-64 years: 3.83% (male 196,664/female 209,983) |
| Age structure: | 65 years and over: 2.24% (male 92,658/female 145,414) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 98.1% |
| population pyramid: | youth dependency ratio: 92.5% |
| population pyramid: | elderly dependency ratio: 5.6% |
| population pyramid: | potential support ratio: 17.9% (2015 est.) |
| Median age: | total: 17.8 years |
| Median age: | male: 18 years |
| Median age: | female: 17.7 years (2015 est.) |
| Population growth rate: | 1.83% (2015 est.) |
| Birth rate: | 40.45 births/1,000 population (2015 est.) |
| Death rate: | 13.62 deaths/1,000 population (2015 est.) |
| Net migration rate: | -8.49 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 39.6% of total population (2015) |
| Urbanization: | rate of urbanization: 4.06% annual rate of change (2010-15 est.) |
| Major urban areas - population: | MOGADISHU (capital) 2.138 million; Hargeysa 760,000 (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 1.07 male(s)/female |
| Sex ratio: | 55-64 years: 0.94 male(s)/female |
| Sex ratio: | 65 years and over: 0.64 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2015 est.) |
| Maternal mortality rate: | 732 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 98.39 deaths/1,000 live births |
| Infant mortality rate: | male: 107.07 deaths/1,000 live births |
| Infant mortality rate: | female: 89.45 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 51.96 years |
| Life expectancy at birth: | male: 49.93 years |
| Life expectancy at birth: | female: 54.06 years (2015 est.) |
| Total fertility rate: | 5.99 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 14.6% (2006) |
| Physicians density: | 0.04 physicians/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 69.6% of population |
| Drinking water source: | rural: 8.8% of population |
| Drinking water source: | total: 31.7% of population |
| unimproved: | urban: 30.4% of population |
| unimproved: | rural: 91.2% of population |
| unimproved: | total: 68.3% of population (2011 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 52% of population |
| Sanitation facility access: | rural: 6.3% of population |
| Sanitation facility access: | total: 23.6% of population |
| unimproved: | urban: 48% of population |
| unimproved: | rural: 93.7% of population |
| unimproved: | total: 76.4% of population (2011 est.) |
| HIV/AIDS - adult prevalence rate: | 0.55% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 34,900 (2014 est.) |
| HIV/AIDS - deaths: | 2,400 (2014 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, and Rift Valley fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 3.9% (2014) |
| Children under the age of 5 years underweight: | 32.8% (2006) |
| Education expenditures: | NA |
| Child labor - children ages 5-14: | total number: 1,148,265 |
| Child labor - children ages 5-14: | percentage: 49% (2006 est.) |
