| People and Society | Somalia |
| --- | --- |
| Nationality: | noun: Somali(s) |
| Nationality: | adjective: Somali |
| Ethnic groups: | Somali 85%, Bantu and other non-Somali 15% (including 30,000 Arabs) |
| Languages: | Somali (official), Arabic (official, according to the Transitional Federal Charter), Italian, English |
| Religions: | Sunni Muslim (Islam) (official, according to the Transitional Federal Charter) |
| Population: | 10,428,043 |
| Population: | note: this estimate was derived from an official census taken in 1975 by the Somali Government; population counting in Somalia is complicated by the large number of nomads and by refugee movements in response to famine and clan warfare (July 2014 est.) |
| Age structure: | 0-14 years: 44% (male 2,293,746/female 2,298,442) |
| Age structure: | 15-24 years: 18.9% (male 995,102/female 970,630) |
| Age structure: | 25-54 years: 31.2% (male 1,681,705/female 1,571,586) |
| Age structure: | 55-64 years: 3.6% (male 180,622/female 199,059) |
| Age structure: | 65 years and over: 2.3% (male 92,707/female 144,444) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 99.1 % |
| population pyramid: | youth dependency ratio: 93.4 % |
| population pyramid: | elderly dependency ratio: 5.6 % |
| population pyramid: | potential support ratio: 17.8 (2014 est.) |
| Median age: | total: 17.7 years |
| Median age: | male: 17.9 years |
| Median age: | female: 17.6 years (2014 est.) |
| Population growth rate: | 1.75% (2014 est.) |
| Birth rate: | 40.87 births/1,000 population (2014 est.) |
| Death rate: | 13.91 deaths/1,000 population (2014 est.) |
| Net migration rate: | -9.51 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 37.7% of total population (2011) |
| Urbanization: | rate of urbanization: 3.79% annual rate of change (2010-15 est.) |
| Major urban areas - population: | MOGADISHU (capital) 1.554 million (2011) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 1.07 male(s)/female |
| Sex ratio: | 55-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.66 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2014 est.) |
| Maternal mortality rate: | 1,000 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 100.14 deaths/1,000 live births |
| Infant mortality rate: | male: 108.89 deaths/1,000 live births |
| Infant mortality rate: | female: 91.12 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 51.58 years |
| Life expectancy at birth: | male: 49.58 years |
| Life expectancy at birth: | female: 53.65 years (2014 est.) |
| Total fertility rate: | 6.08 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 14.6% (2006) |
| Physicians density: | 0.04 physicians/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 69.6% of population |
| Drinking water source: | rural: 8.8% of population |
| Drinking water source: | total: 31.7% of population |
| unimproved: | urban: 30.4% of population |
| unimproved: | rural: 91.2% of population |
| unimproved: | total: 68.3% of population (2011 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 52% of population |
| Sanitation facility access: | rural: 6.3% of population |
| Sanitation facility access: | total: 23.6% of population |
| unimproved: | urban: 48% of population |
| unimproved: | rural: 93.7% of population |
| unimproved: | total: 76.4% of population (2011 est.) |
| HIV/AIDS - adult prevalence rate: | 0.5% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 31,200 (2012 est.) |
| HIV/AIDS - deaths: | 2,500 (2012 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, and Rift Valley fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 4.8% (2008) |
| Children under the age of 5 years underweight: | 32.8% (2006) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 37.8% |
| Literacy: | male: 49.7% |
| Literacy: | female: 25.8% (2001 est.) |
| Child labor - children ages 5-14: | total number: 1,148,265 |
| Child labor - children ages 5-14: | percentage: 49 % (2006 est.) |
