| People and Society | Somalia |
| --- | --- |
| Nationality: | noun: Somali(s) |
| Nationality: | adjective: Somali |
| Ethnic groups: | Somali 85%, Bantu and other non-Somali 15% (including 30,000 Arabs) |
| Languages: | Somali (official), Arabic, Italian, English |
| Religions: | Sunni Muslim |
| Population: | 9,925,640 (July 2011 est.) |
| Population: | note: this estimate was derived from an official census taken in 1975 by the Somali Government; population counting in Somalia is complicated by the large number of nomads and by refugee movements in response to famine and clan warfare |
| Age structure: | 0-14 years: 44.7% (male 2,217,890/female 2,217,063) |
| Age structure: | 15-64 years: 52.9% (male 2,663,729/female 2,588,716) |
| Age structure: | 65 years and over: 2.4% (male 95,859/female 142,383) (2011 est.) |
| Median age: | total: 17.8 years |
| Median age: | male: 17.8 years |
| Median age: | female: 17.7 years (2011 est.) |
| Population growth rate: | 1.603% (2011 est.) |
| Birth rate: | 42.71 births/1,000 population (2011 est.) |
| Death rate: | 14.87 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -11.81 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 37% of total population (2010) |
| Urbanization: | rate of urbanization: 4.1% annual rate of change (2010-15 est.) |
| Major cities - population: | MOGADISHU (capital) 1.353 million (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1 male(s)/female |
| Sex ratio: | 15-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.7 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2011 est.) |
| Maternal mortality rate: | 1,200 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 105.56 deaths/1,000 live births |
| Infant mortality rate: | male: 114.53 deaths/1,000 live births |
| Infant mortality rate: | female: 96.31 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 50.4 years |
| Life expectancy at birth: | male: 48.49 years |
| Life expectancy at birth: | female: 52.37 years (2011 est.) |
| Total fertility rate: | 6.35 children born/woman (2011 est.) |
| Physicians density: | 0.035 physicians/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 67% of population |
| Drinking water source: | rural: 9% of population |
| Drinking water source: | total: 30% of population |
| unimproved: | urban: 33% of population |
| unimproved: | rural: 91% of population |
| unimproved: | total: 70% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 52% of population |
| Sanitation facility access: | rural: 6% of population |
| Sanitation facility access: | total: 23% of population |
| unimproved: | urban: 48% of population |
| unimproved: | rural: 94% of population |
| unimproved: | total: 77% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 0.7% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 34,000 (2009 est.) |
| HIV/AIDS - deaths: | 1,600 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, and Rift Valley fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2009) |
| Children under the age of 5 years underweight: | 32.8% (2006) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 37.8% |
| Literacy: | male: 49.7% |
| Literacy: | female: 25.8% (2001 est.) |
| School life expectancy (primary to tertiary education): | total: 3 years |
| School life expectancy (primary to tertiary education): | male: 3 years |
| School life expectancy (primary to tertiary education): | female: 2 years (2007) |
