| People and Society | ARUBA |
| --- | --- |
| Nationality: | noun: Aruban(s) |
| Nationality: | adjective: Aruban; Dutch |
| Ethnic groups: | Dutch 82.1%, Colombian 6.6%, Venezuelan 2.2%, Dominican 2.2%, Haitian 1.2%, other 5.5%, unspecified 0.1% (2010 est.) |
| Languages: | Papiamento (official) (a Spanish-Portuguese-Dutch-English dialect) 69.4%, Spanish 13.7%, English (widely spoken) 7.1%, Dutch (official) 6.1%, Chinese 1.5%, other 1.7%, unspecified 0.4% (2010 est.) |
| Religions: | Roman Catholic 75.3%, Protestant 4.9% (includes Methodist .9%, Adventist .9%, Anglican .4%, other Protestant 2.7%), Jehovah's Witness 1.7%, other 12%, none 5.5%, unspecified 0.5% (2010 est.) |
| Population: | 112,162 (July 2015 est.) |
| Age structure: | 0-14 years: 17.69% (male 9,953/female 9,888) |
| Age structure: | 15-24 years: 13.27% (male 7,470/female 7,417) |
| Age structure: | 25-54 years: 42.59% (male 23,015/female 24,750) |
| Age structure: | 55-64 years: 13.73% (male 7,114/female 8,287) |
| Age structure: | 65 years and over: 12.72% (male 5,591/female 8,677) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 44% |
| population pyramid: | youth dependency ratio: 26.4% |
| population pyramid: | elderly dependency ratio: 17.6% |
| population pyramid: | potential support ratio: 5.7% (2015 est.) |
| Median age: | total: 39 years |
| Median age: | male: 37.1 years |
| Median age: | female: 40.8 years (2015 est.) |
| Population growth rate: | 1.33% (2015 est.) |
| Birth rate: | 12.56 births/1,000 population (2015 est.) |
| Death rate: | 8.18 deaths/1,000 population (2015 est.) |
| Net migration rate: | 8.92 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 41.5% of total population (2015) |
| Urbanization: | rate of urbanization: -0.28% annual rate of change (2010-15 est.) |
| Major urban areas - population: | ORANJESTAD (capital) 29,000 (2014) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 0.93 male(s)/female |
| Sex ratio: | 55-64 years: 0.86 male(s)/female |
| Sex ratio: | 65 years and over: 0.64 male(s)/female |
| Sex ratio: | total population: 0.9 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 11.37 deaths/1,000 live births |
| Infant mortality rate: | male: 14.94 deaths/1,000 live births |
| Infant mortality rate: | female: 7.74 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 76.56 years |
| Life expectancy at birth: | male: 73.5 years |
| Life expectancy at birth: | female: 79.68 years (2015 est.) |
| Total fertility rate: | 1.84 children born/woman (2015 est.) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98.1% of population |
| Drinking water source: | rural: 98.1% of population |
| Drinking water source: | total: 98.1% of population |
| unimproved: | urban: 1.9% of population |
| unimproved: | rural: 1.9% of population |
| unimproved: | total: 1.9% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 97.7% of population |
| Sanitation facility access: | rural: 97.7% of population |
| Sanitation facility access: | total: 97.7% of population |
| unimproved: | urban: 2.3% of population |
| unimproved: | rural: 2.3% of population |
| unimproved: | total: 2.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | 6% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 97.5% |
| Literacy: | male: 97.5% |
| Literacy: | female: 97.5% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2012) |
| Unemployment, youth ages 15-24: | total: 28.9% |
| Unemployment, youth ages 15-24: | male: 29.9% |
| Unemployment, youth ages 15-24: | female: 27.5% (2010 est.) |
