| People and Society | Aruba |
| --- | --- |
| Population: | 116,576 (July 2018 est.) |
| Nationality: | noun: Aruban(s) |
| Nationality: | adjective: Aruban; Dutch |
| Ethnic groups: | Aruban 66%, Colombian 9.1%, Dutch 4.3%, Dominican 4.1%, Venezuelan 3.2%, Cuacaoan 2.2%, Haitian 1.5%, Peruvian 1.1%, Chinese 1.1%, other 6.2% (2010 est.) |
| Ethnic groups: | note: data represent population by country of birth |
| Languages: | Papiamento (official) (a creole language that is a mixture of Portuguese, Spanish, Dutch, English, and, to a lesser extent, French, as well as elements of African languages and the language of the Arawak) 69.4%, Spanish 13.7%, English (widely spoken) 7.1%, Dutch (official) 6.1%, Chinese 1.5%, other 1.7%, unspecified 0.4% (2010 est.) |
| Religions: | Roman Catholic 75.3%, Protestant 4.9% (includes Methodist 0.9%, Adventist 0.9%, Anglican 0.4%, other Protestant 2.7%), Jehovah's Witness 1.7%, other 12%, none 5.5%, unspecified 0.5% (2010 est.) |
| Age structure: | 0-14 years: 17.61% (male 10,304 /female 10,227) |
| Age structure: | 15-24 years: 12.53% (male 7,355 /female 7,253) |
| Age structure: | 25-54 years: 41.29% (male 23,187 /female 24,946) |
| Age structure: | 55-64 years: 14.51% (male 7,910 /female 9,005) |
| Age structure: | 65 years and over: 14.06% (male 6,422 /female 9,967) (2018 est.) |
| Dependency ratios: | total dependency ratio: 44.6 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 27 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 17.5 (2015 est.) |
| Dependency ratios: | potential support ratio: 5.7 (2015 est.) |
| Median age: | total: 39.5 years |
| Median age: | male: 37.8 years |
| Median age: | female: 41.2 years (2018 est.) |
| Population growth rate: | 1.24% (2018 est.) |
| Birth rate: | 12.3 births/1,000 population (2018 est.) |
| Death rate: | 8.5 deaths/1,000 population (2018 est.) |
| Net migration rate: | 8.7 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | most residents live in or around Oranjestad and San Nicolaas; most settlments tend to be located on the less mountainous western side of the island |
| Urbanization: | urban population: 43.4% of total population (2018) |
| Urbanization: | rate of urbanization: 0.67% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 30,000 ORANJESTAD (capital) (2018) |
| Sex ratio: | at birth: 1.01 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.01 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.01 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 0.93 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.87 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.64 male(s)/female (2017 est.) |
| Sex ratio: | total population: 0.9 male(s)/female (2017 est.) |
| Infant mortality rate: | total: 10.4 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 13.6 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 7.2 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 77.1 years (2018 est.) |
| Life expectancy at birth: | male: 74.1 years (2018 est.) |
| Life expectancy at birth: | female: 80.3 years (2018 est.) |
| Total fertility rate: | 1.83 children born/woman (2018 est.) |
| Drinking water source: | improved: urban: 98.1% of population |
| Drinking water source: | rural: 98.1% of population |
| Drinking water source: | total: 98.1% of population |
| Drinking water source: | unimproved: urban: 1.9% of population |
| Drinking water source: | rural: 1.9% of population |
| Drinking water source: | total: 1.9% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 97.7% of population (2015 est.) |
| Sanitation facility access: | rural: 97.7% of population (2015 est.) |
| Sanitation facility access: | total: 97.7% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 2.3% of population (2015 est.) |
| Sanitation facility access: | rural: 2.3% of population (2015 est.) |
| Sanitation facility access: | total: 2.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus |
| Education expenditures: | 6.5% of GDP (2015) |
| Literacy: | definition: age 15 and over can read and write (2015 est.) |
| Literacy: | total population: 97.5% (2015 est.) |
| Literacy: | male: 97.5% (2015 est.) |
| Literacy: | female: 97.5% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years (2012) |
| School life expectancy (primary to tertiary education): | male: 13 years (2012) |
| School life expectancy (primary to tertiary education): | female: 14 years (2012) |
| Unemployment, youth ages 15-24: | total: 28.9% (2010 est.) |
| Unemployment, youth ages 15-24: | male: 29.9% (2010 est.) |
| Unemployment, youth ages 15-24: | female: 27.5% (2010 est.) |
