| People and Society | Sint Maarten |
| --- | --- |
| Languages: | English (official) 67.5%, Spanish 12.9%, Creole 8.2%, Dutch (official) 4.2%, Papiamento (a Spanish-Portuguese-Dutch-English dialect) 2.2%, French 1.5%, other 3.5% (2001 census) |
| Religions: | Roman Catholic 39%, Protestant 44.8% (Pentecostal 11.6%, Seventh-Day Adventist 6.2%, other Protestant 27%), none 6.7%, other 5.4%, Jewish 3.4%, not reported 0.7% (2001 census) |
| Population: | 39,689 (July 2013 est.) |
| Age structure: | 0-14 years: 19.7% (male 3,986/female 3,704) |
| Age structure: | 15-24 years: 16.3% (male 3,130/female 3,253) |
| Age structure: | 25-54 years: 45.3% (male 8,626/female 9,077) |
| Age structure: | 55-64 years: 12.9% (male 2,448/female 2,596) |
| Age structure: | 65 years and over: 5.8% (male 1,087/female 1,181) (2013 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 39.7 years |
| population pyramid: | male: 38.9 years |
| population pyramid: | female: 40.4 years (2013 est.) |
| Population growth rate: | 1.51% (2013 est.) |
| Birth rate: | 13 births/1,000 population (2013 est.) |
| Death rate: | 4.51 deaths/1,000 population (2013 est.) |
| Net migration rate: | 6.63 migrant(s)/1,000 population (2013 est.) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.08 male(s)/female |
| Sex ratio: | 15-24 years: 0.96 male(s)/female |
| Sex ratio: | 25-54 years: 0.95 male(s)/female |
| Sex ratio: | 55-64 years: 0.94 male(s)/female |
| Sex ratio: | 65 years and over: 0.92 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2013 est.) |
| Infant mortality rate: | total: 9.05 deaths/1,000 live births |
| Infant mortality rate: | male: 9.84 deaths/1,000 live births |
| Infant mortality rate: | female: 8.22 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 77.61 years |
| Life expectancy at birth: | male: 75.34 years |
| Life expectancy at birth: | female: 79.99 years (2013 est.) |
| Total fertility rate: | 2.09 children born/woman (2013 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
