| People and Society | Albania |
| --- | --- |
| Population: | 3,074,579 (July 2020 est.) |
| Nationality: | noun: Albanian(s) |
| Nationality: | adjective: Albanian |
| Ethnic groups: | Albanian 82.6%, Greek 0.9%, other 1% (including Vlach, Romani, Macedonian, Montenegrin, and Egyptian), unspecified 15.5% (2011 est.) |
| Ethnic groups: | note: data represent population by ethnic and cultural affiliation |
| Languages: | Albanian 98.8% (official - derived from Tosk dialect), Greek 0.5%, other 0.6% (including Macedonian, Romani, Vlach, Turkish, Italian, and Serbo-Croatian), unspecified 0.1% (2011 est.) |
| Religions: | Muslim 56.7%, Roman Catholic 10%, Orthodox 6.8%, atheist 2.5%, Bektashi (a Sufi order) 2.1%, other 5.7%, unspecified 16.2% (2011 est.) |
| Religions: | note: all mosques and churches were closed in 1967 and religious observances prohibited; in November 1990, Albania began allowing private religious practice |
| Age structure: | 0-14 years: 17.6% (male 284,636/female 256,474) |
| Age structure: | 15-24 years: 15.39% (male 246,931/female 226,318) |
| Age structure: | 25-54 years: 42.04% (male 622,100/female 670,307) |
| Age structure: | 55-64 years: 11.94% (male 178,419/female 188,783) |
| Age structure: | 65 years and over: 13.03% (male 186,335/female 214,276) (2020 est.) |
| Dependency ratios: | total dependency ratio: 46.9 |
| Dependency ratios: | youth dependency ratio: 25.3 |
| Dependency ratios: | elderly dependency ratio: 21.6 |
| Dependency ratios: | potential support ratio: 4.6 (2020 est.) |
| Median age: | total: 34.3 years |
| Median age: | male: 32.9 years |
| Median age: | female: 35.7 years (2020 est.) |
| Population growth rate: | 0.28% (2020 est.) |
| Birth rate: | 13 births/1,000 population (2020 est.) |
| Death rate: | 7.1 deaths/1,000 population (2020 est.) |
| Net migration rate: | -3.3 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | a fairly even distribution, with somewhat higher concentrations of people in the western and central parts of the country |
| Urbanization: | urban population: 62.1% of total population (2020) |
| Urbanization: | rate of urbanization: 1.69% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 494,000 TIRANA (capital) (2020) |
| Sex ratio: | at birth: 1.08 male(s)/female |
| Sex ratio: | 0-14 years: 1.11 male(s)/female |
| Sex ratio: | 15-24 years: 1.09 male(s)/female |
| Sex ratio: | 25-54 years: 0.93 male(s)/female |
| Sex ratio: | 55-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.87 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 24.8 years (2017/18 est.) |
| Maternal mortality rate: | 15 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 10.8 deaths/1,000 live births |
| Infant mortality rate: | male: 12.1 deaths/1,000 live births |
| Infant mortality rate: | female: 9.5 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 79 years |
| Life expectancy at birth: | male: 76.3 years |
| Life expectancy at birth: | female: 81.9 years (2020 est.) |
| Total fertility rate: | 1.53 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 46% (2017/18) |
| Drinking water source: | improved: urban: 96.8% of population |
| Drinking water source: | rural: 95.3% of population |
| Drinking water source: | total: 96.2% of population |
| Drinking water source: | unimproved: urban: 4.7% of population |
| Drinking water source: | rural: 4.7% of population |
| Drinking water source: | total: 3.8% of population (2017 est.) |
| Current Health Expenditure: | 6.7% (2016) |
| Physicians density: | 1.22 physicians/1,000 population (2016) |
| Hospital bed density: | 2.9 beds/1,000 population (2013) |
| Sanitation facility access: | improved: urban: 100% of population |
| Sanitation facility access: | rural: 99.5% of population |
| Sanitation facility access: | total: 99.8% of population |
| Sanitation facility access: | unimproved: urban: 0% of population |
| Sanitation facility access: | rural: 0.5% of population |
| Sanitation facility access: | total: 0.2% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | <.1 (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1,400 (2019 est.) |
| HIV/AIDS - deaths: | <100 (2019 est.) |
| Obesity - adult prevalence rate: | 21.7% (2016) |
| Children under the age of 5 years underweight: | 1.5% (2017) |
| Education expenditures: | 3.6% of GDP (2017) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 98.1% |
| Literacy: | male: 98.5% |
| Literacy: | female: 97.8% (2018) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2019) |
| Unemployment, youth ages 15-24: | total: 31.9% |
| Unemployment, youth ages 15-24: | male: 34.2% |
| Unemployment, youth ages 15-24: | female: 27.7% (2017 est.) |
