| People | Vietnam |
| --- | --- |
| Population: | 85,262,356 (July 2007 est.) |
| Age structure: | 0-14 years: 26.3% (male 11,617,032/female 10,784,264) |
| Age structure: | 15-64 years: 67.9% (male 28,711,464/female 29,205,498) |
| Age structure: | 65 years and over: 5.8% (male 1,919,138/female 3,024,960) (2007 est.) |
| Median age: | total: 26.4 years |
| Median age: | male: 25.3 years |
| Median age: | female: 27.6 years (2007 est.) |
| Population growth rate: | 1.004% (2007 est.) |
| Birth rate: | 16.63 births/1,000 population (2007 est.) |
| Death rate: | 6.19 deaths/1,000 population (2007 est.) |
| Net migration rate: | -0.4 migrant(s)/1,000 population (2007 est.) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | under 15 years: 1.077 male(s)/female |
| Sex ratio: | 15-64 years: 0.983 male(s)/female |
| Sex ratio: | 65 years and over: 0.634 male(s)/female |
| Sex ratio: | total population: 0.982 male(s)/female (2007 est.) |
| Infant mortality rate: | total: 24.37 deaths/1,000 live births |
| Infant mortality rate: | male: 24.76 deaths/1,000 live births |
| Infant mortality rate: | female: 23.94 deaths/1,000 live births (2007 est.) |
| Life expectancy at birth: | total population: 71.07 years |
| Life expectancy at birth: | male: 68.27 years |
| Life expectancy at birth: | female: 74.08 years (2007 est.) |
| Total fertility rate: | 1.89 children born/woman (2007 est.) |
| HIV/AIDS - adult prevalence rate: | 0.4% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 220,000 (2003 est.) |
| HIV/AIDS - deaths: | 9,000 (2003 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, Japanese encephalitis, and plague are high risks in some locations |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | water contact disease: leptospirosis |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified among birds in this country or surrounding region; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2007) |
| Nationality: | noun: Vietnamese (singular and plural) |
| Nationality: | adjective: Vietnamese |
| Ethnic groups: | Kinh (Viet) 86.2%, Tay 1.9%, Thai 1.7%, Muong 1.5%, Khome 1.4%, Hoa 1.1%, Nun 1.1%, Hmong 1%, others 4.1% (1999 census) |
| Religions: | Buddhist 9.3%, Catholic 6.7%, Hoa Hao 1.5%, Cao Dai 1.1%, Protestant 0.5%, Muslim 0.1%, none 80.8% (1999 census) |
| Languages: | Vietnamese (official), English (increasingly favored as a second language), some French, Chinese, and Khmer; mountain area languages (Mon-Khmer and Malayo-Polynesian) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 90.3% |
| Literacy: | male: 93.9% |
| Literacy: | female: 86.9% (2002 est.) |
