| People and Society | Vietnam |
| --- | --- |
| Population: | 97,040,334 (July 2018 est.) |
| Nationality: | noun: Vietnamese (singular and plural) |
| Nationality: | adjective: Vietnamese |
| Ethnic groups: | Kinh (Viet) 85.7%, Tay 1.9%, Thai 1.8%, Muong 1.5%, Khmer 1.5%, Mong 1.2%, Nung 1.1%, Hoa 1%, other 4.3% (2009 est.) |
| Ethnic groups: | note: 54 ethnic groups are recognized by the Vietnamese Government |
| Languages: | Vietnamese (official), English (increasingly favored as a second language), some French, Chinese, and Khmer, mountain area languages (Mon-Khmer and Malayo-Polynesian) |
| Religions: | Buddhist 7.9%, Catholic 6.6%, Hoa Hao 1.7%, Cao Dai 0.9%, Protestant 0.9%, Muslim 0.1%, none 81.8% (2009 est.) |
| Age structure: | 0-14 years: 23.27% (male 11,876,141 /female 10,704,895) |
| Age structure: | 15-24 years: 15.81% (male 7,967,981 /female 7,371,016) |
| Age structure: | 25-54 years: 45.67% (male 22,378,768 /female 21,939,925) |
| Age structure: | 55-64 years: 8.9% (male 4,014,622 /female 4,620,177) |
| Age structure: | 65 years and over: 6.35% (male 2,404,304 /female 3,762,505) (2018 est.) |
| Dependency ratios: | total dependency ratio: 42.5 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 32.9 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 9.6 (2015 est.) |
| Dependency ratios: | potential support ratio: 10.4 (2015 est.) |
| Median age: | total: 30.9 years (2018 est.) |
| Median age: | male: 29.9 years |
| Median age: | female: 32.1 years |
| Population growth rate: | 0.9% (2018 est.) |
| Birth rate: | 15.2 births/1,000 population (2018 est.) |
| Death rate: | 5.9 deaths/1,000 population (2018 est.) |
| Net migration rate: | -0.3 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | though it has one of the highest population densities in the world, the population is not evenly dispersed; clustering is heaviest along the South China Sea and Gulf of Tonkin, with the Mekong Delta (in the south) and the Red River Valley (in the north) having the largest concentrations of people |
| Urbanization: | urban population: 36.6% of total population (2019) |
| Urbanization: | rate of urbanization: 2.98% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 8.371 million Ho Chi Minh City, 4.48 million HANOI (capital), 1.531 million Can Tho, 1.259 million Hai Phong, 1.095 Da Nang (2019) |
| Sex ratio: | at birth: 1.1 male(s)/female |
| Sex ratio: | 0-14 years: 1.11 male(s)/female |
| Sex ratio: | 15-24 years: 1.08 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.87 male(s)/female |
| Sex ratio: | 65 years and over: 0.64 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2018 est.) |
| Maternal mortality rate: | 43 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 16.7 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 17.1 deaths/1,000 live births |
| Infant mortality rate: | female: 16.3 deaths/1,000 live births |
| Life expectancy at birth: | total population: 73.9 years (2018 est.) |
| Life expectancy at birth: | male: 71.4 years |
| Life expectancy at birth: | female: 76.7 years |
| Total fertility rate: | 1.79 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 75.7% (2015) |
| Drinking water source: | improved: urban: 99.1% of population |
| Drinking water source: | rural: 96.9% of population |
| Drinking water source: | total: 97.6% of population |
| Drinking water source: | unimproved: urban: 0.9% of population |
| Drinking water source: | rural: 3.1% of population |
| Drinking water source: | total: 2.4% of population (2015 est.) |
| Current Health Expenditure: | 5.7% (2016) |
| Physicians density: | 0.82 physicians/1,000 population (2016) |
| Hospital bed density: | 2.6 beds/1,000 population (2014) |
| Sanitation facility access: | improved: urban: 94.4% of population (2015 est.) |
| Sanitation facility access: | rural: 69.7% of population (2015 est.) |
| Sanitation facility access: | total: 78% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 5.6% of population (2015 est.) |
| Sanitation facility access: | rural: 30.3% of population (2015 est.) |
| Sanitation facility access: | total: 22% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.3% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 230,000 (2018 est.) |
| HIV/AIDS - deaths: | 4,700 (2018 est.) |
| Major infectious diseases: | degree of risk: very high (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever (2016) |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, and Japanese encephalitis (2016) |
| Obesity - adult prevalence rate: | 2.1% (2016) |
| Children under the age of 5 years underweight: | 14.1% (2015) |
| Education expenditures: | 5.7% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 94.5% |
| Literacy: | male: 96.3% |
| Literacy: | female: 92.8% (2015) |
| Unemployment, youth ages 15-24: | total: 7.3% |
| Unemployment, youth ages 15-24: | male: 7.3% |
| Unemployment, youth ages 15-24: | female: 7.3% (2017 est.) |
