| People | Bhutan |
| --- | --- |
| Population: | 682,321 |
| Population: | note: the Factbook population estimate is consistent with the first modern census of Bhutan, conducted in 2005; previous Factbook population estimates for this country, which were on the order of three times the total population reported here, were based on Bhutanese government publications that did not include the census (July 2008 est.) |
| Age structure: | 0-14 years: 30.8% (male 107,360/female 103,093) |
| Age structure: | 15-64 years: 63.7% (male 231,323/female 203,649) |
| Age structure: | 65 years and over: 5.4% (male 19,561/female 17,335) (2008 est.) |
| Median age: | total: 23.5 years |
| Median age: | male: 24.1 years |
| Median age: | female: 22.8 years (2008 est.) |
| Population growth rate: | 1.301% (2008 est.) |
| Birth rate: | 20.56 births/1,000 population (2008 est.) |
| Death rate: | 7.54 deaths/1,000 population (2008 est.) |
| Net migration rate: | NA (2008 est.) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.04 male(s)/female |
| Sex ratio: | 15-64 years: 1.14 male(s)/female |
| Sex ratio: | 65 years and over: 1.13 male(s)/female |
| Sex ratio: | total population: 1.1 male(s)/female (2008 est.) |
| Infant mortality rate: | total: 51.92 deaths/1,000 live births |
| Infant mortality rate: | male: 53.1 deaths/1,000 live births |
| Infant mortality rate: | female: 50.69 deaths/1,000 live births (2008 est.) |
| Life expectancy at birth: | total population: 65.53 years |
| Life expectancy at birth: | male: 64.75 years |
| Life expectancy at birth: | female: 66.35 years (2008 est.) |
| Total fertility rate: | 2.48 children born/woman (2008 est.) |
| HIV/AIDS - adult prevalence rate: | less than 0.1% (2001 est.) |
| HIV/AIDS - people living with HIV/AIDS: | fewer than 100 (1999 est.) |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria |
| Major infectious diseases: | water contact disease: leptospirosis (2008) |
| Nationality: | noun: Bhutanese (singular and plural) |
| Nationality: | adjective: Bhutanese |
| Ethnic groups: | Bhote 50%, ethnic Nepalese 35% (includes Lhotsampas - one of several Nepalese ethnic groups), indigenous or migrant tribes 15% |
| Religions: | Lamaistic Buddhist 75%, Indian- and Nepalese-influenced Hinduism 25% |
| Languages: | Dzongkha (official), Bhotes speak various Tibetan dialects, Nepalese speak various Nepalese dialects |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 47% |
| Literacy: | male: 60% |
| Literacy: | female: 34% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 10 years (2006) |
| Education expenditures: | 7% of GDP (2005) |
