| People and Society | Bhutan |
| --- | --- |
| Nationality: | noun: Bhutanese (singular and plural) |
| Nationality: | adjective: Bhutanese |
| Ethnic groups: | Bhote 50%, ethnic Nepalese 35% (includes Lhotsampas - one of several Nepalese ethnic groups), indigenous or migrant tribes 15% |
| Languages: | Sharchhopka 28%, Dzongkha (official) 24%, Lhotshamkha 22%, other 26% (2005 Census) |
| Religions: | Lamaistic Buddhist 75%, Indian- and Nepalese-influenced Hinduism 25% |
| Population: | 708,427 (July 2011 est.) |
| Population: | note: the Factbook population estimate is consistent with the first modern census of Bhutan, conducted in 2005; previous Factbook population estimates for this country, which were on the order of three times the total population reported here, were based on Bhutanese government publications that did not include the census |
| Age structure: | 0-14 years: 28.9% (male 104,622/female 100,383) |
| Age structure: | 15-64 years: 65.3% (male 245,054/female 217,864) |
| Age structure: | 65 years and over: 5.7% (male 21,347/female 19,157) (2011 est.) |
| Median age: | total: 24.8 years |
| Median age: | male: 25.4 years |
| Median age: | female: 24.2 years (2011 est.) |
| Population growth rate: | 1.201% (2011 est.) |
| Birth rate: | 19.13 births/1,000 population (2011 est.) |
| Death rate: | 7.12 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 35% of total population (2010) |
| Urbanization: | rate of urbanization: 3.7% annual rate of change (2010-15 est.) |
| Major cities - population: | THIMPHU (capital) 89,000 (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.04 male(s)/female |
| Sex ratio: | 15-64 years: 1.13 male(s)/female |
| Sex ratio: | 65 years and over: 1.12 male(s)/female |
| Sex ratio: | total population: 1.1 male(s)/female (2011 est.) |
| Maternal mortality rate: | 200 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 44.48 deaths/1,000 live births |
| Infant mortality rate: | male: 45.24 deaths/1,000 live births |
| Infant mortality rate: | female: 43.69 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 67.3 years |
| Life expectancy at birth: | male: 66.46 years |
| Life expectancy at birth: | female: 68.19 years (2011 est.) |
| Total fertility rate: | 2.2 children born/woman (2011 est.) |
| Health expenditures: | 5.5% of GDP (2009) |
| Physicians density: | 0.023 physicians/1,000 population (2007) |
| Hospital bed density: | 1.7 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99% of population |
| Drinking water source: | rural: 88% of population |
| Drinking water source: | total: 92% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 12% of population |
| unimproved: | total: 8% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 87% of population |
| Sanitation facility access: | rural: 54% of population |
| Sanitation facility access: | total: 65% of population |
| unimproved: | urban: 13% of population |
| unimproved: | rural: 46% of population |
| unimproved: | total: 35% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 0.2% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | fewer than 1,000 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Major infectious diseases: | water contact disease: leptospirosis (2009) |
| Children under the age of 5 years underweight: | 12% (2008) |
| Education expenditures: | 4.8% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 47% |
| Literacy: | male: 60% |
| Literacy: | female: 34% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2008) |
| Unemployment, youth ages 15-24: | total: 6.3% |
| Unemployment, youth ages 15-24: | male: 5.5% |
| Unemployment, youth ages 15-24: | female: 7.2% (2005) |
