| People | Bhutan |
| --- | --- |
| Population: | 699,847 |
| Population: | note: the Factbook population estimate is consistent with the first modern census of Bhutan, conducted in 2005; previous Factbook population estimates for this country, which were on the order of three times the total population reported here, were based on Bhutanese government publications that did not include the census (July 2010 est.) |
| Age structure: | 0-14 years: 30.2% (male 106,410/female 102,164) |
| Age structure: | 15-64 years: 64.3% (male 235,988/female 208,484) |
| Age structure: | 65 years and over: 5.5% (male 20,169/female 17,926) (2010 est.) |
| Median age: | total: 24.3 years |
| Median age: | male: 25 years |
| Median age: | female: 23.7 years (2010 est.) |
| Population growth rate: | 1.236% (2010 est.) |
| Birth rate: | 19.62 births/1,000 population (2010 est.) |
| Death rate: | 7.25 deaths/1,000 population (July 2010 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population |
| Urbanization: | urban population: 35% of total population (2008) |
| Urbanization: | rate of urbanization: 4.9% annual rate of change (2005-10 est.) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.04 male(s)/female |
| Sex ratio: | 15-64 years: 1.13 male(s)/female |
| Sex ratio: | 65 years and over: 1.12 male(s)/female |
| Sex ratio: | total population: 1.1 male(s)/female (2010 est.) |
| Infant mortality rate: | total: 46.92 deaths/1,000 live births |
| Infant mortality rate: | male: 47.8 deaths/1,000 live births |
| Infant mortality rate: | female: 45.99 deaths/1,000 live births (2010 est.) |
| Life expectancy at birth: | total population: 66.71 years |
| Life expectancy at birth: | male: 65.89 years |
| Life expectancy at birth: | female: 67.57 years (2010 est.) |
| Total fertility rate: | 2.29 children born/woman (2010 est.) |
| HIV/AIDS - adult prevalence rate: | less than 0.1% (2007 est.) |
| HIV/AIDS - people living with HIV/AIDS: | fewer than 100 (2007 est.) |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Major infectious diseases: | water contact disease: leptospirosis (2009) |
| Nationality: | noun: Bhutanese (singular and plural) |
| Nationality: | adjective: Bhutanese |
| Ethnic groups: | Bhote 50%, ethnic Nepalese 35% (includes Lhotsampas - one of several Nepalese ethnic groups), indigenous or migrant tribes 15% |
| Religions: | Lamaistic Buddhist 75%, Indian- and Nepalese-influenced Hinduism 25% |
| Languages: | Dzongkha (official), Bhotes speak various Tibetan dialects, Nepalese speak various Nepalese dialects |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 47% |
| Literacy: | male: 60% |
| Literacy: | female: 34% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2008) |
| Education expenditures: | 5.1% of GDP (2008) |
