| People and Society | Bhutan |
| --- | --- |
| Population: | 766,397 (July 2018 est.) |
| Nationality: | noun: Bhutanese (singular and plural) |
| Nationality: | adjective: Bhutanese |
| Ethnic groups: | Ngalop (also known as Bhote) 50%, ethnic Nepali 35% (predominantly Lhotshampas), indigenous or migrant tribes 15% |
| Languages: | Sharchhopka 28%, Dzongkha (official) 24%, Lhotshamkha 22%, other 26% (includes foreign languages) (2005 est.) |
| Religions: | Lamaistic Buddhist 75.3%, Indian- and Nepali-influenced Hinduism 22.1%, other 2.6% (2005 est.) |
| Age structure: | 0-14 years: 25.35% (male 99,325 /female 94,985) |
| Age structure: | 15-24 years: 18.4% (male 71,790 /female 69,205) |
| Age structure: | 25-54 years: 43.73% (male 177,436 /female 157,729) |
| Age structure: | 55-64 years: 6.13% (male 25,160 /female 21,817) |
| Age structure: | 65 years and over: 6.39% (male 25,492 /female 23,458) (2018 est.) |
| Dependency ratios: | total dependency ratio: 47.3 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 40.4 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 6.9 (2015 est.) |
| Dependency ratios: | potential support ratio: 14.5 (2015 est.) |
| Median age: | total: 28.1 years (2018 est.) |
| Median age: | male: 28.6 years |
| Median age: | female: 27.6 years |
| Population growth rate: | 1.05% (2018 est.) |
| Birth rate: | 17 births/1,000 population (2018 est.) |
| Death rate: | 6.4 deaths/1,000 population (2018 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2018 est.) |
| Urbanization: | urban population: 41.6% of total population (2019) |
| Urbanization: | rate of urbanization: 2.98% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 203,000 THIMPHU (capital) (2018) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.12 male(s)/female |
| Sex ratio: | 55-64 years: 1.15 male(s)/female |
| Sex ratio: | 65 years and over: 1.09 male(s)/female |
| Sex ratio: | total population: 1.09 male(s)/female (2018 est.) |
| Maternal mortality rate: | 183 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 30.3 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 30.4 deaths/1,000 live births |
| Infant mortality rate: | female: 30.1 deaths/1,000 live births |
| Life expectancy at birth: | total population: 71.1 years (2018 est.) |
| Life expectancy at birth: | male: 70.1 years |
| Life expectancy at birth: | female: 72.2 years |
| Total fertility rate: | 1.87 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 65.6% (2010) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0% of population (2015 est.) |
| Current Health Expenditure: | 3.5% (2016) |
| Physicians density: | 0.37 physicians/1,000 population (2017) |
| Hospital bed density: | 1.7 beds/1,000 population (2012) |
| Sanitation facility access: | improved: urban: 77.9% of population (2015 est.) |
| Sanitation facility access: | rural: 33.1% of population (2015 est.) |
| Sanitation facility access: | total: 50.4% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 22.1% of population (2015 est.) |
| Sanitation facility access: | rural: 66.9% of population (2015 est.) |
| Sanitation facility access: | total: 49.6% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.3% (2018) |
| HIV/AIDS - people living with HIV/AIDS: | 1,300 (2018) |
| HIV/AIDS - deaths: | <100 (2018) |
| Obesity - adult prevalence rate: | 6.4% (2016) |
| Children under the age of 5 years underweight: | 12.7% (2010) |
| Education expenditures: | 6.6% of GDP (2018) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 64.9% |
| Literacy: | male: 73.1% |
| Literacy: | female: 55% (2015) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2013) |
| Unemployment, youth ages 15-24: | total: 10.7% |
| Unemployment, youth ages 15-24: | male: 8.2% |
| Unemployment, youth ages 15-24: | female: 12.7% (2015 est.) |
