| People and Society | CENTRAL AFRICAN REPUBLIC |
| --- | --- |
| Population: | 5,625,118 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.) |
| Nationality: | noun: Central African(s) |
| Nationality: | adjective: Central African |
| Ethnic groups: | Baya 33%, Banda 27%, Mandjia 13%, Sara 10%, Mboum 7%, M'Baka 4%, Yakoma 4%, other 2% |
| Languages: | French (official), Sangho (lingua franca and national language), tribal languages |
| Religions: | indigenous beliefs 35%, Protestant 25%, Roman Catholic 25%, Muslim 15% |
| Religions: | note: animistic beliefs and practices strongly influence the Christian majority |
| Demographic profile: | The Central African Republic’s (CAR) humanitarian crisis has worsened since a coup in March 2013. CAR’s high mortality rate and low life expectancy are attributed to elevated rates of preventable and treatable diseases (including malaria and malnutrition), an inadequate health care system, precarious food security, and armed conflict. Some of the worst mortality rates are in western CAR’s diamond mining region, which is impoverished because of government attempts to control the diamond trade and the fall in industrial diamond prices. To make matters worse, the government and international donors have reduced health funding in recent years. The CAR’s weak educational system and low literacy rate have also suffered as a result of the country’s ongoing conflict. Schools are closed, qualified teachers are scarce, infrastructure, funding, and supplies are lacking and subject to looting, and many students and teachers are displaced by violence. |
| Demographic profile: | Rampant poverty, human rights violations, unemployment, poor infrastructure, and a lack of security and stability have led to forced displacement internally and externally. Since the political crisis that resulted in CAR’s March 2013 coup began in December 2012, approximately 370,000 people have fled to Chad, the Democratic Republic of the Congo (DRC), and other neighboring countries, while more than an estimated 600,000 are displaced internally as of October 2017. The UN has urged countries to refrain from repatriating CAR refugees amid the heightened lawlessness. |
| Age structure: | 0-14 years: 40.09% (male 1,133,361/female 1,121,640) |
| Age structure: | 15-24 years: 19.94% (male 563,730/female 557,676) |
| Age structure: | 25-54 years: 32.45% (male 913,363/female 912,096) |
| Age structure: | 55-64 years: 4.1% (male 106,651/female 123,839) |
