| People | Central African Republic |
| --- | --- |
| Population: | 4,444,330 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2008 est.) |
| Age structure: | 0-14 years: 41.3% (male 922,053/female 911,601) |
| Age structure: | 15-64 years: 54.6% (male 1,206,121/female 1,221,158) |
| Age structure: | 65 years and over: 4.1% (male 71,597/female 111,800) (2008 est.) |
| Median age: | total: 18.7 years |
| Median age: | male: 18.4 years |
| Median age: | female: 19 years (2008 est.) |
| Population growth rate: | 1.509% (2008 est.) |
| Birth rate: | 33.13 births/1,000 population (2008 est.) |
| Death rate: | 18.04 deaths/1,000 population (2008 est.) |
| Net migration rate: | NA (2008 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.64 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2008 est.) |
| Infant mortality rate: | total: 82.13 deaths/1,000 live births |
| Infant mortality rate: | male: 88.84 deaths/1,000 live births |
| Infant mortality rate: | female: 75.23 deaths/1,000 live births (2008 est.) |
| Life expectancy at birth: | total population: 44.22 years |
| Life expectancy at birth: | male: 44.14 years |
| Life expectancy at birth: | female: 44.29 years (2008 est.) |
| Total fertility rate: | 4.23 children born/woman (2008 est.) |
| HIV/AIDS - adult prevalence rate: | 13.5% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 260,000 (2003 est.) |
| HIV/AIDS - deaths: | 23,000 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria |
| Major infectious diseases: | respiratory disease: meningococcal meningitis (2008) |
| Nationality: | noun: Central African(s) |
| Nationality: | adjective: Central African |
| Ethnic groups: | Baya 33%, Banda 27%, Mandjia 13%, Sara 10%, Mboum 7%, M'Baka 4%, Yakoma 4%, other 2% |
| Religions: | indigenous beliefs 35%, Protestant 25%, Roman Catholic 25%, Muslim 15% |
| Religions: | note: animistic beliefs and practices strongly influence the Christian majority |
| Languages: | French (official), Sangho (lingua franca and national language), tribal languages |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 48.6% |
| Literacy: | male: 64.8% |
| Literacy: | female: 33.5% (2000 est.) |
| Education expenditures: | 1.4% of GDP (2006) |
