| People and Society | Vanuatu |
| --- | --- |
| Nationality: | noun: Ni-Vanuatu (singular and plural) |
| Nationality: | adjective: Ni-Vanuatu |
| Ethnic groups: | Ni-Vanuatu 98.5%, other 1.5% (1999 Census) |
| Languages: | local languages (more than 100) 72.6%, pidgin (known as Bislama or Bichelama - official) 23.1%, English (official) 1.9%, French (official) 1.4%, other 0.3%, unspecified 0.7% (1999 Census) |
| Religions: | Protestant 55.6% (Presbyterian 31.4%, Anglican 13.4%, Seventh-Day Adventist 10.8%), Roman Catholic 13.1%, other Christian 13.8%, indigenous beliefs 5.6% (including Jon Frum cargo cult), other 9.6%, none 1%, unspecified 1.3% (1999 Census) |
| Population: | 261,565 (July 2013 est.) |
| Age structure: | 0-14 years: 37.9% (male 50,548/female 48,477) |
| Age structure: | 15-24 years: 19.7% (male 25,685/female 25,900) |
| Age structure: | 25-54 years: 34% (male 43,552/female 45,273) |
| Age structure: | 55-64 years: 4.9% (male 6,493/female 6,289) |
| Age structure: | 65 years and over: 3.6% (male 4,817/female 4,531) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 69.5 % |
| population pyramid: | youth dependency ratio: 62.8 % |
| population pyramid: | elderly dependency ratio: 6.7 % |
| population pyramid: | potential support ratio: 15 (2013) |
| Median age: | total: 20.8 years |
| Median age: | male: 20.4 years |
| Median age: | female: 21.1 years (2013 est.) |
| Population growth rate: | 2.06% (2013 est.) |
| Birth rate: | 26.35 births/1,000 population (2013 est.) |
| Death rate: | 4.2 deaths/1,000 population (2013 est.) |
| Net migration rate: | -1.53 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 26% of total population (2010) |
| Urbanization: | rate of urbanization: 4.2% annual rate of change (2010-15 est.) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 0.96 male(s)/female |
| Sex ratio: | 55-64 years: 1.04 male(s)/female |
| Sex ratio: | 65 years and over: 1.07 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2013 est.) |
| Maternal mortality rate: | 110 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 17.15 deaths/1,000 live births |
| Infant mortality rate: | male: 18.34 deaths/1,000 live births |
| Infant mortality rate: | female: 15.91 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 72.38 years |
| Life expectancy at birth: | male: 70.83 years |
| Life expectancy at birth: | female: 74 years (2013 est.) |
| Total fertility rate: | 3.47 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 38.4% (2007) |
| Health expenditures: | 4.1% of GDP (2011) |
| Physicians density: | 0.12 physicians/1,000 population (2008) |
| Hospital bed density: | 1.7 beds/1,000 population (2008) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98% of population |
| Drinking water source: | rural: 87% of population |
| Drinking water source: | total: 90% of population |
| unimproved: | urban: 2% of population |
| unimproved: | rural: 13% of population |
| unimproved: | total: 10% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 64% of population |
| Sanitation facility access: | rural: 54% of population |
| Sanitation facility access: | total: 57% of population |
| unimproved: | urban: 36% of population |
| unimproved: | rural: 46% of population |
| unimproved: | total: 43% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 27.5% (2008) |
| Children under the age of 5 years underweight: | 11.7% (2007) |
| Education expenditures: | 5.2% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 83.2% |
| Literacy: | male: NA 84.9% |
| Literacy: | female: NA 81.6% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 10 years (2004) |
