| People and Society | Tajikistan |
| --- | --- |
| Nationality: | noun: Tajikistani(s) |
| Nationality: | adjective: Tajikistani |
| Ethnic groups: | Tajik 79.9%, Uzbek 15.3%, Russian 1.1%, Kyrgyz 1.1%, other 2.6% (2000 census) |
| Ethnic groups: | note: estimates of Uzbek proportion can range as high as 25% depending on how mixed Tajik-Uzbek families (largely in border areas) are counted |
| Languages: | Tajik (official), Russian widely used in government and business |
| Religions: | Sunni Muslim 85%, Shia Muslim 5%, other 10% (2003 est.) |
| Population: | 8,051,512 (July 2014 est.) |
| Age structure: | 0-14 years: 33% (male 1,352,150/female 1,304,615) |
| Age structure: | 15-24 years: 20.1% (male 819,936/female 796,211) |
| Age structure: | 25-54 years: 38.9% (male 1,547,863/female 1,586,218) |
| Age structure: | 55-64 years: 4.8% (male 178,161/female 210,616) |
| Age structure: | 65 years and over: 3.2% (male 107,137/female 148,605) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 64.33 % |
| population pyramid: | youth dependency ratio: 59.1 % |
| population pyramid: | elderly dependency ratio: 5.2 % |
| population pyramid: | potential support ratio: 19.2 (2014 est.) |
| Median age: | total: 23.5 years |
| Median age: | male: 23 years |
| Median age: | female: 24 years (2014 est.) |
| Population growth rate: | 1.75% (2014 est.) |
| Birth rate: | 24.99 births/1,000 population (2014 est.) |
| Death rate: | 6.28 deaths/1,000 population (2014 est.) |
| Net migration rate: | -1.17 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 26.5% of total population (2011) |
| Urbanization: | rate of urbanization: 1.66% annual rate of change (2010-15 est.) |
| Major urban areas - population: | DUSHANBE (capital) 739,000 (2011) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 0.98 male(s)/female |
| Sex ratio: | 55-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.73 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 22.8 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2012 est.) |
| Maternal mortality rate: | 65 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 35.03 deaths/1,000 live births |
| Infant mortality rate: | male: 39.42 deaths/1,000 live births |
| Infant mortality rate: | female: 30.42 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 67.06 years |
| Life expectancy at birth: | male: 63.96 years |
| Life expectancy at birth: | female: 70.32 years (2014 est.) |
| Total fertility rate: | 2.76 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 27.9% (2012) |
| Health expenditures: | 5.8% of GDP (2011) |
| Physicians density: | 1.9 physicians/1,000 population (2011) |
| Hospital bed density: | 5.5 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 93% of population |
| Drinking water source: | rural: 64% of population |
| Drinking water source: | total: 71.7% of population |
| unimproved: | urban: 7% of population |
| unimproved: | rural: 36% of population |
| unimproved: | total: 28.3% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 93.6% of population |
| Sanitation facility access: | rural: 94.6% of population |
| Sanitation facility access: | total: 94.4% of population |
| unimproved: | urban: 6.4% of population |
| unimproved: | rural: 5.4% of population |
| unimproved: | total: 5.6% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.3% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 11,900 (2012 est.) |
| HIV/AIDS - deaths: | 500 (2012 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria (2013) |
| Obesity - adult prevalence rate: | 8.6% (2008) |
| Children under the age of 5 years underweight: | 15% (2007) |
| Education expenditures: | 3.9% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.7% |
| Literacy: | male: 99.8% |
| Literacy: | female: 99.6% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 10 years (2011) |
| Child labor - children ages 5-14: | total number: 164,432 |
| Child labor - children ages 5-14: | percentage: 10 % (2005 est.) |
| Unemployment, youth ages 15-24: | total: 16.7% |
| Unemployment, youth ages 15-24: | male: 19.2% |
| Unemployment, youth ages 15-24: | female: 13.7% (2009) |
