| People and Society | Tajikistan |
| --- | --- |
| Nationality: | noun: Tajikistani(s) |
| Nationality: | adjective: Tajikistani |
| Ethnic groups: | Tajik 79.9%, Uzbek 15.3%, Russian 1.1%, Kyrgyz 1.1%, other 2.6% (2000 census) |
| Languages: | Tajik (official), Russian widely used in government and business |
| Religions: | Sunni Muslim 85%, Shia Muslim 5%, other 10% (2003 est.) |
| Population: | 7,627,200 (July 2011 est.) |
| Age structure: | 0-14 years: 33.9% (male 1,316,623/female 1,270,899) |
| Age structure: | 15-64 years: 62.7% (male 2,368,554/female 2,413,982) |
| Age structure: | 65 years and over: 3.4% (male 108,896/female 148,246) (2011 est.) |
| Median age: | total: 22.6 years |
| Median age: | male: 22.1 years |
| Median age: | female: 23.1 years (2011 est.) |
| Population growth rate: | 1.846% (2011 est.) |
| Birth rate: | 26.29 births/1,000 population (2011 est.) |
| Death rate: | 6.6 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -1.24 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 26% of total population (2010) |
| Urbanization: | rate of urbanization: 2.2% annual rate of change (2010-15 est.) |
| Major cities - population: | DUSHANBE (capital) 704,000 (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.04 male(s)/female |
| Sex ratio: | 15-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.74 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2011 est.) |
| Maternal mortality rate: | 64 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 38.54 deaths/1,000 live births |
| Infant mortality rate: | male: 43.21 deaths/1,000 live births |
| Infant mortality rate: | female: 33.63 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 66.03 years |
| Life expectancy at birth: | male: 62.97 years |
| Life expectancy at birth: | female: 69.25 years (2011 est.) |
| Total fertility rate: | 2.89 children born/woman (2011 est.) |
| Health expenditures: | 5.3% of GDP (2009) |
| Physicians density: | 2.0128 physicians/1,000 population (2006) |
| Hospital bed density: | 5.41 beds/1,000 population (2008) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 94% of population |
| Drinking water source: | rural: 61% of population |
| Drinking water source: | total: 70% of population |
| unimproved: | urban: 6% of population |
| unimproved: | rural: 39% of population |
| unimproved: | total: 30% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 95% of population |
| Sanitation facility access: | rural: 94% of population |
| Sanitation facility access: | total: 94% of population |
| unimproved: | urban: 5% of population |
| unimproved: | rural: 6% of population |
| unimproved: | total: 6% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 0.2% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 9,100 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 500 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria (2009) |
| Children under the age of 5 years underweight: | 14.9% (2005) |
| Education expenditures: | 3.5% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.5% |
| Literacy: | male: 99.7% |
| Literacy: | female: 99.2% (2000 census) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 10 years (2008) |
