| People and Society | FINLAND |
| --- | --- |
| Population: | 5,518,371 (July 2017 est.) |
| Nationality: | noun: Finn(s) |
| Nationality: | adjective: Finnish |
| Ethnic groups: | Finn 93.4%, Swede 5.6%, Russian 0.5%, Estonian 0.3%, Romani 0.1%, Sami 0.1% (2006) |
| Languages: | Finnish (official) 88.3%, Swedish (official) 5.3%, Russian 1.4%, other 5% (2016 est.) |
| Religions: | Lutheran 72%, Orthodox 1.1%, other 1.6%, unspecified 25.3% (2016 est.) |
| Age structure: | 0-14 years: 16.43% (male 463,432/female 443,384) |
| Age structure: | 15-24 years: 11.4% (male 321,609/female 307,458) |
| Age structure: | 25-54 years: 37.78% (male 1,064,427/female 1,020,285) |
| Age structure: | 55-64 years: 13.29% (male 360,821/female 372,794) |
| Age structure: | 65 years and over: 21.1% (male 506,342/female 657,819) (2017 est.) |
| Dependency ratios: | total dependency ratio: 57.9 |
| Dependency ratios: | youth dependency ratio: 25.9 |
| Dependency ratios: | elderly dependency ratio: 32 |
| Dependency ratios: | potential support ratio: 3.1 (2015 est.) |
| Median age: | total: 42.5 years |
| Median age: | male: 40.9 years |
| Median age: | female: 44.3 years (2017 est.) |
| Population growth rate: | 0.36% (2017 est.) |
| Birth rate: | 10.7 births/1,000 population (2017 est.) |
| Death rate: | 10 deaths/1,000 population (2017 est.) |
| Net migration rate: | 2.9 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | the vast majority of people are found in the south; the northern interior areas remain sparsely poplulated |
| Urbanization: | urban population: 84.5% of total population (2017) |
| Urbanization: | rate of urbanization: 0.46% annual rate of change (2015-20 est.) |
| Major urban areas - population: | HELSINKI (capital) 1.18 million (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.04 male(s)/female |
| Sex ratio: | 55-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.76 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 28.8 years (2015 est.) |
| Maternal mortality rate: | 3 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 2.5 deaths/1,000 live births |
| Infant mortality rate: | male: 2.7 deaths/1,000 live births |
| Infant mortality rate: | female: 2.4 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 81 years |
| Life expectancy at birth: | male: 78 years |
| Life expectancy at birth: | female: 84.1 years (2017 est.) |
| Total fertility rate: | 1.75 children born/woman (2017 est.) |
| Health expenditures: | 9.7% of GDP (2014) |
| Physicians density: | 3.01 physicians/1,000 population (2013) |
| Hospital bed density: | 4.53 beds/1,000 population (2014) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 99.4% of population |
| Sanitation facility access: | rural: 88% of population |
| Sanitation facility access: | total: 97.6% of population |
| unimproved: | urban: 0.6% of population |
| unimproved: | rural: 12% of population |
| unimproved: | total: 2.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 22.2% (2016) |
| Education expenditures: | 7.2% of GDP (2013) |
| School life expectancy (primary to tertiary education): | total: 19 years |
| School life expectancy (primary to tertiary education): | male: 19 years |
| School life expectancy (primary to tertiary education): | female: 20 years (2015) |
| Unemployment, youth ages 15-24: | total: 22.5% |
| Unemployment, youth ages 15-24: | male: 25.4% |
| Unemployment, youth ages 15-24: | female: 19.7% (2015 est.) |
