| People and Society | European Union |
| --- | --- |
| Population: | 517,111,329 (July 2018 est.) |
| Population: | rank by population: Germany - 80,457,737 France - 67,364,357 United Kingdom - 65,105,246 Italy - 62,246,674 Spain - 49,331,076 Poland - 38,420,687 Romania - 21,457,116 Netherlands - 17,151,228 Belgium - 11,570,762 Greece - 10,761,523 Czechia - 10,686,269 Portugal - 10,355,493 Sweden - 10,040,995 Hungary - 9,825,704 Austria - 8,793,370 Bulgaria - 7,057,504 Denmark - 5,809,502 Finland - 5,537,364 Slovakia - 5,445,040 Ireland - 5,068,050 Croatia - 4,270,480 Lithuania - 2,793,284 Slovenia - 2,102,126 Latvia - 1,923,559 Estonia - 1,244,288 Cyprus - 1,237,088 Luxembourg - 605,764 Malta - 449,043 (July 2018 est.) |
| Languages: | Bulgarian, Croatian, Czech, Danish, Dutch, English, Estonian, Finnish, French, German, Greek, Hungarian, Irish, Italian, Latvian, Lithuanian, Maltese, Polish, Portuguese, Romanian, Slovak, Slovene, Spanish, Swedish (2012) |
| Languages: | note: only the 24 official languages are listed; German, the major language of Germany, Austria, and Switzerland, is the most widely spoken mother tongue - about 16% of the EU population; English is the most widely spoken foreign language - about 38% of the EU population is conversant with it |
| Religions: | Roman Catholic 48%, Protestant 12%, Orthodox 8%, other Christian 4%, Muslim 2%, other 1% (includes Jewish, Sikh, Buddhist, Hindu), atheist 7%, non-believer/agnostic 16%, unspecified 2% (2012 est.) |
| Age structure: | 0-14 years: 15.43% (male 40,905,648/female 38,860,151) |
| Age structure: | 15-24 years: 10.62% (male 28,085,190/female 26,851,677) |
| Age structure: | 25-54 years: 41.17% (male 107,404,085/female 105,480,809) |
| Age structure: | 55-64 years: 13.14% (male 33,083,278/female 34,885,100) |
| Age structure: | 65 years and over: 19.64% (male 43,673,572/female 57,881,819) (2018 est.) |
| Median age: | total: 43.2 years (2018 est.) |
| Median age: | male: 41.8 years |
| Median age: | female: 44.6 years |
| Population growth rate: | 0.19% (2018 est.) |
| Birth rate: | 9.9 births/1,000 population (2018 est.) |
| Death rate: | 10.4 deaths/1,000 population (2018 est.) |
| Net migration rate: | 2.4 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | population distribution varies considerably from country to country, but tends to follow a pattern of coastal and river settlement, with urban agglomerations forming large hubs facilitating large scale housing, industry, and commerce; the area in and around the Netherlands, Belgium, and Luxembourg (known collectively as Benelux), is the most densely populated area in the EU |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.75 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2018 est.) |
| Infant mortality rate: | total: 3.9 deaths/1,000 live births (2017 est.) |
| Infant mortality rate: | male: 4.2 deaths/1,000 live births |
| Infant mortality rate: | female: 3.5 deaths/1,000 live births |
| Life expectancy at birth: | total population: 80.7 years (2018) |
| Life expectancy at birth: | male: 77.9 years |
| Life expectancy at birth: | female: 83.6 years |
| Total fertility rate: | 1.62 children born/woman (2018 est.) |
| Current Health Expenditure: | 9.9% (2016) |
| HIV/AIDS - adult prevalence rate: | note - see individual entries of member states |
| HIV/AIDS - people living with HIV/AIDS: | note - see individual entries of member states |
| HIV/AIDS - deaths: | note - see individual entries of member states |
| Education expenditures: | 4.6% of GDP (2017) |
| Unemployment, youth ages 15-24: | total: 18.9% |
| Unemployment, youth ages 15-24: | male: 19.1% |
| Unemployment, youth ages 15-24: | female: 18.6% (2017 est.) |
