| People | Ethiopia |
| --- | --- |
| Population: | 73,053,286 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality and death rates, lower population and growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2005 est.) |
| Age structure: | 0-14 years: 43.9% (male 16,082,504/female 15,999,602) |
| Age structure: | 15-64 years: 53.4% (male 19,452,737/female 19,525,746) |
| Age structure: | 65 years and over: 2.7% (male 905,648/female 1,087,049) (2005 est.) |
| Median age: | total: 17.75 years |
| Median age: | male: 17.64 years |
| Median age: | female: 17.85 years (2005 est.) |
| Population growth rate: | 2.36% (2005 est.) |
| Birth rate: | 38.61 births/1,000 population (2005 est.) |
| Death rate: | 15.06 deaths/1,000 population (2005 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population |
| Net migration rate: | note: repatriation of Ethiopians who fled to Sudan for refuge from war and famine in earlier years is expected to continue for several years; some Sudanese and Somali refugees, who fled to Ethiopia from the fighting or famine in their own countries, continue to return to their homes (2005 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.83 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2005 est.) |
| Infant mortality rate: | total: 95.32 deaths/1,000 live births |
| Infant mortality rate: | male: 105.3 deaths/1,000 live births |
| Infant mortality rate: | female: 85.05 deaths/1,000 live births (2005 est.) |
| Life expectancy at birth: | total population: 48.83 years |
| Life expectancy at birth: | male: 47.67 years |
| Life expectancy at birth: | female: 50.03 years (2005 est.) |
| Total fertility rate: | 5.33 children born/woman (2005 est.) |
| HIV/AIDS - adult prevalence rate: | 4.4% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1.5 million (2003 est.) |
| HIV/AIDS - deaths: | 120,000 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, typhoid fever, and hepatitis E |
| Major infectious diseases: | vectorborne diseases: malaria and cutaneous leishmaniasis are high risks in some locations |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | water contact disease: schistosomiasis (2004) |
| Nationality: | noun: Ethiopian(s) |
| Nationality: | adjective: Ethiopian |
| Ethnic groups: | Oromo 40%, Amhara and Tigre 32%, Sidamo 9%, Shankella 6%, Somali 6%, Afar 4%, Gurage 2%, other 1% |
| Religions: | Muslim 45%-50%, Ethiopian Orthodox 35%-40%, animist 12%, other 3%-8% |
| Languages: | Amharic, Tigrinya, Oromigna, Guaragigna, Somali, Arabic, other local languages, English (major foreign language taught in schools) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 42.7% |
| Literacy: | male: 50.3% |
| Literacy: | female: 35.1% (2003 est.) |
