| People and Society | Ethiopia |
| --- | --- |
| Population: | 108,113,150 (July 2020 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Nationality: | noun: Ethiopian(s) |
| Nationality: | adjective: Ethiopian |
| Ethnic groups: | Oromo 34.9%, Amhara (Amara) 27.9%, Tigray (Tigrinya) 7.3%, Sidama 4.1%, Welaita 3%,Â Gurage 2.8%, Somali (Somalie) 2.7%, Hadiya 2.2%, Afar (Affar) .6%, other 12.6% (2016 est.) |
| Languages: | Oromo (official working language in the State of Oromiya) 33.8%, Amharic (official national language) 29.3%, Somali (official working language of the State of Sumale) 6.2%, Tigrigna (Tigrinya) (official working language of the State of Tigray) 5.9%, Sidamo 4%, Wolaytta 2.2%, Gurage 2%, Afar (official working language of the State of Afar) 1.7%, Hadiyya 1.7%, Gamo 1.5%, Gedeo 1.3%, Opuuo 1.2%, Kafa 1.1%, other 8.1%, English (major foreign language taught in schools), Arabic (2007 est.) |
| Religions: | Ethiopian Orthodox 43.8%, Muslim 31.3%, Protestant 22.8%, Catholic 0.7%, traditional .6%, other 0.8% (2016 est.) |
| Demographic profile: | Ethiopia is a predominantly agricultural country â€“ more than 80% of the population lives in rural areas â€“ that is in the early stages of demographic transition. Infant, child, and maternal mortality have fallen sharply over the past decade, but the total fertility rate has declined more slowly and the population continues to grow. The rising age of marriage and the increasing proportion of women remaining single have contributed to fertility reduction. While the use of modern contraceptive methods among married women has increased significantly from 6 percent in 2000 to 27 percent in 2012, the overall rate is still quite low. |
| Demographic profile: | Ethiopiaâ€™s rapid population growth is putting increasing pressure on land resources, expanding environmental degradation, and raising vulnerability to food shortages. With more than 40 percent of the population below the age of 15 and a fertility rate of over 5 children per woman (and even higher in rural areas), Ethiopia will have to make further progress in meeting its family planning needs if it is to achieve the age structure necessary for reaping a demographic dividend in the coming decades. |
| Demographic profile: | Poverty, drought, political repression, and forced government resettlement have driven Ethiopiaâ€™s internal and external migration since the 1960s. Before the 1974 revolution, only small numbers of the Ethiopian elite went abroad to study and then returned home, but under the brutal Derg regime thousands fled the country, primarily as refugees. Between 1982 and 1991 there was a new wave of migration to the West for family reunification. Since the defeat of the Derg in 1991, Ethiopians have migrated to escape violence among some of the countryâ€™s myriad ethnic groups or to pursue economic opportunities. Internal and international trafficking of women and children for domestic work and prostitution is a growing problem. |
| Age structure: | 0-14 years: 39.81% (male 21,657,152/female 21,381,628) |
| Age structure: | 15-24 years: 19.47% (male 10,506,144/female 10,542,128) |
| Age structure: | 25-54 years: 32.92% (male 17,720,540/female 17,867,298) |
| Age structure: | 55-64 years: 4.42% (male 2,350,606/female 2,433,319) |
| Age structure: | 65 years and over: 3.38% (male 1,676,478/female 1,977,857) (2020 est.) |
| Dependency ratios: | total dependency ratio: 76.8 |
| Dependency ratios: | youth dependency ratio: 70.6 |
| Dependency ratios: | elderly dependency ratio: 6.3 |
| Dependency ratios: | potential support ratio: 16 (2020 est.) |
| Median age: | total: 19.8 years |
| Median age: | male: 19.6 years |
| Median age: | female: 20.1 years (2020 est.) |
| Population growth rate: | 2.56% (2020 est.) |
| Birth rate: | 31.6 births/1,000 population (2020 est.) |
| Death rate: | 5.9 deaths/1,000 population (2020 est.) |
| Net migration rate: | -0.2 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | highest density is found in the highlands of the north and middle areas of the country, particularly around the centrally located capital city of Addis Ababa; the far east and southeast are sparsely populated as shown in this population distribution map |
| Urbanization: | urban population: 21.7% of total population (2020) |
| Urbanization: | rate of urbanization: 4.63% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 4.794 million ADDIS ABABA (capital) (2020) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.85 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 20 years (2016 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 401 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 35.8 deaths/1,000 live births |
| Infant mortality rate: | male: 40.8 deaths/1,000 live births |
| Infant mortality rate: | female: 30.5 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 67.5 years |
| Life expectancy at birth: | male: 65.5 years |
| Life expectancy at birth: | female: 69.7 years (2020 est.) |
| Total fertility rate: | 4.14 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 40.1% (2018) |
| Drinking water source: | improved: urban: 97% of population |
| Drinking water source: | rural: 61.7% of population |
| Drinking water source: | total: 68.9% of population |
| Drinking water source: | unimproved: urban: 3% of population |
| Drinking water source: | rural: 38.3% of population |
| Drinking water source: | total: 31.1% of population (2017 est.) |
| Current Health Expenditure: | 3.5% (2017) |
| Physicians density: | 0.1 physicians/1,000 population (2017) |
| Hospital bed density: | 0.3 beds/1,000 population (2016) |
| Sanitation facility access: | improved: urban: 49.7% of population |
| Sanitation facility access: | rural: 5.7% of population |
| Sanitation facility access: | total: 14.7% of population |
| Sanitation facility access: | unimproved: urban: 50.3% of population |
| Sanitation facility access: | rural: 94.3% of population |
| Sanitation facility access: | total: 85.3% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 1.1% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 670,000 (2019 est.) |
| HIV/AIDS - deaths: | 12,000 (2019 est.) |
| Major infectious diseases: | degree of risk: very high (2020) |
