| People | Ethiopia |
| --- | --- |
| Population: | 74,777,981 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality and death rates, lower population and growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2006 est.) |
| Age structure: | 0-14 years: 43.7% (male 16,373,718/female 16,280,766) |
| Age structure: | 15-64 years: 53.6% (male 19,999,482/female 20,077,014) |
| Age structure: | 65 years and over: 2.7% (male 929,349/female 1,117,652) (2006 est.) |
| Median age: | total: 17.8 years |
| Median age: | male: 17.7 years |
| Median age: | female: 17.9 years (2006 est.) |
| Population growth rate: | 2.31% (2006 est.) |
| Birth rate: | 37.98 births/1,000 population (2006 est.) |
| Death rate: | 14.86 deaths/1,000 population (2006 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population |
| Net migration rate: | note: repatriation of Ethiopian refugees residing in Sudan is expected to continue for several years; some Sudanese, Somali, and Eritrean refugees, who fled to Ethiopia from the fighting or famine in their own countries, continue to return to their homes (2006 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.83 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2006 est.) |
| Infant mortality rate: | total: 93.62 deaths/1,000 live births |
| Infant mortality rate: | male: 103.43 deaths/1,000 live births |
| Infant mortality rate: | female: 83.51 deaths/1,000 live births (2006 est.) |
| Life expectancy at birth: | total population: 49.03 years |
| Life expectancy at birth: | male: 47.86 years |
| Life expectancy at birth: | female: 50.24 years (2006 est.) |
| Total fertility rate: | 5.22 children born/woman (2006 est.) |
| HIV/AIDS - adult prevalence rate: | 4.4% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1.5 million (2003 est.) |
| HIV/AIDS - deaths: | 120,000 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, typhoid fever, and hepatitis E |
| Major infectious diseases: | vectorborne diseases: malaria and cutaneous leishmaniasis are high risks in some locations |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | water contact disease: schistosomiasis (2005) |
| Nationality: | noun: Ethiopian(s) |
| Nationality: | adjective: Ethiopian |
| Ethnic groups: | Oromo 40%, Amhara and Tigre 32%, Sidamo 9%, Shankella 6%, Somali 6%, Afar 4%, Gurage 2%, other 1% |
| Religions: | Muslim 45%-50%, Ethiopian Orthodox 35%-40%, animist 12%, other 3%-8% |
| Languages: | Amharic, Tigrinya, Oromigna, Guaragigna, Somali, Arabic, other local languages, English (major foreign language taught in schools) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 42.7% |
| Literacy: | male: 50.3% |
| Literacy: | female: 35.1% (2003 est.) |
