| People and Society | Ethiopia |
| --- | --- |
| Nationality: | noun: Ethiopian(s) |
| Nationality: | adjective: Ethiopian |
| Ethnic groups: | Oromo 34.5%, Amara 26.9%, Somalie 6.2%, Tigraway 6.1%, Sidama 4%, Guragie 2.5%, Welaita 2.3%, Hadiya 1.7%, Affar 1.7%, Gamo 1.5%, Gedeo 1.3%, other 11.3% (2007 Census) |
| Languages: | Amarigna (Amharic) (official) 32.7%, Oromigna (official regional) 31.6%, Tigrigna (official regional) 6.1%, Somaligna 6%, Guaragigna 3.5%, Sidamigna 3.5%, Hadiyigna 1.7%, other 14.8%, English (official) (major foreign language taught in schools), Arabic (official) (1994 census) |
| Religions: | Orthodox 43.5%, Muslim 33.9%, Protestant 18.6%, traditional 2.6%, Catholic 0.7%, other 0.7% (2007 Census) |
| Population: | 90,873,739 (July 2011 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 46.3% (male 20,990,369/female 21,067,961) |
| Age structure: | 15-64 years: 51% (male 22,707,235/female 23,682,385) |
| Age structure: | 65 years and over: 2.7% (male 1,037,488/female 1,388,301) (2011 est.) |
| Median age: | total: 16.8 years |
| Median age: | male: 16.5 years |
| Median age: | female: 17.1 years (2011 est.) |
| Population growth rate: | 3.194% (2011 est.) |
| Birth rate: | 42.99 births/1,000 population (2011 est.) |
| Death rate: | 11.04 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -0.01 migrant(s)/1,000 population |
| Net migration rate: | note: repatriation of Ethiopian refugees residing in Sudan is expected to continue for several years; some Sudanese, Somali, and Eritrean refugees, who fled to Ethiopia from the fighting or famine in their own countries, continue to return to their homes (2011 est.) |
| Urbanization: | urban population: 17% of total population (2010) |
| Urbanization: | rate of urbanization: 3.8% annual rate of change (2010-15 est.) |
| Major cities - population: | ADDIS ABABA (capital) 2.863 million (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1 male(s)/female |
| Sex ratio: | 15-64 years: 0.96 male(s)/female |
| Sex ratio: | 65 years and over: 0.75 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2011 est.) |
| Maternal mortality rate: | 470 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 77.12 deaths/1,000 live births |
| Infant mortality rate: | male: 88.03 deaths/1,000 live births |
| Infant mortality rate: | female: 65.88 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 56.19 years |
| Life expectancy at birth: | male: 53.64 years |
| Life expectancy at birth: | female: 58.81 years (2011 est.) |
| Total fertility rate: | 6.02 children born/woman (2011 est.) |
| Health expenditures: | 3.6% of GDP (2009) |
| Physicians density: | 0.022 physicians/1,000 population (2007) |
| Hospital bed density: | 0.18 beds/1,000 population (2008) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98% of population |
| Drinking water source: | rural: 26% of population |
| Drinking water source: | total: 38% of population |
| unimproved: | urban: 2% of population |
| unimproved: | rural: 74% of population |
| unimproved: | total: 62% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 29% of population |
| Sanitation facility access: | rural: 8% of population |
| Sanitation facility access: | total: 12% of population |
| unimproved: | urban: 71% of population |
| unimproved: | rural: 92% of population |
| unimproved: | total: 88% of population (2008) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | water contact disease: schistosomiasis (2009) |
| Children under the age of 5 years underweight: | 34.6% (2005) |
| Education expenditures: | 5.5% of GDP (2007) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 42.7% |
| Literacy: | male: 50.3% |
| Literacy: | female: 35.1% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 8 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2008) |
| Unemployment, youth ages 15-24: | total: 24.9% |
| Unemployment, youth ages 15-24: | male: 19.5% |
| Unemployment, youth ages 15-24: | female: 29.4% (2006) |
