| People and Society | GEORGIA |
| --- | --- |
| Nationality: | noun: Georgian(s) |
| Nationality: | adjective: Georgian |
| Ethnic groups: | Georgian 83.8%, Azeri 6.5%, Armenian 5.7%, Russian 1.5%, other 2.5% (2002 est.) |
| Languages: | Georgian (official) 71%, Russian 9%, Armenian 7%, Azeri 6%, other 7% |
| Languages: | note: Abkhaz is the official language in Abkhazia |
| Religions: | Orthodox Christian (official) 83.9%, Muslim 9.9%, Armenian-Gregorian 3.9%, Catholic 0.8%, other 0.8%, none 0.7% (2002 census) |
| Population: | 4,931,226 (July 2015 est.) |
| Age structure: | 0-14 years: 17.73% (male 460,376/female 414,028) |
| Age structure: | 15-24 years: 13.35% (male 344,179/female 314,321) |
| Age structure: | 25-54 years: 40.93% (male 978,151/female 1,040,364) |
| Age structure: | 55-64 years: 12.45% (male 275,586/female 338,524) |
| Age structure: | 65 years and over: 15.53% (male 299,876/female 465,821) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 45.7% |
| population pyramid: | youth dependency ratio: 25.2% |
| population pyramid: | elderly dependency ratio: 20.4% |
| population pyramid: | potential support ratio: 4.9% (2015 est.) |
| Median age: | total: 37.7 years |
| Median age: | male: 34.9 years |
| Median age: | female: 40.4 years (2014 est.) |
| Population growth rate: | -0.08% (2015 est.) |
| Birth rate: | 12.74 births/1,000 population (2015 est.) |
| Death rate: | 10.82 deaths/1,000 population (2015 est.) |
| Net migration rate: | -2.7 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 53.6% of total population (2015) |
| Urbanization: | rate of urbanization: -0.1% annual rate of change (2010-15 est.) |
| Major urban areas - population: | TBILISI (capital) 1.147 million (2015) |
| Sex ratio: | at birth: 1.08 male(s)/female |
| Sex ratio: | 0-14 years: 1.11 male(s)/female |
| Sex ratio: | 15-24 years: 1.09 male(s)/female |
| Sex ratio: | 25-54 years: 0.94 male(s)/female |
| Sex ratio: | 55-64 years: 0.81 male(s)/female |
| Sex ratio: | 65 years and over: 0.64 male(s)/female |
| Sex ratio: | total population: 0.92 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 16.15 deaths/1,000 live births |
| Infant mortality rate: | male: 18.31 deaths/1,000 live births |
| Infant mortality rate: | female: 13.82 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 75.95 years |
| Life expectancy at birth: | male: 71.85 years |
| Life expectancy at birth: | female: 80.36 years (2015 est.) |
| Total fertility rate: | 1.76 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 53.4% |
| Contraceptive prevalence rate: | note: percent of women aged 15-44 (2010) |
| Health expenditures: | 9.4% of GDP (2013) |
| Physicians density: | 4.27 physicians/1,000 population (2013) |
| Hospital bed density: | 2.6 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 95.2% of population |
| Sanitation facility access: | rural: 75.9% of population |
| Sanitation facility access: | total: 86.3% of population |
| unimproved: | urban: 4.8% of population |
| unimproved: | rural: 24.1% of population |
| unimproved: | total: 13.7% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.27% (2013 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 6,400 (2013 est.) |
| HIV/AIDS - deaths: | 100 (2013 est.) |
| Obesity - adult prevalence rate: | 22.1% (2014) |
| Children under the age of 5 years underweight: | 1.1% (2009) |
| Education expenditures: | 2% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.8% |
| Literacy: | male: 99.8% |
| Literacy: | female: 99.7% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2013) |
| Child labor - children ages 5-14: | total number: 121,659 |
| Child labor - children ages 5-14: | percentage: 18% (2005 est.) |
| Unemployment, youth ages 15-24: | total: 33.3% (2012 est.) |
