| People and Society | GEORGIA |
| --- | --- |
| Population: | 4,926,330 (July 2017 est.) |
| Nationality: | noun: Georgian(s) |
| Nationality: | adjective: Georgian |
| Ethnic groups: | Georgian 86.8%, Azeri 6.3%, Armenian 4.5%, other 2.3% (includes Russian, Ossetian, Yazidi, Ukrainian, Kist, Greek) (2014 est.) |
| Languages: | Georgian (official) 87.6%, Azeri 6.2%, Armenian 3.9%, Russian 1.2%, other 1% |
| Languages: | note: Abkhaz is the official language in Abkhazia (2014 est.) |
| Religions: | Orthodox (official) 83.4%, Muslim 10.7%, Armenian Apostolic 2.9%, other 1.2% (includes Catholic, Jehovah's Witness, Yazidi, Protestant, Jewish), none 0.5%, unspecified/no answer 1.2% (2014 est.) |
| Age structure: | 0-14 years: 18.08% (male 466,426/female 424,295) |
| Age structure: | 15-24 years: 11.94% (male 310,970/female 277,434) |
| Age structure: | 25-54 years: 40.96% (male 983,144/female 1,034,794) |
| Age structure: | 55-64 years: 13.01% (male 286,539/female 354,247) |
| Age structure: | 65 years and over: 16.01% (male 309,353/female 479,128) (2017 est.) |
| Dependency ratios: | total dependency ratio: 50 |
| Dependency ratios: | youth dependency ratio: 28.1 |
| Dependency ratios: | elderly dependency ratio: 21.9 |
| Dependency ratios: | potential support ratio: 4.6 (2015 est.) |
| Median age: | total: 38.1 years |
| Median age: | male: 35.3 years |
| Median age: | female: 40.9 years (2017 est.) |
| Population growth rate: | -0.02% (2017 est.) |
| Birth rate: | 12.3 births/1,000 population (2017 est.) |
| Death rate: | 10.9 deaths/1,000 population (2017 est.) |
| Net migration rate: | -1.6 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | settlement coincides closely to the central valley, with emphasis on the capital city of Tbilisi in the east; smaller urban agglomerations dot the Black Sea coast, with Bat'umi being the largest |
| Urbanization: | urban population: 54% of total population (2017) |
| Urbanization: | rate of urbanization: -0.09% annual rate of change (2015-20 est.) |
| Urbanization: | note: data include Abkhazia and South Ossetia |
| Major urban areas - population: | TBILISI (capital) 1.147 million (2015) |
| Sex ratio: | at birth: 1.08 male(s)/female |
| Sex ratio: | 0-14 years: 1.11 male(s)/female |
| Sex ratio: | 15-24 years: 1.11 male(s)/female |
| Sex ratio: | 25-54 years: 0.95 male(s)/female |
| Sex ratio: | 55-64 years: 0.81 male(s)/female |
| Sex ratio: | 65 years and over: 0.64 male(s)/female |
| Sex ratio: | total population: 0.92 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 24.5 years |
| Mother's mean age at first birth: | note: data do not cover Abkhazia and South Ossetia (2014 est.) |
| Maternal mortality rate: | 36 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 15.2 deaths/1,000 live births |
| Infant mortality rate: | male: 17.3 deaths/1,000 live births |
| Infant mortality rate: | female: 12.9 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 76.4 years |
| Life expectancy at birth: | male: 72.3 years |
| Life expectancy at birth: | female: 80.7 years (2017 est.) |
| Total fertility rate: | 1.76 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 53.4% |
| Contraceptive prevalence rate: | note: percent of women aged 15-44 (2010) |
| Health expenditures: | 7.4% of GDP (2014) |
| Physicians density: | 4.78 physicians/1,000 population (2014) |
| Hospital bed density: | 2.6 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 95.2% of population |
| Sanitation facility access: | rural: 75.9% of population |
| Sanitation facility access: | total: 86.3% of population |
| unimproved: | urban: 4.8% of population |
| unimproved: | rural: 24.1% of population |
| unimproved: | total: 13.7% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.5% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 12,000 (2016 est.) |
| HIV/AIDS - deaths: | <500 (2016 est.) |
| Obesity - adult prevalence rate: | 21.7% (2016) |
| Children under the age of 5 years underweight: | 1.1% (2009) |
| Education expenditures: | 2% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.8% |
| Literacy: | male: 99.8% |
| Literacy: | female: 99.7% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2015) |
| Unemployment, youth ages 15-24: | total: 35.6% |
| Unemployment, youth ages 15-24: | male: 28.6% |
| Unemployment, youth ages 15-24: | female: 30.8% (2015 est.) |
