| People and Society | Central African Republic |
| --- | --- |
| Nationality: | noun: Central African(s) |
| Nationality: | adjective: Central African |
| Ethnic groups: | Baya 33%, Banda 27%, Mandjia 13%, Sara 10%, Mboum 7%, M'Baka 4%, Yakoma 4%, other 2% |
| Languages: | French (official), Sangho (lingua franca and national language), tribal languages |
| Religions: | indigenous beliefs 35%, Protestant 25%, Roman Catholic 25%, Muslim 15% |
| Religions: | note: animistic beliefs and practices strongly influence the Christian majority |
| Population: | 5,057,208 (July 2012 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 40.9% (male 1,039,808/ female 1,026,712) |
| Age structure: | 15-64 years: 55.5% (male 1,389,492/ female 1,414,881) |
| Age structure: | 65 years and over: 3.7% (male 73,983/ female 112,332) (2012 est.) |
| Age structure: | population pyramid: [] |
| Median age: | total: 19.3 years |
| Median age: | male: 18.9 years |
| Median age: | female: 19.7 years (2012 est.) |
| Population growth rate: | 2.142% (2012 est.) |
| Birth rate: | 36.13 births/1,000 population (2012 est.) |
| Death rate: | 14.71 deaths/1,000 population (July 2012 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2012 est.) |
| Urbanization: | urban population: 39% of total population (2010) |
| Urbanization: | rate of urbanization: 2.5% annual rate of change (2010-15 est.) |
| Major cities - population: | BANGUI (capital) 702,000 (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.66 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2011 est.) |
| Maternal mortality rate: | 890 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 97.17 deaths/1,000 live births |
| Infant mortality rate: | male: 105.04 deaths/1,000 live births |
| Infant mortality rate: | female: 89.06 deaths/1,000 live births (2012 est.) |
| Life expectancy at birth: | total population: 50.48 years |
| Life expectancy at birth: | male: 49.23 years |
| Life expectancy at birth: | female: 51.76 years (2012 est.) |
| Total fertility rate: | 4.57 children born/woman (2012 est.) |
| Health expenditures: | 4.3% of GDP (2009) |
| Physicians density: | 0.08 physicians/1,000 population (2004) |
| Hospital bed density: | 1.2 beds/1,000 population (2006) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 43% of population |
| Sanitation facility access: | rural: 28% of population |
| Sanitation facility access: | total: 34% of population |
| unimproved: | urban: 57% of population |
| unimproved: | rural: 72% of population |
| unimproved: | total: 66% of population |
| HIV/AIDS - adult prevalence rate: | 4.7% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 130,000 (2009 est.) |
| HIV/AIDS - deaths: | 11,000 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2009) |
| Children under the age of 5 years underweight: | 21.8% (2000) |
| Education expenditures: | 1.3% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 56% |
| Literacy: | male: 69.3% |
| Literacy: | female: 43.2% (2010 est.) |
| School life expectancy (primary to tertiary education): | total: 7 years |
| School life expectancy (primary to tertiary education): | male: 8 years |
| School life expectancy (primary to tertiary education): | female: 5 years (2009) |
