| People | Central African Republic |
| --- | --- |
| Population: | 4,369,038 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality and death rates, lower population and growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2007 est.) |
| Age structure: | 0-14 years: 41.6% (male 914,566/female 903,849) |
| Age structure: | 15-64 years: 54.2% (male 1,174,520/female 1,195,364) |
| Age structure: | 65 years and over: 4.1% (male 71,355/female 109,384) (2007 est.) |
| Median age: | total: 18.5 years |
| Median age: | male: 18.2 years |
| Median age: | female: 18.9 years (2007 est.) |
| Population growth rate: | 1.505% (2007 est.) |
| Birth rate: | 33.52 births/1,000 population (2007 est.) |
| Death rate: | 18.46 deaths/1,000 population (2007 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2007 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.012 male(s)/female |
| Sex ratio: | 15-64 years: 0.983 male(s)/female |
| Sex ratio: | 65 years and over: 0.652 male(s)/female |
| Sex ratio: | total population: 0.978 male(s)/female (2007 est.) |
| Infant mortality rate: | total: 83.97 deaths/1,000 live births |
| Infant mortality rate: | male: 90.68 deaths/1,000 live births |
| Infant mortality rate: | female: 77.05 deaths/1,000 live births (2007 est.) |
| Life expectancy at birth: | total population: 43.74 years |
| Life expectancy at birth: | male: 43.69 years |
| Life expectancy at birth: | female: 43.79 years (2007 est.) |
| Total fertility rate: | 4.32 children born/woman (2007 est.) |
| HIV/AIDS - adult prevalence rate: | 13.5% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 260,000 (2003 est.) |
| HIV/AIDS - deaths: | 23,000 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria |
| Major infectious diseases: | respiratory disease: meningococcal meningitis (2007) |
| Nationality: | noun: Central African(s) |
| Nationality: | adjective: Central African |
| Ethnic groups: | Baya 33%, Banda 27%, Mandjia 13%, Sara 10%, Mboum 7%, M'Baka 4%, Yakoma 4%, other 2% |
| Religions: | indigenous beliefs 35%, Protestant 25%, Roman Catholic 25%, Muslim 15% |
| Religions: | note: animistic beliefs and practices strongly influence the Christian majority |
| Languages: | French (official), Sangho (lingua franca and national language), tribal languages |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 51% |
| Literacy: | male: 63.3% |
| Literacy: | female: 39.9% (2003 est.) |
