| People | Central African Republic |
| --- | --- |
| Population: | 3,799,897 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality and death rates, lower population and growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2005 est.) |
| Age structure: | 0-14 years: 42.5% (male 813,596/female 802,728) |
| Age structure: | 15-64 years: 54% (male 1,010,696/female 1,041,903) |
| Age structure: | 65 years and over: 3.4% (male 54,345/female 76,629) (2005 est.) |
| Median age: | total: 18.12 years |
| Median age: | male: 17.75 years |
| Median age: | female: 18.5 years (2005 est.) |
| Population growth rate: | 1.49% (2005 est.) |
| Birth rate: | 35.17 births/1,000 population (2005 est.) |
| Death rate: | 20.27 deaths/1,000 population (2005 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2005 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.71 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2005 est.) |
| Infant mortality rate: | total: 91 deaths/1,000 live births |
| Infant mortality rate: | male: 97.84 deaths/1,000 live births |
| Infant mortality rate: | female: 83.96 deaths/1,000 live births (2005 est.) |
| Life expectancy at birth: | total population: 43.39 years |
| Life expectancy at birth: | male: 43.27 years |
| Life expectancy at birth: | female: 43.52 years (2005 est.) |
| Total fertility rate: | 4.5 children born/woman (2005 est.) |
| HIV/AIDS - adult prevalence rate: | 13.5% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 260,000 (2003 est.) |
| HIV/AIDS - deaths: | 23,000 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria |
| Major infectious diseases: | respiratory disease: meningococcal meningitis (2004) |
| Nationality: | noun: Central African(s) |
| Nationality: | adjective: Central African |
| Ethnic groups: | Baya 33%, Banda 27%, Mandjia 13%, Sara 10%, Mboum 7%, M'Baka 4%, Yakoma 4%, other 2% |
| Religions: | indigenous beliefs 35%, Protestant 25%, Roman Catholic 25%, Muslim 15% |
| Religions: | note: animistic beliefs and practices strongly influence the Christian majority |
| Languages: | French (official), Sangho (lingua franca and national language), tribal languages |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 51% |
| Literacy: | male: 63.3% |
| Literacy: | female: 39.9% (2003 est.) |
