| People and Society | BENIN |
| --- | --- |
| Population: | 11,038,805 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.) |
| Nationality: | noun: Beninese (singular and plural) |
| Nationality: | adjective: Beninese |
| Ethnic groups: | Fon and related 38.4%, Adja and related 15.1%, Yoruba and related 12%, Bariba and related 9.6%, Fulani and related 8.6%, Ottamari and related 6.1%, Yoa-Lokpa and related 4.3%, Dendi and related 2.9%, other 0.9%, foreigner 1.9% (2013 est.) |
| Languages: | French (official), Fon and Yoruba (most common vernaculars in south), tribal languages (at least six major ones in north) |
| Religions: | Muslim 27.7%, Roman Catholic 25.5%, Protestant 13.5% (Celestial 6.7%, Methodist 3.4%, other Protestant 3.4%), Vodoun 11.6%, other Christian 9.5%, other traditional religions 2.6%, other 2.6%, none 5.8% (2013 est.) |
| Demographic profile: | Benin has a youthful age structure – almost 65% of the population is under the age of 25 – which is bolstered by high fertility and population growth rates. Benin’s total fertility has been falling over time but remains high, declining from almost 7 children per women in 1990 to 4.8 in 2016. Benin’s low contraceptive use and high unmet need for contraception contribute to the sustained high fertility rate. Although the majority of Beninese women use skilled health care personnel for antenatal care and delivery, the high rate of maternal mortality indicates the need for more access to high quality obstetric care. |
| Demographic profile: | Poverty, unemployment, increased living costs, and dwindling resources increasingly drive the Beninese to migrate. An estimated 4.4 million, more than 40%, of Beninese live abroad. Virtually all Beninese emigrants move to West African countries, particularly Nigeria and Cote d’Ivoire. Of the less than 1% of Beninese emigrants who settle in Europe, the vast majority live in France, Benin’s former colonial ruler. |
| Demographic profile: | With about 40% of the population living below the poverty line, many desperate parents resort to sending their children to work in wealthy households as domestic servants (a common practice known as vidomegon), mines, quarries, or agriculture domestically or in Nigeria and other neighboring countries, often under brutal conditions. Unlike in other West African countries, where rural people move to the coast, farmers from Benin’s densely populated southern and northwestern regions move to the historically sparsely populated central region to pursue agriculture. Immigrants from West African countries came to Benin in increasing numbers between 1992 and 2002 because of its political stability and porous borders. |
| Age structure: | 0-14 years: 42.65% (male 2,402,029/female 2,305,622) |
| Age structure: | 15-24 years: 20.44% (male 1,148,204/female 1,108,342) |
| Age structure: | 25-54 years: 30.44% (male 1,699,623/female 1,660,517) |
| Age structure: | 55-64 years: 3.61% (male 174,633/female 223,398) |
| Age structure: | 65 years and over: 2.87% (male 124,708/female 191,729) (2017 est.) |
| Dependency ratios: | total dependency ratio: 86.1 |
| Dependency ratios: | youth dependency ratio: 80.1 |
| Dependency ratios: | elderly dependency ratio: 6 |
| Dependency ratios: | potential support ratio: 16.6 (2015 est.) |
| Median age: | total: 18.2 years |
