| People and Society | Benin |
| --- | --- |
| Nationality: | noun: Beninese (singular and plural) |
| Nationality: | adjective: Beninese |
| Ethnic groups: | Fon and related 39.2%, Adja and related 15.2%, Yoruba and related 12.3%, Bariba and related 9.2%, Peulh and related 7%, Ottamari and related 6.1%, Yoa-Lokpa and related 4%, Dendi and related 2.5%, other 1.6% (includes Europeans), unspecified 2.9% (2002 census) |
| Languages: | French (official), Fon and Yoruba (most common vernaculars in south), tribal languages (at least six major ones in north) |
| Religions: | Catholic 27.1%, Muslim 24.4%, Vodoun 17.3%, Protestant 10.4% (Celestial 5%, Methodist 3.2%, other Protestant 2.2%), other Christian 5.3%, other 15.5% (2002 census) |
| Population: | 10,160,556 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2014 est.) |
| Age structure: | 0-14 years: 43.8% (male 2,269,896/female 2,179,026) |
| Age structure: | 15-24 years: 20.1% (male 1,036,963/female 1,001,400) |
| Age structure: | 25-54 years: 29.9% (male 1,530,283/female 1,504,201) |
| Age structure: | 55-64 years: 3.5% (male 149,883/female 205,701) |
| Age structure: | 65 years and over: 2.8% (male 112,830/female 170,373) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 83 % |
| population pyramid: | youth dependency ratio: 77.7 % |
| population pyramid: | elderly dependency ratio: 5.3 % |
| population pyramid: | potential support ratio: 18.9 (2014 est.) |
| Median age: | total: 17.7 years |
| Median age: | male: 17.4 years |
| Median age: | female: 18.1 years (2014 est.) |
| Population growth rate: | 2.81% (2014 est.) |
| Birth rate: | 36.51 births/1,000 population (2014 est.) |
| Death rate: | 8.39 deaths/1,000 population (2014 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 44.9% of total population (2011) |
| Urbanization: | rate of urbanization: 4.12% annual rate of change (2010-15 est.) |
| Major urban areas - population: | COTONOU (seat of government) 924,000; PORTO-NOVO (capital) 314,000 (2011) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.67 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 20.3 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2011-12 est.) |
| Maternal mortality rate: | 350 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 57.09 deaths/1,000 live births |
| Infant mortality rate: | male: 60.26 deaths/1,000 live births |
| Infant mortality rate: | female: 53.76 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 61.07 years |
| Life expectancy at birth: | male: 59.75 years |
| Life expectancy at birth: | female: 62.47 years (2014 est.) |
| Total fertility rate: | 5.04 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 12.9% (2012) |
| Health expenditures: | 4.6% of GDP (2011) |
| Physicians density: | 0.06 physicians/1,000 population (2008) |
| Hospital bed density: | 0.5 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 84.5% of population |
| Drinking water source: | rural: 69.1% of population |
| Drinking water source: | total: 76.1% of population |
| unimproved: | urban: 15.5% of population |
| unimproved: | rural: 30.9% of population |
| unimproved: | total: 23.9% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 25.3% of population |
| Sanitation facility access: | rural: 5.1% of population |
| Sanitation facility access: | total: 14.3% of population |
| unimproved: | urban: 74.7% of population |
| unimproved: | rural: 94.9% of population |
| unimproved: | total: 85.7% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 1.1% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 71,500 (2012 est.) |
| HIV/AIDS - deaths: | 3,100 (2012 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, and yellow fever |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 6% (2008) |
| Children under the age of 5 years underweight: | 20.2% (2006) |
| Education expenditures: | 5.3% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 42.4% |
| Literacy: | male: 55.2% |
| Literacy: | female: 30.3% (2010 census) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 9 years (2011) |
| Child labor - children ages 5-14: | total number: 1,020,981 |
| Child labor - children ages 5-14: | percentage: 46 % (2006 est.) |
| Unemployment, youth ages 15-24: | total: 0.8% |
| Unemployment, youth ages 15-24: | male: 1.1% |
| Unemployment, youth ages 15-24: | female: 0.6% (2002) |
