| People | Benin |
| --- | --- |
| Population: | 8,078,314 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality and death rates, lower population and growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2007 est.) |
| Age structure: | 0-14 years: 43.9% (male 1,788,248/female 1,754,940) |
| Age structure: | 15-64 years: 53.7% (male 2,138,649/female 2,203,291) |
| Age structure: | 65 years and over: 2.4% (male 77,844/female 115,342) (2007 est.) |
| Median age: | total: 17.7 years |
| Median age: | male: 17.3 years |
| Median age: | female: 18.1 years (2007 est.) |
| Population growth rate: | 2.674% (2007 est.) |
| Birth rate: | 38.1 births/1,000 population (2007 est.) |
| Death rate: | 11.94 deaths/1,000 population (2007 est.) |
| Net migration rate: | 0.58 migrant(s)/1,000 population (2007 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.019 male(s)/female |
| Sex ratio: | 15-64 years: 0.971 male(s)/female |
| Sex ratio: | 65 years and over: 0.675 male(s)/female |
| Sex ratio: | total population: 0.983 male(s)/female (2007 est.) |
| Infant mortality rate: | total: 77.85 deaths/1,000 live births |
| Infant mortality rate: | male: 82.32 deaths/1,000 live births |
| Infant mortality rate: | female: 73.26 deaths/1,000 live births (2007 est.) |
| Life expectancy at birth: | total population: 53.44 years |
| Life expectancy at birth: | male: 52.28 years |
| Life expectancy at birth: | female: 54.63 years (2007 est.) |
| Total fertility rate: | 5.08 children born/woman (2007 est.) |
| HIV/AIDS - adult prevalence rate: | 1.9% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 68,000 (2003 est.) |
| HIV/AIDS - deaths: | 5,800 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, yellow fever, and others are high risks in some locations |
| Major infectious diseases: | respiratory disease: meningococcal meningitis (2007) |
| Nationality: | noun: Beninese (singular and plural) |
| Nationality: | adjective: Beninese |
| Ethnic groups: | Fon and related 39.2%, Adja and related 15.2%, Yoruba and related 12.3%, Bariba and related 9.2%, Peulh and related 7%, Ottamari and related 6.1%, Yoa-Lokpa and related 4%, Dendi and related 2.5%, other 1.6% (includes Europeans), unspecified 2.9% (2002 census) |
| Religions: | Christian 42.8% (Catholic 27.1%, Celestial 5%, Methodist 3.2%, other Protestant 2.2%, other 5.3%), Muslim 24.4%, Vodoun 17.3%, other 15.5% (2002 census) |
| Languages: | French (official), Fon and Yoruba (most common vernaculars in south), tribal languages (at least six major ones in north) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 34.7% |
| Literacy: | male: 47.9% |
| Literacy: | female: 23.3% (2002 census) |
