| People and Society | Benin |
| --- | --- |
| Nationality: | noun: Beninese (singular and plural) |
| Nationality: | adjective: Beninese |
| Ethnic groups: | Fon and related 39.2%, Adja and related 15.2%, Yoruba and related 12.3%, Bariba and related 9.2%, Peulh and related 7%, Ottamari and related 6.1%, Yoa-Lokpa and related 4%, Dendi and related 2.5%, other 1.6% (includes Europeans), unspecified 2.9% (2002 census) |
| Languages: | French (official), Fon and Yoruba (most common vernaculars in south), tribal languages (at least six major ones in north) |
| Religions: | Catholic 27.1%, Muslim 24.4%, Vodoun 17.3%, Protestant 10.4% (Celestial 5%, Methodist 3.2%, other Protestant 2.2%), other Christian 5.3%, other 15.5% (2002 census) |
| Population: | 9,877,292 (July 2013 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 44.1% (male 2,223,497/female 2,134,644) |
| Age structure: | 15-24 years: 19.9% (male 1,001,845/female 967,664) |
| Age structure: | 25-54 years: 29.7% (male 1,476,894/female 1,456,501) |
| Age structure: | 55-64 years: 3.5% (male 143,594/female 200,424) |
| Age structure: | 65 years and over: 2.8% (male 109,009/female 163,220) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 84 % |
| population pyramid: | youth dependency ratio: 78.7 % |
| population pyramid: | elderly dependency ratio: 5.3 % |
| population pyramid: | potential support ratio: 18.8 (2013) |
| Median age: | total: 17.6 years |
| Median age: | male: 17.2 years |
| Median age: | female: 18 years (2013 est.) |
| Population growth rate: | 2.84% (2013 est.) |
| Birth rate: | 37.02 births/1,000 population (2013 est.) |
| Death rate: | 8.59 deaths/1,000 population (2013 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 44.9% of total population (2011) |
| Urbanization: | rate of urbanization: 4.12% annual rate of change (2010-15 est.) |
| Major urban areas - population: | COTONOU (seat of government) 924,000; PORTO-NOVO (capital) 314,000 (2011) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.71 male(s)/female |
| Sex ratio: | 65 years and over: 0.67 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 20 (2006 est.) |
| Maternal mortality rate: | 350 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 58.54 deaths/1,000 live births |
| Infant mortality rate: | male: 61.76 deaths/1,000 live births |
| Infant mortality rate: | female: 55.15 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 60.67 years |
| Life expectancy at birth: | male: 59.37 years |
| Life expectancy at birth: | female: 62.04 years (2013 est.) |
| Total fertility rate: | 5.13 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 12.9% (2012) |
| Health expenditures: | 4.6% of GDP (2011) |
| Physicians density: | 0.06 physicians/1,000 population (2008) |
| Hospital bed density: | 0.5 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 84% of population |
| Drinking water source: | rural: 68% of population |
| Drinking water source: | total: 75% of population |
| unimproved: | urban: 16% of population |
| unimproved: | rural: 32% of population |
| unimproved: | total: 25% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 25% of population |
| Sanitation facility access: | rural: 5% of population |
| Sanitation facility access: | total: 13% of population |
| unimproved: | urban: 75% of population |
| unimproved: | rural: 95% of population |
| unimproved: | total: 87% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 1.2% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 60,000 (2009 est.) |
| HIV/AIDS - deaths: | 2,700 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, and yellow fever |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 6% (2008) |
| Children under the age of 5 years underweight: | 20.2% (2006) |
| Education expenditures: | 5.4% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 42.4% |
| Literacy: | male: 55.2% |
| Literacy: | female: 30.3% (2010 census) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2005) |
| Child labor - children ages 5-14: | total number: 1,020,981 |
| Child labor - children ages 5-14: | percentage: 46 % (2006 est.) |
| Unemployment, youth ages 15-24: | total: 0.8% |
| Unemployment, youth ages 15-24: | male: 1.1% |
| Unemployment, youth ages 15-24: | female: 0.6% (2002) |
