| People and Society | Benin |
| --- | --- |
| Nationality: | noun: Beninese (singular and plural) |
| Nationality: | adjective: Beninese |
| Ethnic groups: | Fon and related 39.2%, Adja and related 15.2%, Yoruba and related 12.3%, Bariba and related 9.2%, Peulh and related 7%, Ottamari and related 6.1%, Yoa-Lokpa and related 4%, Dendi and related 2.5%, other 1.6% (includes Europeans), unspecified 2.9% (2002 census) |
| Languages: | French (official), Fon and Yoruba (most common vernaculars in south), tribal languages (at least six major ones in north) |
| Religions: | Catholic 27.1%, Muslim 24.4%, Vodoun 17.3%, Protestant 10.4% (Celestial 5%, Methodist 3.2%, other Protestant 2.2%), other Christian 5.3%, other 15.5% (2002 census) |
| Population: | 9,325,032 (July 2011 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 44.7% (male 2,126,973/female 2,042,340) |
| Age structure: | 15-64 years: 52.6% (male 2,443,370/female 2,461,421) |
| Age structure: | 65 years and over: 2.7% (male 101,640/female 149,288) (2011 est.) |
| Median age: | total: 17.4 years |
| Median age: | male: 17 years |
| Median age: | female: 17.9 years (2011 est.) |
| Population growth rate: | 2.911% (2011 est.) |
| Birth rate: | 38.11 births/1,000 population (2011 est.) |
| Death rate: | 9 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 42% of total population (2010) |
| Urbanization: | rate of urbanization: 4% annual rate of change (2010-15 est.) |
| Major cities - population: | COTONOU (seat of government) 815,000; PORTO-NOVO (capital) 276,000 (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.04 male(s)/female |
| Sex ratio: | 15-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.69 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2011 est.) |
| Maternal mortality rate: | 410 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 61.56 deaths/1,000 live births |
| Infant mortality rate: | male: 64.89 deaths/1,000 live births |
| Infant mortality rate: | female: 58.07 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 59.84 years |
| Life expectancy at birth: | male: 58.61 years |
| Life expectancy at birth: | female: 61.14 years (2011 est.) |
| Total fertility rate: | 5.31 children born/woman (2011 est.) |
| Health expenditures: | 4.2% of GDP (2009) |
| Physicians density: | 0.059 physicians/1,000 population (2008) |
| Hospital bed density: | 0.5 beds/1,000 population (2005) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 84% of population |
| Drinking water source: | rural: 69% of population |
| Drinking water source: | total: 75% of population |
| unimproved: | urban: 16% of population |
| unimproved: | rural: 31% of population |
| unimproved: | total: 25% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 24% of population |
| Sanitation facility access: | rural: 4% of population |
| Sanitation facility access: | total: 12% of population |
| unimproved: | urban: 76% of population |
| unimproved: | rural: 96% of population |
| unimproved: | total: 88% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 1.2% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 60,000 (2009 est.) |
| HIV/AIDS - deaths: | 2,700 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and yellow fever |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies (2009) |
| Children under the age of 5 years underweight: | 20.2% (2006) |
| Education expenditures: | 3.5% of GDP (2007) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 34.7% |
| Literacy: | male: 47.9% |
| Literacy: | female: 23.3% (2002 census) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2005) |
| Unemployment, youth ages 15-24: | total: 0.8% |
| Unemployment, youth ages 15-24: | male: 1.1% |
| Unemployment, youth ages 15-24: | female: 0.6% (2002) |
