| People | Liberia |
| --- | --- |
| Population: | 3,195,931 (July 2007 est.) |
| Age structure: | 0-14 years: 43.6% (male 698,382/female 695,409) |
| Age structure: | 15-64 years: 53.6% (male 848,951/female 865,380) |
| Age structure: | 65 years and over: 2.7% (male 42,745/female 45,064) (2007 est.) |
| Median age: | total: 18.1 years |
| Median age: | male: 17.9 years |
| Median age: | female: 18.2 years (2007 est.) |
| Population growth rate: | 4.836% (2007 est.) |
| Birth rate: | 43.75 births/1,000 population (2007 est.) |
| Death rate: | 22.24 deaths/1,000 population (2007 est.) |
| Net migration rate: | 26.86 migrant(s)/1,000 population (2007 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.004 male(s)/female |
| Sex ratio: | 15-64 years: 0.981 male(s)/female |
| Sex ratio: | 65 years and over: 0.949 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2007 est.) |
| Infant mortality rate: | total: 149.73 deaths/1,000 live births |
| Infant mortality rate: | male: 165.65 deaths/1,000 live births |
| Infant mortality rate: | female: 133.34 deaths/1,000 live births (2007 est.) |
| Life expectancy at birth: | total population: 40.39 years |
| Life expectancy at birth: | male: 38.93 years |
| Life expectancy at birth: | female: 41.89 years (2007 est.) |
| Total fertility rate: | 5.94 children born/woman (2007 est.) |
| HIV/AIDS - adult prevalence rate: | 5.9% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 100,000 (2003 est.) |
| HIV/AIDS - deaths: | 7,200 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and yellow fever are high risks in some locations |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | aerosolized dust or soil contact disease: Lassa fever (2007) |
| Nationality: | noun: Liberian(s) |
| Nationality: | adjective: Liberian |
| Ethnic groups: | indigenous African 95% (including Kpelle, Bassa, Gio, Kru, Grebo, Mano, Krahn, Gola, Gbandi, Loma, Kissi, Vai, Dei, Bella, Mandingo, and Mende), Americo-Liberians 2.5% (descendants of immigrants from the US who had been slaves), Congo People 2.5% (descendants of immigrants from the Caribbean who had been slaves) |
| Religions: | Christian 40%, Muslim 20%, indigenous beliefs 40% |
| Languages: | English 20% (official), some 20 ethnic group languages, of which a few can be written and are used in correspondence |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 57.5% |
| Literacy: | male: 73.3% |
| Literacy: | female: 41.6% (2003 est.) |
