| People and Society | Liberia |
| --- | --- |
| Nationality: | noun: Liberian(s) |
| Nationality: | adjective: Liberian |
| Ethnic groups: | Kpelle 20.3%, Bassa 13.4%, Grebo 10%, Gio 8%, Mano 7.9%, Kru 6%, Lorma 5.1%, Kissi 4.8%, Gola 4.4%, other 20.1% (2008 Census) |
| Languages: | English 20% (official), some 20 ethnic group languages few of which can be written or used in correspondence |
| Religions: | Christian 85.6%, Muslim 12.2%, Traditional 0.6%, other 0.2%, none 1.4% (2008 Census) |
| Population: | 3,887,886 (July 2012 est.) |
| Age structure: | 0-14 years: 44.1% (male 861,721/ female 850,951) |
| Age structure: | 15-64 years: 53% (male 1,019,144/ female 1,040,077) |
| Age structure: | 65 years and over: 3% (male 58,159/ female 57,834) (2012 est.) |
| Age structure: | population pyramid: [] |
| Median age: | total: 18.2 years |
| Median age: | male: 18 years |
| Median age: | female: 18.3 years (2012 est.) |
| Population growth rate: | 2.609% (2012 est.) |
| Birth rate: | 36.45 births/1,000 population (2012 est.) |
| Death rate: | 10.36 deaths/1,000 population (July 2012 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2012 est.) |
| Urbanization: | urban population: 48% of total population (2010) |
| Urbanization: | rate of urbanization: 3.4% annual rate of change (2010-15 est.) |
| Major cities - population: | MONROVIA (capital) 882,000 (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 1.01 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2011 est.) |
| Maternal mortality rate: | 770 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 72.71 deaths/1,000 live births |
| Infant mortality rate: | male: 77.08 deaths/1,000 live births |
| Infant mortality rate: | female: 68.2 deaths/1,000 live births (2012 est.) |
| Life expectancy at birth: | total population: 57.41 years |
| Life expectancy at birth: | male: 55.82 years |
| Life expectancy at birth: | female: 59.04 years (2012 est.) |
| Total fertility rate: | 5.02 children born/woman (2012 est.) |
| Health expenditures: | 3.9% of GDP (2009) |
| Physicians density: | 0.014 physicians/1,000 population (2008) |
| Hospital bed density: | 0.7 beds/1,000 population (2009) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 25% of population |
| Sanitation facility access: | rural: 4% of population |
| Sanitation facility access: | total: 17% of population |
| unimproved: | urban: 75% of population |
| unimproved: | rural: 96% of population |
| unimproved: | total: 83% of population |
| HIV/AIDS - adult prevalence rate: | 1.5% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 37,000 (2009 est.) |
| HIV/AIDS - deaths: | 3,600 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | aerosolized dust or soil contact disease: Lassa fever |
| Major infectious diseases: | animal contact disease: rabies (2009) |
| Children under the age of 5 years underweight: | 20.4% (2007) |
| Education expenditures: | 2.7% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 60.8% |
| Literacy: | male: 64.8% |
| Literacy: | female: 56.8% (2010 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 9 years (2000) |
| Unemployment, youth ages 15-24: | total: 4.7% |
| Unemployment, youth ages 15-24: | male: 5.7% |
| Unemployment, youth ages 15-24: | female: 3.7% (2007) |
