| People and Society | Liberia |
| --- | --- |
| Population: | 4,809,768 (July 2018 est.) |
| Nationality: | noun: Liberian(s) |
| Nationality: | adjective: Liberian |
| Ethnic groups: | Kpelle 20.3%, Bassa 13.4%, Grebo 10%, Gio 8%, Mano 7.9%, Kru 6%, Lorma 5.1%, Kissi 4.8%, Gola 4.4%, Krahn 4%, Vai 4%, Mandingo 3.2%, Gbandi 3%, Mende 1.3%, Sapo 1.3%, other Liberian 1.7%, other African 1.4%, non-African .1% (2008 est.) |
| Languages: | English 20% (official), some 20 ethnic group languages few of which can be written or used in correspondence |
| Religions: | Christian 85.6%, Muslim 12.2%, Traditional 0.6%, other 0.2%, none 1.5% (2008 est.) |
| Demographic profile: | Liberiaâ€™s high fertility rate of nearly 5 children per woman and large youth cohort â€“ more than 60% of the population is under the age of 25 â€“ will sustain a high dependency ratio for many years to come. Significant progress has been made in preventing child deaths, despite a lack of health care workers and infrastructure. Infant and child mortality have dropped nearly 70% since 1990; the annual reduction rate of about 5.4% is the highest in Africa. |
| Demographic profile: | Nevertheless, Liberiaâ€™s high maternal mortality rate remains among the worldâ€™s worst; it reflects a high unmet need for family planning services, frequency of early childbearing, lack of quality obstetric care, high adolescent fertility, and a low proportion of births attended by a medical professional. Female mortality is also increased by the prevalence of female genital cutting (FGC), which is practiced by 10 of Liberiaâ€™s 16 tribes and affects more than two-thirds of women and girls. FGC is an initiation ritual performed in rural bush schools, which teach traditional beliefs on marriage and motherhood and are an obstacle to formal classroom education for Liberian girls. |
| Demographic profile: | Liberia has been both a source and a destination for refugees. During Liberiaâ€™s 14-year civil war (1989-2003), more than 250,000 people became refugees and another half million were internally displaced. Between 2004 and the cessation of refugee status for Liberians in June 2012, the UNHCR helped more than 155,000 Liberians to voluntarily repatriate, while others returned home on their own. Some Liberian refugees spent more than two decades living in other West African countries. Liberia hosted more than 125,000 Ivoirian refugees escaping post-election violence in 2010-11; as of mid-2017, about 12,000 Ivoirian refugees were still living in Liberia as of October 2017 because of instability. |
| Age structure: | 0-14 years: 43.72% (male 1,062,766 /female 1,040,211) |
| Age structure: | 15-24 years: 19.9% (male 478,041 /female 478,999) |
| Age structure: | 25-54 years: 30.1% (male 711,963 /female 735,878) |
| Age structure: | 55-64 years: 3.43% (male 84,474 /female 80,410) |
| Age structure: | 65 years and over: 2.85% (male 67,229 /female 69,797) (2018 est.) |
| Dependency ratios: | total dependency ratio: 83.2 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 77.6 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 5.5 (2015 est.) |
| Dependency ratios: | potential support ratio: 18.1 (2015 est.) |
| Median age: | total: 17.8 years |
| Median age: | male: 17.6 years |
| Median age: | female: 18.1 years (2018 est.) |
| Population growth rate: | 2.59% (2018 est.) |
| Birth rate: | 37.9 births/1,000 population (2018 est.) |
| Death rate: | 7.4 deaths/1,000 population (2018 est.) |
| Net migration rate: | -5.7 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | more than half of the population lives in urban areas, with approximately one-third living within an 80-km radius of Monrovia |
| Urbanization: | urban population: 51.2% of total population (2018) |
| Urbanization: | rate of urbanization: 3.41% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 1.418 million MONROVIA (capital) (2018) |
| Sex ratio: | at birth: 1.02 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.02 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 0.97 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 0.99 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.93 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.97 male(s)/female (2017 est.) |
| Sex ratio: | total population: 0.99 male(s)/female (2017 est.) |
| Mother's mean age at first birth: | 19.2 years (2013 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 725 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 50.6 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 55 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 46 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 63.8 years (2018 est.) |
| Life expectancy at birth: | male: 61.6 years (2018 est.) |
| Life expectancy at birth: | female: 66 years (2018 est.) |
| Total fertility rate: | 5 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 31% (2016) |
| Health expenditures: | 10% of GDP (2014) |
| Physicians density: | 0.02 physicians/1,000 population (2010) |
| Hospital bed density: | 0.8 beds/1,000 population (2010) |
| Drinking water source: | improved: urban: 88.6% of population |
| Drinking water source: | rural: 62.6% of population |
| Drinking water source: | total: 75.6% of population |
| Drinking water source: | unimproved: urban: 11.4% of population |
| Drinking water source: | rural: 37.4% of population |
| Drinking water source: | total: 24.4% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 28% of population (2015 est.) |
| Sanitation facility access: | rural: 5.9% of population (2015 est.) |
| Sanitation facility access: | total: 16.9% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 72% of population (2015 est.) |
| Sanitation facility access: | rural: 94.1% of population (2015 est.) |
| Sanitation facility access: | total: 83.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1.4% (2017 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 40,000 (2017 est.) |
| HIV/AIDS - deaths: | 2,500 (2017 est.) |
| Major infectious diseases: | degree of risk: very high (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever (2016) |
