| People and Society | LIBERIA |
| --- | --- |
| Nationality: | noun: Liberian(s) |
| Nationality: | adjective: Liberian |
| Ethnic groups: | Kpelle 20.3%, Bassa 13.4%, Grebo 10%, Gio 8%, Mano 7.9%, Kru 6%, Lorma 5.1%, Kissi 4.8%, Gola 4.4%, other 20.1% (2008 Census) |
| Languages: | English 20% (official), some 20 ethnic group languages few of which can be written or used in correspondence |
| Religions: | Christian 85.6%, Muslim 12.2%, Traditional 0.6%, other 0.2%, none 1.4% (2008 Census) |
| Population: | 4,195,666 (July 2015 est.) |
| Age structure: | 0-14 years: 42.75% (male 904,495/female 889,198) |
| Age structure: | 15-24 years: 18.3% (male 376,224/female 391,568) |
| Age structure: | 25-54 years: 31.51% (male 658,291/female 663,954) |
| Age structure: | 55-64 years: 4.3% (male 87,606/female 92,831) |
| Age structure: | 65 years and over: 3.13% (male 64,697/female 66,802) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 82.9% |
| population pyramid: | youth dependency ratio: 77.4% |
| population pyramid: | elderly dependency ratio: 5.5% |
| population pyramid: | potential support ratio: 18.2% (2015 est.) |
| Median age: | total: 18.1 years |
| Median age: | male: 17.9 years |
| Median age: | female: 18.3 years (2015 est.) |
| Population growth rate: | 2.47% (2015 est.) |
| Birth rate: | 34.41 births/1,000 population (2015 est.) |
| Death rate: | 9.69 deaths/1,000 population (2015 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 49.7% of total population (2015) |
| Urbanization: | rate of urbanization: 3.36% annual rate of change (2010-15 est.) |
| Major urban areas - population: | MONROVIA (capital) 1.264 million (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 0.96 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.94 male(s)/female |
| Sex ratio: | 65 years and over: 0.97 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2015 est.) |
| Maternal mortality rate: | 725 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 67.5 deaths/1,000 live births |
| Infant mortality rate: | male: 71.71 deaths/1,000 live births |
| Infant mortality rate: | female: 63.16 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 58.6 years |
| Life expectancy at birth: | male: 56.94 years |
| Life expectancy at birth: | female: 60.32 years (2015 est.) |
| Total fertility rate: | 4.7 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 20.2% (2013) |
| Health expenditures: | 10% of GDP (2013) |
| Physicians density: | 0.01 physicians/1,000 population (2008) |
| Hospital bed density: | 0.8 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 88.6% of population |
| Drinking water source: | rural: 62.6% of population |
| Drinking water source: | total: 75.6% of population |
| unimproved: | urban: 11.4% of population |
| unimproved: | rural: 37.4% of population |
| unimproved: | total: 24.4% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 28% of population |
| Sanitation facility access: | rural: 5.9% of population |
| Sanitation facility access: | total: 16.9% of population |
| unimproved: | urban: 72% of population |
| unimproved: | rural: 94.1% of population |
| unimproved: | total: 83.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1.17% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 33,100 (2014 est.) |
| HIV/AIDS - deaths: | 2,000 (2014 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | aerosolized dust or soil contact disease: Lassa fever |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 5.8% (2014) |
| Children under the age of 5 years underweight: | 15.3% (2013) |
| Education expenditures: | 2.8% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 47.6% |
| Literacy: | male: 62.4% |
| Literacy: | female: 32.8% (2015 est.) |
| Child labor - children ages 5-14: | total number: 177,160 |
| Child labor - children ages 5-14: | percentage: 21% (2007 est.) |
| Unemployment, youth ages 15-24: | total: 5.1% |
| Unemployment, youth ages 15-24: | male: 3.4% |
| Unemployment, youth ages 15-24: | female: 6.6% (2010 est.) |
