| People and Society | Sierra Leone |
| --- | --- |
| Nationality: | noun: Sierra Leonean(s) |
| Nationality: | adjective: Sierra Leonean |
| Ethnic groups: | Temne 35%, Mende 31%, Limba 8%, Kono 5%, Kriole 2% (descendants of freed Jamaican slaves who were settled in the Freetown area in the late-18th century; also known as Krio), Mandingo 2%, Loko 2%, other 15% (includes refugees from Liberia's recent civil war, and small numbers of Europeans, Lebanese, Pakistanis, and Indians) (2008 census) |
| Languages: | English (official, regular use limited to literate minority), Mende (principal vernacular in the south), Temne (principal vernacular in the north), Krio (English-based Creole, spoken by the descendants of freed Jamaican slaves who were settled in the Freetown area, a lingua franca and a first language for 10% of the population but understood by 95%) |
| Religions: | Muslim 60%, Christian 10%, indigenous beliefs 30% |
| Population: | 5,743,725 (July 2014 est.) |
| Age structure: | 0-14 years: 41.9% (male 1,198,553/female 1,208,775) |
| Age structure: | 15-24 years: 18.8% (male 524,819/female 557,142) |
| Age structure: | 25-54 years: 31.6% (male 872,284/female 943,626) |
| Age structure: | 55-64 years: 3.9% (male 101,856/female 123,164) |
| Age structure: | 65 years and over: 3.7% (male 91,198/female 122,308) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 78.3 % |
| population pyramid: | youth dependency ratio: 73.5 % |
| population pyramid: | elderly dependency ratio: 4.8 % |
| population pyramid: | potential support ratio: 21 (2014 est.) |
| Median age: | total: 19 years |
| Median age: | male: 18.5 years |
| Median age: | female: 19.6 years (2014 est.) |
| Population growth rate: | 2.33% (2014 est.) |
| Birth rate: | 37.4 births/1,000 population (2014 est.) |
| Death rate: | 11.03 deaths/1,000 population (2014 est.) |
| Net migration rate: | -3.12 migrant(s)/1,000 population |
| Net migration rate: | note: refugees currently in surrounding countries are slowly returning (2014 est.) |
| Urbanization: | urban population: 39.2% of total population (2011) |
| Urbanization: | rate of urbanization: 3.04% annual rate of change (2010-15 est.) |
| Major urban areas - population: | FREETOWN (capital) 941,000 (2011) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 0.99 male(s)/female |
| Sex ratio: | 15-24 years: 0.94 male(s)/female |
| Sex ratio: | 25-54 years: 0.92 male(s)/female |
| Sex ratio: | 55-64 years: 0.94 male(s)/female |
| Sex ratio: | 65 years and over: 0.78 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 19 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2008 est.) |
| Maternal mortality rate: | 890 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 73.29 deaths/1,000 live births |
| Infant mortality rate: | male: 81.84 deaths/1,000 live births |
| Infant mortality rate: | female: 64.49 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 57.39 years |
| Life expectancy at birth: | male: 54.85 years |
| Life expectancy at birth: | female: 60 years (2014 est.) |
| Total fertility rate: | 4.83 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 11% (2010) |
| Health expenditures: | 18.8% of GDP (2011) |
| Physicians density: | 0.02 physicians/1,000 population (2010) |
| Hospital bed density: | 0.4 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 87.1% of population |
| Drinking water source: | rural: 42.4% of population |
| Drinking water source: | total: 60.1% of population |
| unimproved: | urban: 12.9% of population |
| unimproved: | rural: 57.6% of population |
| unimproved: | total: 39.9% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 22.5% of population |
| Sanitation facility access: | rural: 6.8% of population |
| Sanitation facility access: | total: 13% of population |
| unimproved: | urban: 77.5% of population |
| unimproved: | rural: 93.2% of population |
| unimproved: | total: 87% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 1.5% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 57,700 (2012 est.) |
| HIV/AIDS - deaths: | 3,300 (2012 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | aerosolized dust or soil contact disease: Lassa fever (2013) |
| Obesity - adult prevalence rate: | 6.8% (2008) |
| Children under the age of 5 years underweight: | 18.6% (2010) |
| Education expenditures: | 2.9% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write English, Mende, Temne, or Arabic |
| Literacy: | total population: 43.3% |
| Literacy: | male: 54.7% |
| Literacy: | female: 32.6% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 7 years |
| School life expectancy (primary to tertiary education): | male: 8 years |
| School life expectancy (primary to tertiary education): | female: 6 years (2001) |
| Child labor - children ages 5-14: | total number: 573,287 |
| Child labor - children ages 5-14: | percentage: 48 % (2005 est.) |
