| People and Society | SIERRA LEONE |
| --- | --- |
| Nationality: | noun: Sierra Leonean(s) |
| Nationality: | adjective: Sierra Leonean |
| Ethnic groups: | Temne 35%, Mende 31%, Limba 8%, Kono 5%, Kriole 2% (descendants of freed Jamaican slaves who were settled in the Freetown area in the late-18th century; also known as Krio), Mandingo 2%, Loko 2%, other 15% (includes refugees from Liberia's recent civil war, and small numbers of Europeans, Lebanese, Pakistanis, and Indians) (2008 census) |
| Languages: | English (official, regular use limited to literate minority), Mende (principal vernacular in the south), Temne (principal vernacular in the north), Krio (English-based Creole, spoken by the descendants of freed Jamaican slaves who were settled in the Freetown area, a lingua franca and a first language for 10% of the population but understood by 95%) |
| Religions: | Muslim 60%, Christian 10%, indigenous beliefs 30% |
| Population: | 5,879,098 (July 2015 est.) |
| Age structure: | 0-14 years: 41.93% (male 1,228,380/female 1,236,475) |
| Age structure: | 15-24 years: 18.67% (male 532,738/female 564,828) |
| Age structure: | 25-54 years: 31.85% (male 898,538/female 973,908) |
| Age structure: | 55-64 years: 3.82% (male 102,915/female 121,864) |
| Age structure: | 65 years and over: 3.73% (male 92,777/female 126,675) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 81.9% |
| population pyramid: | youth dependency ratio: 77.1% |
| population pyramid: | elderly dependency ratio: 4.9% |
| population pyramid: | potential support ratio: 20.6% (2015 est.) |
| Median age: | total: 19 years |
| Median age: | male: 18.4 years |
| Median age: | female: 19.6 years (2015 est.) |
| Population growth rate: | 2.35% (2015 est.) |
| Birth rate: | 37.03 births/1,000 population (2015 est.) |
| Death rate: | 10.81 deaths/1,000 population (2015 est.) |
| Net migration rate: | -2.77 migrant(s)/1,000 population |
| Net migration rate: | note: refugees currently in surrounding countries are slowly returning (2015 est.) |
| Urbanization: | urban population: 39.9% of total population (2015) |
| Urbanization: | rate of urbanization: 2.75% annual rate of change (2010-15 est.) |
| Major urban areas - population: | FREETOWN (capital) 1.007 million (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 0.99 male(s)/female |
| Sex ratio: | 15-24 years: 0.94 male(s)/female |
| Sex ratio: | 25-54 years: 0.92 male(s)/female |
| Sex ratio: | 55-64 years: 0.85 male(s)/female |
| Sex ratio: | 65 years and over: 0.73 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 71.68 deaths/1,000 live births |
| Infant mortality rate: | male: 80.14 deaths/1,000 live births |
| Infant mortality rate: | female: 62.96 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 57.79 years |
| Life expectancy at birth: | male: 55.23 years |
| Life expectancy at birth: | female: 60.42 years (2015 est.) |
| Total fertility rate: | 4.8 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 16.6% (2013) |
| Health expenditures: | 11.8% of GDP (2013) |
| Physicians density: | 0.02 physicians/1,000 population (2010) |
| Hospital bed density: | 0.4 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 84.9% of population |
| Drinking water source: | rural: 47.8% of population |
| Drinking water source: | total: 62.6% of population |
| unimproved: | urban: 15.1% of population |
| unimproved: | rural: 52.2% of population |
| unimproved: | total: 37.4% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 22.8% of population |
| Sanitation facility access: | rural: 6.9% of population |
| Sanitation facility access: | total: 13.3% of population |
| unimproved: | urban: 77.2% of population |
| unimproved: | rural: 93.1% of population |
| unimproved: | total: 86.7% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1.4% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 54,000 (2014 est.) |
| HIV/AIDS - deaths: | 2,700 (2014 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | aerosolized dust or soil contact disease: Lassa fever (2013) |
| Obesity - adult prevalence rate: | 6.6% (2014) |
| Children under the age of 5 years underweight: | 18.1% (2013) |
| Education expenditures: | 2.9% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write English, Mende, Temne, or Arabic |
| Literacy: | total population: 48.1% |
| Literacy: | male: 58.7% |
| Literacy: | female: 37.7% (2015 est.) |
| Child labor - children ages 5-14: | total number: 573,287 |
| Child labor - children ages 5-14: | percentage: 48% (2005 est.) |
