| People and Society | PAKISTAN |
| --- | --- |
| Population: | 204,924,861 (July 2017 est.) |
| Population: | note: provisional results of Pakistan's 2017 national census estimate the country's total population to be 207,774,000 |
| Nationality: | noun: Pakistani(s) |
| Nationality: | adjective: Pakistani |
| Ethnic groups: | Punjabi 44.7%, Pashtun (Pathan) 15.4%, Sindhi 14.1%, Sariaki 8.4%, Muhajirs 7.6%, Balochi 3.6%, other 6.3% |
| Languages: | Punjabi 48%, Sindhi 12%, Saraiki (a Punjabi variant) 10%, Pashto (alternate name, Pashtu) 8%, Urdu (official) 8%, Balochi 3%, Hindko 2%, Brahui 1%, English (official; lingua franca of Pakistani elite and most government ministries), Burushaski, and other 8% |
| Religions: | Muslim (official) 96.4% (Sunni 85-90%, Shia 10-15%), other (includes Christian and Hindu) 3.6% (2010 est.) |
| Age structure: | 0-14 years: 31.36% (male 33,005,623/female 31,265,463) |
| Age structure: | 15-24 years: 21.14% (male 22,337,897/female 20,980,455) |
| Age structure: | 25-54 years: 37.45% (male 39,846,417/female 36,907,683) |
| Age structure: | 55-64 years: 5.57% (male 5,739,817/female 5,669,495) |
| Age structure: | 65 years and over: 4.48% (male 4,261,917/female 4,910,094) (2017 est.) |
| Dependency ratios: | total dependency ratio: 65.3 |
| Dependency ratios: | youth dependency ratio: 57.9 |
| Dependency ratios: | elderly dependency ratio: 7.4 |
| Dependency ratios: | potential support ratio: 13.5 (2015 est.) |
| Median age: | total: 23.8 years |
| Median age: | male: 23.7 years |
| Median age: | female: 23.8 years (2017 est.) |
| Population growth rate: | 1.43% (2017 est.) |
| Birth rate: | 21.9 births/1,000 population (2017 est.) |
| Death rate: | 6.3 deaths/1,000 population (2017 est.) |
| Net migration rate: | -1.3 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | the Indus River and its tributaries attract most of the settlement, with Punjab province the most densely populated |
| Urbanization: | urban population: 39.7% of total population (2017) |
| Urbanization: | rate of urbanization: 2.77% annual rate of change (2015-20 est.) |
| Major urban areas - population: | Karachi 16.618 million; Lahore 8.741 million; Faisalabad 3.567 million; Rawalpindi 2.506 million; Multan 1.921 million; ISLAMABAD (capital) 1.365 million (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 1.08 male(s)/female |
| Sex ratio: | 55-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.88 male(s)/female |
| Sex ratio: | total population: 1.06 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 23.4 years |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2012/13 est.) |
| Maternal mortality rate: | 178 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 52.1 deaths/1,000 live births |
| Infant mortality rate: | male: 55.2 deaths/1,000 live births |
| Infant mortality rate: | female: 48.8 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 68.1 years |
| Life expectancy at birth: | male: 66.1 years |
| Life expectancy at birth: | female: 70.1 years (2017 est.) |
| Total fertility rate: | 2.62 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 35.4% (2012/13) |
| Health expenditures: | 2.6% of GDP (2014) |
| Physicians density: | 0.81 physicians/1,000 population (2014) |
| Hospital bed density: | 0.6 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 93.9% of population |
| Drinking water source: | rural: 89.9% of population |
| Drinking water source: | total: 91.4% of population |
| unimproved: | urban: 6.1% of population |
| unimproved: | rural: 10.1% of population |
| unimproved: | total: 8.6% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 83.1% of population |
| Sanitation facility access: | rural: 51.1% of population |
| Sanitation facility access: | total: 63.5% of population |
| unimproved: | urban: 16.9% of population |
| unimproved: | rural: 48.9% of population |
| unimproved: | total: 36.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 130,000 (2016 est.) |
| HIV/AIDS - deaths: | 5,500 (2016 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Major infectious diseases: | animal contact disease: rabies (2016) |
| Obesity - adult prevalence rate: | 8.6% (2016) |
| Children under the age of 5 years underweight: | 31.6% (2012) |
| Education expenditures: | 2.7% of GDP (2015) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 57.9% |
| Literacy: | male: 69.5% |
| Literacy: | female: 45.8% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 8 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 7 years (2015) |
| Unemployment, youth ages 15-24: | total: 8.6% |
| Unemployment, youth ages 15-24: | male: 8% |
| Unemployment, youth ages 15-24: | female: 10.6% (2014 est.) |
