| People and Society | Pakistan |
| --- | --- |
| Population: | 233,500,636 (July 2020 est.) |
| Population: | note: provisional results of Pakistan's 2017 national census estimate the country's total population to be 207,774,000 |
| Nationality: | noun: Pakistani(s) |
| Nationality: | adjective: Pakistani |
| Ethnic groups: | Punjabi 44.7%, Pashtun (Pathan) 15.4%, Sindhi 14.1%, Saraiki 8.4%, Muhajirs 7.6%, Balochi 3.6%, other 6.3% |
| Languages: | Punjabi 48%, Sindhi 12%, Saraiki (a Punjabi variant) 10%, Pashto (alternate name, Pashtu) 8%, Urdu (official) 8%, Balochi 3%, Hindko 2%, Brahui 1%, English (official; lingua franca of Pakistani elite and most government ministries), Burushaski, and other 8% |
| Religions: | Muslim (official) 96.4% (Sunni 85-90%, Shia 10-15%), other (includes Christian and Hindu) 3.6% (2010 est.) |
| Age structure: | 0-14 years: 36.01% (male 42,923,925/female 41,149,694) |
| Age structure: | 15-24 years: 19.3% (male 23,119,205/female 21,952,976) |
| Age structure: | 25-54 years: 34.7% (male 41,589,381/female 39,442,046) |
| Age structure: | 55-64 years: 5.55% (male 6,526,656/female 6,423,993) |
| Age structure: | 65 years and over: 4.44% (male 4,802,165/female 5,570,595) (2020 est.) |
| Dependency ratios: | total dependency ratio: 64.4 |
| Dependency ratios: | youth dependency ratio: 57.2 |
| Dependency ratios: | elderly dependency ratio: 7.1 |
| Dependency ratios: | potential support ratio: 14 (2020 est.) |
| Median age: | total: 22 years |
| Median age: | male: 21.9 years |
| Median age: | female: 22.1 years (2020 est.) |
| Population growth rate: | 2.07% (2020 est.) |
| Birth rate: | 27.4 births/1,000 population (2020 est.) |
| Death rate: | 6.2 deaths/1,000 population (2020 est.) |
| Net migration rate: | -0.9 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | the Indus River and its tributaries attract most of the settlement, with Punjab province the most densely populated |
| Urbanization: | urban population: 37.2% of total population (2020) |
| Urbanization: | rate of urbanization: 2.53% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 16.094 million Karachi, 12.642 million Lahore, 3.462 million Faisalabad, 2.237 million Rawalpindi, 2.229 million Gujranwala, 1.129 million ISLAMABAD (capital) (2020) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 1.02 male(s)/female |
| Sex ratio: | 65 years and over: 0.86 male(s)/female |
| Sex ratio: | total population: 1.04 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 23.6 years (2017/18 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 140 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 52.3 deaths/1,000 live births |
| Infant mortality rate: | male: 55.9 deaths/1,000 live births |
| Infant mortality rate: | female: 48.5 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 69.2 years |
| Life expectancy at birth: | male: 67.2 years |
| Life expectancy at birth: | female: 71.3 years (2020 est.) |
| Total fertility rate: | 3.6 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 34.2% (2017/18) |
| Drinking water source: | improved: urban: 94.2% of population |
| Drinking water source: | rural: 89.9% of population |
| Drinking water source: | total: 91.5% of population |
| Drinking water source: | unimproved: urban: 5.8% of population |
| Drinking water source: | rural: 10.1% of population |
| Drinking water source: | total: 8.5% of population (2017 est.) |
| Current Health Expenditure: | 2.9% (2017) |
| Physicians density: | 1 physicians/1,000 population (2017) |
| Hospital bed density: | 0.6 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 82.5% of population |
| Sanitation facility access: | rural: 62.9% of population |
| Sanitation facility access: | total: 70.1% of population |
| Sanitation facility access: | unimproved: urban: 17.5% of population |
| Sanitation facility access: | rural: 37.1% of population |
| Sanitation facility access: | total: 29.9% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 190,000 (2019 est.) |
| HIV/AIDS - deaths: | 6,800 (2019 est.) |
| Major infectious diseases: | degree of risk: high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Major infectious diseases: | animal contact diseases: rabies |
| Major infectious diseases: | note: widespread ongoing transmission of a respiratory illness caused by the novel coronavirus (COVID-19) is occurring throughout Pakistan; as of 8 December 2020, Pakistan has reported a total of 413,191 cases of COVID-19 or 1,871 cumulative cases of COVID-19 per 1 million population with 38 cumulative deaths per 1 million population; the Government of Pakistan will permit commercial outbound passenger flights from all international airports except Gwadar and Turbat effective 30 May 2020, but inbound passenger flights remain suspended; limited domestic flight operations from five major airports â€“ Islamabad, Karachi, Lahore, Peshawar, and Quetta are available; on 7 May 2020, the Government of Pakistan announced an ease in some of the nationwide lockdown restrictions; additionally, the Islamabad Capital Territory and Sindh, Punjab, Balochistan, and Khyber Pakhtunkhwa provinces have varying degrees of lockdowns |
| Obesity - adult prevalence rate: | 8.6% (2016) |
| Children under the age of 5 years underweight: | 23.1% (2018) |
| Education expenditures: | 2.9% of GDP (2017) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 59.1% |
| Literacy: | male: 71.1% |
| Literacy: | female: 46.5% (2015) |
| School life expectancy (primary to tertiary education): | total: 8 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2018) |
| Unemployment, youth ages 15-24: | total: 7.8% |
| Unemployment, youth ages 15-24: | male: 8.2% |
| Unemployment, youth ages 15-24: | female: 6.8% (2018 est.) |
