| People and Society | Saint Kitts and Nevis |
| --- | --- |
| Population: | 53,094 (July 2018 est.) |
| Nationality: | noun: Kittitian(s), Nevisian(s) |
| Nationality: | adjective: Kittitian, Nevisian |
| Ethnic groups: | African origin 92.5%, mixed 3%, white 2.1%, East Indian 1.5%, other .6%, unspecified .3% (2001 est.) |
| Languages: | English (official) |
| Religions: | Protestant 74.4% (includes Anglican 20.6%, Methodist 19.1%, Pentecostal 8.2%, Church of God 6.8%, Moravian 5.5%, Baptist 4.8%, Seventh Day Adventist 4.7%, Evangelical 2.6%, Bretheren 1.8%, other .3%), Roman Catholic 6.7%, Rastafarian 1.7%, Jehovah's Witness 1.3%, other 7.6%, none 5.2%, unspecified 3.2% (2001 est.) |
| Age structure: | 0-14 years: 20.09% (male 5,354 /female 5,311) |
| Age structure: | 15-24 years: 14.28% (male 3,645 /female 3,936) |
| Age structure: | 25-54 years: 44.25% (male 12,059 /female 11,437) |
| Age structure: | 55-64 years: 12.35% (male 3,274 /female 3,283) |
| Age structure: | 65 years and over: 9.03% (male 2,236 /female 2,559) (2018 est.) |
| Median age: | total: 35.5 years |
| Median age: | male: 35.7 years |
| Median age: | female: 35.3 years (2018 est.) |
| Population growth rate: | 0.7% (2018 est.) |
| Birth rate: | 13 births/1,000 population (2018 est.) |
| Death rate: | 7.2 deaths/1,000 population (2018 est.) |
| Net migration rate: | 1.2 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | population clusters are found in the small towns located on the periphery of both islands |
| Urbanization: | urban population: 30.8% of total population (2018) |
| Urbanization: | rate of urbanization: 0.92% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 14,000 BASSETERRE (capital) (2018) |
| Sex ratio: | at birth: 1.03 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.01 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 0.94 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 1 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.83 male(s)/female (2017 est.) |
| Sex ratio: | total population: 1 male(s)/female (2017 est.) |
| Infant mortality rate: | total: 8.2 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 5.8 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 10.6 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 76.2 years (2018 est.) |
| Life expectancy at birth: | male: 73.7 years (2018 est.) |
| Life expectancy at birth: | female: 78.7 years (2018 est.) |
| Total fertility rate: | 1.77 children born/woman (2018 est.) |
| Health expenditures: | 5.1% of GDP (2014) |
| Hospital bed density: | 4.8 beds/1,000 population (2012) |
| Drinking water source: | improved: urban: 98.3% of population |
| Drinking water source: | rural: 98.3% of population |
| Drinking water source: | total: 98.3% of population |
| Drinking water source: | unimproved: urban: 1.7% of population |
| Drinking water source: | rural: 1.7% of population |
| Drinking water source: | total: 1.7% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 87.3% of population (2007 est.) |
| Sanitation facility access: | rural: 87.3% of population (2007 est.) |
| Sanitation facility access: | total: 87.3% of population (2007 est.) |
| Sanitation facility access: | unimproved: urban: 12.7% of population (2007 est.) |
| Sanitation facility access: | rural: 12.7% of population (2007 est.) |
| Sanitation facility access: | total: 12.7% of population (2007 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 22.9% (2016) |
| Education expenditures: | 2.8% of GDP (2015) |
| School life expectancy (primary to tertiary education): | total: 14 years (2015) |
| School life expectancy (primary to tertiary education): | male: 13 years (2015) |
| School life expectancy (primary to tertiary education): | female: 16 years (2015) |
