| People and Society | SAINT KITTS AND NEVIS |
| --- | --- |
| Nationality: | noun: Kittitian(s), Nevisian(s) |
| Nationality: | adjective: Kittitian, Nevisian |
| Ethnic groups: | predominantly black; some British, Portuguese, and Lebanese |
| Languages: | English (official) |
| Religions: | Anglican, other Protestant, Roman Catholic |
| Population: | 51,936 (July 2015 est.) |
| Age structure: | 0-14 years: 20.99% (male 5,457/female 5,445) |
| Age structure: | 15-24 years: 15.1% (male 3,845/female 3,999) |
| Age structure: | 25-54 years: 45.01% (male 11,951/female 11,427) |
| Age structure: | 55-64 years: 10.79% (male 2,806/female 2,800) |
| Age structure: | 65 years and over: 8.1% (male 1,912/female 2,294) (2015 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 34 years |
| population pyramid: | male: 34.2 years |
| population pyramid: | female: 33.9 years (2015 est.) |
| Population growth rate: | 0.76% (2015 est.) |
| Birth rate: | 13.5 births/1,000 population (2015 est.) |
| Death rate: | 7.09 deaths/1,000 population (2015 est.) |
| Net migration rate: | 1.21 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 32% of total population (2015) |
| Urbanization: | rate of urbanization: 1.27% annual rate of change (2010-15 est.) |
| Major urban areas - population: | BASSETERRE (capital) 14,000 (2014) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 1 male(s)/female |
| Sex ratio: | 15-24 years: 0.96 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.83 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 8.77 deaths/1,000 live births |
| Infant mortality rate: | male: 6.03 deaths/1,000 live births |
| Infant mortality rate: | female: 11.56 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 75.52 years |
| Life expectancy at birth: | male: 73.09 years |
| Life expectancy at birth: | female: 77.99 years (2015 est.) |
| Total fertility rate: | 1.78 children born/woman (2015 est.) |
| Health expenditures: | 6.4% of GDP (2013) |
| Hospital bed density: | 2.3 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98.3% of population |
| Drinking water source: | rural: 98.3% of population |
| Drinking water source: | total: 98.3% of population |
| unimproved: | urban: 1.7% of population |
| unimproved: | rural: 1.7% of population |
| unimproved: | total: 1.7% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 87.3% of population |
| Sanitation facility access: | rural: 87.3% of population |
| Sanitation facility access: | total: 87.3% of population |
| unimproved: | urban: 12.7% of population |
| unimproved: | rural: 12.7% of population |
| unimproved: | total: 12.7% of population (2007 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 28.4% (2014) |
| Education expenditures: | 4.2% of GDP (2007) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2008) |
