| People and Society | Serbia |
| --- | --- |
| Nationality: | noun: Serb(s) |
| Nationality: | adjective: Serbian |
| Ethnic groups: | Serb 82.9%, Hungarian 3.9%, Romany (Gypsy) 1.4%, Yugoslavs 1.1%, Bosniaks 1.8%, Montenegrin 0.9%, other 8% (2002 census) |
| Languages: | Serbian (official) 88.3%, Hungarian 3.8%, Bosniak 1.8%, Romany (Gypsy) 1.1%, other 4.1%, unknown 0.9% (2002 census) |
| Languages: | note: Romanian, Hungarian, Slovak, Ukrainian, and Croatian all official in Vojvodina |
| Religions: | Serbian Orthodox 85%, Catholic 5.5%, Protestant 1.1%, Muslim 3.2%, unspecified 2.6%, other, unknown, or atheist 2.6% (2002 census) |
| Population: | 7,310,555 (July 2011 est.) |
| Population: | note: does not include the population of Kosovo |
| Age structure: | 0-14 years: 15.1% (male 567,757/female 532,604) |
| Age structure: | 15-64 years: 68.5% (male 2,503,490/female 2,500,949) |
| Age structure: | 65 years and over: 16.5% (male 493,436/female 712,319) (2011 est.) |
| Median age: | total: 41.3 years |
| Median age: | male: 39.6 years |
| Median age: | female: 43.1 years (2011 est.) |
| Population growth rate: | -0.467% (2011 est.) |
| Birth rate: | 9.19 births/1,000 population (2011 est.) |
| Death rate: | 13.85 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 56% of total population (2010) |
| Urbanization: | rate of urbanization: 0.6% annual rate of change (2010-15 est.) |
| Major cities - population: | BELGRADE (capital) 1.115 million (2009) |
| Sex ratio: | at birth: 1.065 male(s)/female |
| Sex ratio: | under 15 years: 1.07 male(s)/female |
| Sex ratio: | 15-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and above: 0.7 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2011 est.) |
| Maternal mortality rate: | 8 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 6.52 deaths/1,000 live births |
| Infant mortality rate: | male: 7.53 deaths/1,000 live births |
| Infant mortality rate: | female: 5.45 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 74.32 years |
| Life expectancy at birth: | male: 71.49 years |
| Life expectancy at birth: | female: 77.34 years (2011 est.) |
| Total fertility rate: | 1.4 children born/woman (2011 est.) |
| Health expenditures: | 9.9% of GDP (2009) |
| Physicians density: | 2.035 physicians/1,000 population (2007) |
| Hospital bed density: | 5.4 beds/1,000 population (2007) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99% of population |
| Drinking water source: | rural: 98% of population |
| Drinking water source: | total: 99% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 2% of population |
| unimproved: | total: 1% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 96% of population |
| Sanitation facility access: | rural: 88% of population |
| Sanitation facility access: | total: 92% of population |
| unimproved: | urban: 4% of population |
| unimproved: | rural: 12% of population |
| unimproved: | total: 8% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 6,400 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea |
| Major infectious diseases: | vectorborne disease: Crimean Congo hemorrhagic fever |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2009) |
| Children under the age of 5 years underweight: | 1.8% (2006) |
| Education expenditures: | 4.7% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 96.4% |
| Literacy: | male: 98.9% |
| Literacy: | female: 94.1% (2003 census) |
| Literacy: | note: includes Montenegro |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2009) |
| Unemployment, youth ages 15-24: | total: 42.5% |
| Unemployment, youth ages 15-24: | male: 31% |
| Unemployment, youth ages 15-24: | female: 41.3% (2008) |
