| People | Serbia |
| --- | --- |
| Population: | 7,379,339 |
| Population: | note: does not include the population of Kosovo (July 2009 est.) |
| Age structure: | 0-14 years: 15.4% (male 586,806/female 549,900) |
| Age structure: | 15-64 years: 67.8% (male 2,503,194/female 2,502,807) |
| Age structure: | 65 years and over: 16.8% (male 508,606/female 728,026) (2009 est.) |
| Median age: | total: 41 years |
| Median age: | male: 39.3 years |
| Median age: | female: 42.7 years (2009 est.) |
| Population growth rate: | -0.468% (2009 est.) |
| Birth rate: | 9.19 births/1,000 population (2009 est.) |
| Death rate: | 13.86 deaths/1,000 population (2009 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2008 est.) |
| Urbanization: | urban population: 52% of total population (2008) |
| Urbanization: | rate of urbanization: 0.5% annual rate of change (2005-10 est.) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | under 15 years: 1.07 male(s)/female |
| Sex ratio: | 15-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and above: 0.7 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2009 est.) |
| Infant mortality rate: | total: 6.75 deaths/1,000 live births |
| Infant mortality rate: | male: 7.79 deaths/1,000 live births |
| Infant mortality rate: | female: 5.64 deaths/1,000 live births (2009 est.) |
| Life expectancy at birth: | total population: 73.9 years |
| Life expectancy at birth: | male: 71.09 years |
| Life expectancy at birth: | female: 76.89 years (2009 est.) |
| Total fertility rate: | 1.38 children born/woman (2009 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 6,400 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea |
| Major infectious diseases: | vectorborne disease: Crimean Congo hemorrhagic fever |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2009) |
| Nationality: | noun: Serb(s) |
| Nationality: | adjective: Serbian |
| Ethnic groups: | Serb 82.9%, Hungarian 3.9%, Romany (Gypsy) 1.4%, Yugoslavs 1.1%, Bosniaks 1.8%, Montenegrin 0.9%, other 8% (2002 census) |
| Religions: | Serbian Orthodox 85%, Catholic 5.5%, Protestant 1.1%, Muslim 3.2%, unspecified 2.6%, other, unknown, or atheist 2.6% (2002 census) |
| Languages: | Serbian 88.3% (official), Hungarian 3.8%, Bosniak 1.8%, Romany (Gypsy) 1.1%, other 4.1%, unknown 0.9% (2002 census) |
| Languages: | note: Romanian, Hungarian, Slovak, Ukrainian, and Croatian all official in Vojvodina |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 96.4% |
| Literacy: | male: 98.9% |
| Literacy: | female: 94.1% (2003 census) |
| Literacy: | note: includes Montenegro |
| Education expenditures: | NA |
