| People and Society | Kyrgyzstan |
| --- | --- |
| Nationality: | noun: Kyrgyzstani(s) |
| Nationality: | adjective: Kyrgyzstani |
| Ethnic groups: | Kyrgyz 64.9%, Uzbek 13.8%, Russian 12.5%, Dungan 1.1%, Ukrainian 1%, Uighur 1%, other 5.7% (1999 census) |
| Languages: | Kyrgyz (official) 64.7%, Uzbek 13.6%, Russian (official) 12.5%, Dungun 1%, other 8.2% (1999 census) |
| Religions: | Muslim 75%, Russian Orthodox 20%, other 5% |
| Population: | 5,604,212 (July 2014 est.) |
| Age structure: | 0-14 years: 29.8% (male 854,029/female 815,300) |
| Age structure: | 15-24 years: 18.8% (male 536,355/female 519,440) |
| Age structure: | 25-54 years: 39.4% (male 1,079,691/female 1,127,520) |
| Age structure: | 55-64 years: 7.1% (male 171,960/female 224,450) |
| Age structure: | 65 years and over: 4.9% (male 105,651/female 169,816) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 53.2 % |
| population pyramid: | youth dependency ratio: 46.9 % |
| population pyramid: | elderly dependency ratio: 6.3 % |
| population pyramid: | potential support ratio: 15.8 (2014 est.) |
| Median age: | total: 25.7 years |
| Median age: | male: 24.7 years |
| Median age: | female: 26.7 years (2014 est.) |
| Population growth rate: | 1.04% (2014 est.) |
| Birth rate: | 23.33 births/1,000 population (2014 est.) |
| Death rate: | 6.74 deaths/1,000 population (2014 est.) |
| Net migration rate: | -6.16 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 35.3% of total population (2011) |
| Urbanization: | rate of urbanization: 1.31% annual rate of change (2010-15 est.) |
| Major urban areas - population: | BISHKEK (capital) 839,000 (2011) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 0.96 male(s)/female |
| Sex ratio: | 55-64 years: 0.96 male(s)/female |
| Sex ratio: | 65 years and over: 0.63 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 22.6 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2012 est.) |
| Maternal mortality rate: | 71 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 28.71 deaths/1,000 live births |
| Infant mortality rate: | male: 32.98 deaths/1,000 live births |
| Infant mortality rate: | female: 24.16 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 70.06 years |
| Life expectancy at birth: | male: 65.89 years |
| Life expectancy at birth: | female: 74.51 years (2014 est.) |
| Total fertility rate: | 2.68 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 47.8% (2005/06) |
| Health expenditures: | 6.2% of GDP (2010) |
| Physicians density: | 2.47 physicians/1,000 population (2011) |
| Hospital bed density: | 4.8 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 97.1% of population |
| Drinking water source: | rural: 82.3% of population |
| Drinking water source: | total: 87.6% of population |
| unimproved: | urban: 2.9% of population |
| unimproved: | rural: 17.7% of population |
| unimproved: | total: 12.4% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 91.9% of population |
| Sanitation facility access: | rural: 91.7% of population |
| Sanitation facility access: | total: 91.8% of population |
| unimproved: | urban: 8.1% of population |
| unimproved: | rural: 8.3% of population |
| unimproved: | total: 8.2% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.3% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 8,700 (2012 est.) |
| HIV/AIDS - deaths: | 300 (2012 est.) |
| Obesity - adult prevalence rate: | 15.5% (2008) |
| Children under the age of 5 years underweight: | 2.7% (2006) |
| Education expenditures: | 6.8% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.2% |
| Literacy: | male: 99.5% |
| Literacy: | female: 99% (2009 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2011) |
| Child labor - children ages 5-14: | total number: 563,920 |
| Child labor - children ages 5-14: | percentage: 40.3 % |
| Child labor - children ages 5-14: | note: data represents children ages 5-17 (2007 est.) |
| Unemployment, youth ages 15-24: | total: 14.6% |
| Unemployment, youth ages 15-24: | male: 13.6% |
| Unemployment, youth ages 15-24: | female: 16.2% (2006) |
