| People and Society | Iceland |
| --- | --- |
| Population: | 343,518 (July 2018 est.) |
| Nationality: | noun: Icelander(s) |
| Nationality: | adjective: Icelandic |
| Ethnic groups: | homogeneous mixture of descendants of Norse and Celts 81%, population with foreign background 19% (2018 est.) |
| Ethnic groups: | note: population with foreign backgroun includes immigrants and persons having at least one parent who was born abroad |
| Languages: | Icelandic, English, Nordic languages, German |
| Religions: | Evangelical Lutheran Church of Iceland (official) 67.2%, Roman Catholic 3.9%, Reykjavik Free Church 2.8%, Hafnarfjordur Free Church 2%, Asatru Association 1.2%, The Independent Congregation .9, other religions 4% (includes Zuist and Pentecostal), none 6.7%, other or unspecified 11.3% (2018 est.) |
| Age structure: | 0-14 years: 20.4% (male 35,812 /female 34,249) |
| Age structure: | 15-24 years: 13.22% (male 22,952 /female 22,444) |
| Age structure: | 25-54 years: 39.76% (male 69,177 /female 67,401) |
| Age structure: | 55-64 years: 11.87% (male 20,350 /female 20,426) |
| Age structure: | 65 years and over: 14.76% (male 23,822 /female 26,885) (2018 est.) |
| Dependency ratios: | total dependency ratio: 51.6 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 30.8 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 20.8 (2015 est.) |
| Dependency ratios: | potential support ratio: 4.8 (2015 est.) |
| Median age: | total: 36.7 years |
| Median age: | male: 36.1 years |
| Median age: | female: 37.3 years (2018 est.) |
| Population growth rate: | 1.08% (2018 est.) |
| Birth rate: | 13.6 births/1,000 population (2018 est.) |
| Death rate: | 6.5 deaths/1,000 population (2018 est.) |
| Net migration rate: | 4 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | Iceland is almost entirely urban with half of the population located in and around the capital of Reykjavik; smaller clusters are primarily found along the coast in the north and west |
| Urbanization: | urban population: 93.8% of total population (2018) |
| Urbanization: | rate of urbanization: 0.81% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 216,000 REYKJAVIK (capital) (2018) |
| Sex ratio: | at birth: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.03 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 1.02 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 1.01 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.88 male(s)/female (2017 est.) |
| Sex ratio: | total population: 1.01 male(s)/female (2017 est.) |
| Mother's mean age at first birth: | 27.4 years (2015 est.) |
| Maternal mortality rate: | 3 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 2.1 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 2.2 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 2 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 83.1 years (2018 est.) |
| Life expectancy at birth: | male: 80.9 years (2018 est.) |
| Life expectancy at birth: | female: 85.5 years (2018 est.) |
| Total fertility rate: | 1.99 children born/woman (2018 est.) |
| Health expenditures: | 8.9% of GDP (2014) |
| Physicians density: | 3.79 physicians/1,000 population (2015) |
| Hospital bed density: | 3.4 beds/1,000 population (2015) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 98.7% of population (2015 est.) |
| Sanitation facility access: | rural: 100% of population (2015 est.) |
| Sanitation facility access: | total: 98.8% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 1.3% of population (2015 est.) |
| Sanitation facility access: | rural: 0% of population (2015 est.) |
| Sanitation facility access: | total: 1.2% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 21.9% (2016) |
| Education expenditures: | 7.8% of GDP (2013) |
| School life expectancy (primary to tertiary education): | total: 20 years (2013) |
| School life expectancy (primary to tertiary education): | male: 18 years (2013) |
| School life expectancy (primary to tertiary education): | female: 21 years (2013) |
| Unemployment, youth ages 15-24: | total: 6.5% (2016 est.) |
| Unemployment, youth ages 15-24: | male: 6.7% (2016 est.) |
| Unemployment, youth ages 15-24: | female: 6.3% (2016 est.) |
