| People and Society | Iceland |
| --- | --- |
| Nationality: | noun: Icelander(s) |
| Nationality: | adjective: Icelandic |
| Ethnic groups: | homogeneous mixture of descendants of Norse and Celts 94%, population of foreign origin 6% |
| Languages: | Icelandic, English, Nordic languages, German widely spoken |
| Religions: | Evangelical Lutheran Church of Iceland (official) 76.2%, Roman Catholic 3.4%, Reykjavik Free Church 2.9%, Hafnarfjorour Free Church 1.9%, The Independent Congregation 1%, other religions 3.6% (includes Pentecostal and Asatru Association), none 5.2%, other or unspecified 5.9% (2013 est.) |
| Population: | 317,351 (July 2014 est.) |
| Age structure: | 0-14 years: 19.7% (male 31,660/female 30,720) |
| Age structure: | 15-24 years: 14.5% (male 23,116/female 22,742) |
| Age structure: | 25-54 years: 40.7% (male 65,218/female 64,102) |
| Age structure: | 55-64 years: 11.6% (male 18,644/female 18,225) |
| Age structure: | 65 years and over: 13.2% (male 19,754/female 23,170) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 50.9 % |
| population pyramid: | youth dependency ratio: 31.1 % |
| population pyramid: | elderly dependency ratio: 19.7 % |
| population pyramid: | potential support ratio: 5.1 (2014 est.) |
| Median age: | total: 36.4 years |
| Median age: | male: 35.9 years |
| Median age: | female: 36.9 years (2014 est.) |
| Population growth rate: | 0.65% (2014 est.) |
| Birth rate: | 13.09 births/1,000 population (2014 est.) |
| Death rate: | 7.13 deaths/1,000 population (2014 est.) |
| Net migration rate: | 0.52 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 93.7% of total population (2011) |
| Urbanization: | rate of urbanization: 1.27% annual rate of change (2010-15 est.) |
| Major urban areas - population: | REYKJAVIK (capital) 206,000 (2011) |
| Sex ratio: | at birth: 1.04 male(s)/female |
| Sex ratio: | 0-14 years: 1.03 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.85 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 27 (2011 est.) |
| Maternal mortality rate: | 5 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 3.15 deaths/1,000 live births |
| Infant mortality rate: | male: 3.3 deaths/1,000 live births |
| Infant mortality rate: | female: 3 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 81.22 years |
| Life expectancy at birth: | male: 78.98 years |
| Life expectancy at birth: | female: 83.54 years (2014 est.) |
| Total fertility rate: | 1.88 children born/woman (2014 est.) |
| Health expenditures: | 9.1% of GDP (2011) |
| Physicians density: | 3.46 physicians/1,000 population (2011) |
| Hospital bed density: | 5.8 beds/1,000 population (2007) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.3% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | fewer than 1,000 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Obesity - adult prevalence rate: | 23.2% (2008) |
| Education expenditures: | 7.6% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99% |
| Literacy: | male: 99% |
| Literacy: | female: 99% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 19 years |
| School life expectancy (primary to tertiary education): | male: 18 years |
| School life expectancy (primary to tertiary education): | female: 20 years (2011) |
| Unemployment, youth ages 15-24: | total: 13.6% |
| Unemployment, youth ages 15-24: | male: 14.7% |
| Unemployment, youth ages 15-24: | female: 12.4% (2012) |
