| People and Society | Tonga |
| --- | --- |
| Nationality: | noun: Tongan(s) |
| Nationality: | adjective: Tongan |
| Ethnic groups: | Polynesian, Europeans |
| Languages: | Tongan (official), English (official) |
| Religions: | Christian (Free Wesleyan Church claims over 30,000 adherents) |
| Population: | 106,322 (July 2013 est.) |
| Age structure: | 0-14 years: 36.2% (male 19,545/female 18,927) |
| Age structure: | 15-24 years: 19.2% (male 10,432/female 9,935) |
| Age structure: | 25-54 years: 33% (male 17,549/female 17,562) |
| Age structure: | 55-64 years: 5.4% (male 2,779/female 2,994) |
| Age structure: | 65 years and over: 6.2% (male 3,034/female 3,565) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 75.7 % |
| population pyramid: | youth dependency ratio: 65.4 % |
| population pyramid: | elderly dependency ratio: 10.3 % |
| population pyramid: | potential support ratio: 9.7 (2013) |
| Median age: | total: 21.8 years |
| Median age: | male: 21.3 years |
| Median age: | female: 22.2 years (2013 est.) |
| Population growth rate: | 0.14% (2013 est.) |
| Birth rate: | 24.12 births/1,000 population (2013 est.) |
| Death rate: | 4.87 deaths/1,000 population (2013 est.) |
| Net migration rate: | -17.87 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 23% of total population (2010) |
| Urbanization: | rate of urbanization: 0.8% annual rate of change (2010-15 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.03 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.91 male(s)/female |
| Sex ratio: | 65 years and over: 0.86 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2013 est.) |
| Maternal mortality rate: | 110 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 12.78 deaths/1,000 live births |
| Infant mortality rate: | male: 13.2 deaths/1,000 live births |
| Infant mortality rate: | female: 12.34 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 75.6 years |
| Life expectancy at birth: | male: 74.16 years |
| Life expectancy at birth: | female: 77.09 years (2013 est.) |
| Total fertility rate: | 3.46 children born/woman (2013 est.) |
| Health expenditures: | 5.3% of GDP (2011) |
| Physicians density: | 0.56 physicians/1,000 population (2010) |
| Hospital bed density: | 2.6 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 98% of population |
| Sanitation facility access: | rural: 96% of population |
| Sanitation facility access: | total: 96% of population |
| unimproved: | urban: 2% of population |
| unimproved: | rural: 4% of population |
| unimproved: | total: 4% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 57.6% (2008) |
| Education expenditures: | 3.9% of GDP (2004) |
| Literacy: | definition: can read and write Tongan and/or English |
| Literacy: | total population: 99% |
| Literacy: | male: 99% |
| Literacy: | female: 99.1% (2006 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2007) |
| Unemployment, youth ages 15-24: | total: 11.9% |
| Unemployment, youth ages 15-24: | male: 9.9% |
| Unemployment, youth ages 15-24: | female: 15.1% (2003) |
