| People and Society | Norway |
| --- | --- |
| Nationality: | noun: Norwegian(s) |
| Nationality: | adjective: Norwegian |
| Ethnic groups: | Norwegian 94.4% (includes Sami, about 60,000), other European 3.6%, other 2% (2007 estimate) |
| Languages: | Bokmal Norwegian (official), Nynorsk Norwegian (official), small Sami- and Finnish-speaking minorities |
| Languages: | note: Sami is an official language in nine municipalities |
| Religions: | Church of Norway (Evangelical Lutheran - official) 82.1%, other Christian 3.9%, Muslim 2.3%, Roman Catholic 1.8%, other 2.4%, unspecified 7.5% (2011 est.) |
| Population: | 5,147,792 (July 2014 est.) |
| Age structure: | 0-14 years: 18.2% (male 480,176/female 456,128) |
| Age structure: | 15-24 years: 13.1% (male 347,873/female 329,021) |
| Age structure: | 25-54 years: 40.8% (male 1,080,339/female 1,021,370) |
| Age structure: | 55-64 years: 11.7% (male 305,094/female 298,134) |
| Age structure: | 65 years and over: 16.8% (male 375,909/female 453,748) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 53.2 % |
| population pyramid: | youth dependency ratio: 28.5 % |
| population pyramid: | elderly dependency ratio: 24.7 % |
| population pyramid: | potential support ratio: 4.1 (2014 est.) |
| Median age: | total: 39.1 years |
| Median age: | male: 38.2 years |
| Median age: | female: 39.9 years (2014 est.) |
| Population growth rate: | 1.19% (2014 est.) |
| Birth rate: | 12.09 births/1,000 population (2014 est.) |
| Death rate: | 8.19 deaths/1,000 population (2014 est.) |
| Net migration rate: | 7.96 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 79.4% of total population (2011) |
| Urbanization: | rate of urbanization: 1.03% annual rate of change (2010-15 est.) |
| Major urban areas - population: | OSLO (capital) 915,000 (2011) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 1.06 male(s)/female |
| Sex ratio: | 55-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.78 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 28.5 |
| Mother's mean age at first birth: | note: data is calculated based on actual age at first births (2012 est.) |
| Maternal mortality rate: | 7 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 2.48 deaths/1,000 live births |
| Infant mortality rate: | male: 2.79 deaths/1,000 live births |
| Infant mortality rate: | female: 2.15 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 81.6 years |
| Life expectancy at birth: | male: 79.63 years |
| Life expectancy at birth: | female: 83.69 years (2014 est.) |
| Total fertility rate: | 1.86 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 88.4% |
| Contraceptive prevalence rate: | note: percent of women aged 20-44 (2005) |
| Health expenditures: | 9.1% of GDP (2011) |
| Physicians density: | 3.7 physicians/1,000 population (2011) |
| Hospital bed density: | 3.3 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 4,000 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Obesity - adult prevalence rate: | 21.5% (2008) |
| Education expenditures: | 6.9% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 100% |
| Literacy: | male: 100% |
| Literacy: | female: 100% |
| School life expectancy (primary to tertiary education): | total: 18 years |
| School life expectancy (primary to tertiary education): | male: 17 years |
| School life expectancy (primary to tertiary education): | female: 18 years (2011) |
| Unemployment, youth ages 15-24: | total: 8.6% |
| Unemployment, youth ages 15-24: | male: 10% |
| Unemployment, youth ages 15-24: | female: 7.2% (2012) |
