| People and Society | ECUADOR |
| --- | --- |
| Population: | 16,290,913 (July 2017 est.) |
| Nationality: | noun: Ecuadorian(s) |
| Nationality: | adjective: Ecuadorian |
| Ethnic groups: | mestizo (mixed Amerindian and white) 71.9%, Montubio 7.4%, Amerindian 7%, white 6.1%, Afroecuadorian 4.3%, mulatto 1.9%, black 1%, other 0.4% (2010 est.) |
| Languages: | Spanish (Castilian) 93% (official), Quechua 4.1%, other indigenous 0.7%, foreign 2.2% |
| Languages: | note: (Quechua and Shuar are official languages of intercultural relations; other indigenous languages are in official use by indigenous peoples in the areas they inhabit) (2010 est.) |
| Religions: | Roman Catholic 74%, Evangelical 10.4%, Jehovah's Witness 1.2%, other 6.4% (includes Mormon Buddhist, Jewish, Spiritualist, Muslim, Hindu, indigenous religions, African American religions, Pentecostal), atheist 7.9%, agnostic 0.1% |
| Religions: | note: data represent persons at least 16 years of age from five Ecuadoran cities (2012 est.) |
| Demographic profile: | Ecuador's high poverty and income inequality most affect indigenous, mixed race, and rural populations. The government has increased its social spending to ameliorate these problems, but critics question the efficiency and implementation of its national development plan. Nevertheless, the conditional cash transfer program, which requires participants' children to attend school and have medical check-ups, has helped improve educational attainment and healthcare among poor children. Ecuador is stalled at above replacement level fertility and the population most likely will keep growing rather than stabilize. |
| Demographic profile: | An estimated 2 to 3 million Ecuadorians live abroad, but increased unemployment in key receiving countries - Spain, the United States, and Italy - is slowing emigration and increasing the likelihood of returnees to Ecuador. The first large-scale emigration of Ecuadorians occurred between 1980 and 2000, when an economic crisis drove Ecuadorians from southern provinces to New York City, where they had trade contacts. A second, nationwide wave of emigration in the late 1990s was caused by another economic downturn, political instability, and a currency crisis. Spain was the logical destination because of its shared language and the wide availability of low-skilled, informal jobs at a time when increased border surveillance made illegal migration to the US difficult. Ecuador has a small but growing immigrant population and is Latin America's top recipient of refugees; 98% are neighboring Colombians fleeing violence in their country. |
| Age structure: | 0-14 years: 27.08% (male 2,250,000/female 2,161,123) |
| Age structure: | 15-24 years: 18.35% (male 1,519,255/female 1,469,372) |
| Age structure: | 25-54 years: 39.59% (male 3,145,954/female 3,303,520) |
| Age structure: | 55-64 years: 7.53% (male 599,032/female 628,477) |
| Age structure: | 65 years and over: 7.45% (male 576,196/female 637,984) (2017 est.) |
| Dependency ratios: | total dependency ratio: 55.6 |
| Dependency ratios: | youth dependency ratio: 45.1 |
| Dependency ratios: | elderly dependency ratio: 10.4 |
| Dependency ratios: | potential support ratio: 9.6 (2015 est.) |
| Median age: | total: 27.7 years |
| Median age: | male: 27 years |
| Median age: | female: 28.4 years (2017 est.) |
| Population growth rate: | 1.28% (2017 est.) |
| Birth rate: | 17.9 births/1,000 population (2017 est.) |
| Death rate: | 5.1 deaths/1,000 population (2017 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | nearly half of the population is concentrated in the interior in the Andean intermontane basins and valleys, with large concentrations also found along the western coastal strip; the rainforests of the east remain sparsely populated |
| Urbanization: | urban population: 64.2% of total population (2017) |
| Urbanization: | rate of urbanization: 1.8% annual rate of change (2015-20 est.) |
