| People and Society | DENMARK |
| --- | --- |
| Nationality: | noun: Dane(s) |
| Nationality: | adjective: Danish |
| Ethnic groups: | Scandinavian, Inuit, Faroese, German, Turkish, Iranian, Somali |
| Languages: | Danish, Faroese, Greenlandic (an Inuit dialect), German (small minority) |
| Languages: | note: English is the predominant second language |
| Religions: | Evangelical Lutheran (official) 80%, Muslim 4%, other (denominations of less than 1% each, includes Roman Catholic, Jehovah's Witness, Serbian Orthodox Christian, Jewish, Baptist, and Buddhist) 16% (2012 est.) |
| Population: | 5,581,503 (July 2015 est.) |
| Age structure: | 0-14 years: 16.77% (male 480,267/female 455,946) |
| Age structure: | 15-24 years: 13.11% (male 373,547/female 358,150) |
| Age structure: | 25-54 years: 39.03% (male 1,085,130/female 1,093,162) |
| Age structure: | 55-64 years: 12.41% (male 344,509/female 348,201) |
| Age structure: | 65 years and over: 18.68% (male 466,566/female 576,025) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 55.9% |
| population pyramid: | youth dependency ratio: 26.3% |
| population pyramid: | elderly dependency ratio: 29.6% |
| population pyramid: | potential support ratio: 3.4% (2015 est.) |
| Median age: | total: 41.8 years |
| Median age: | male: 40.9 years |
| Median age: | female: 42.8 years (2015 est.) |
| Population growth rate: | 0.22% (2015 est.) |
| Birth rate: | 10.27 births/1,000 population (2015 est.) |
| Death rate: | 10.25 deaths/1,000 population (2015 est.) |
| Net migration rate: | 2.2 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 87.7% of total population (2015) |
| Urbanization: | rate of urbanization: 0.6% annual rate of change (2010-15 est.) |
| Major urban areas - population: | COPENHAGEN (capital) 1.268 million (2015) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 4.05 deaths/1,000 live births |
| Infant mortality rate: | male: 4.12 deaths/1,000 live births |
| Infant mortality rate: | female: 3.97 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 79.25 years |
| Life expectancy at birth: | male: 76.82 years |
| Life expectancy at birth: | female: 81.81 years (2015 est.) |
| Total fertility rate: | 1.73 children born/woman (2015 est.) |
| Health expenditures: | 10.6% of GDP (2013) |
| Physicians density: | 3.49 physicians/1,000 population (2010) |
| Hospital bed density: | 3.5 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 99.6% of population |
| Sanitation facility access: | rural: 99.6% of population |
| Sanitation facility access: | total: 99.6% of population |
| unimproved: | urban: 0.4% of population |
| unimproved: | rural: 0.4% of population |
| unimproved: | total: 0.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.16% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 6,000 (2014 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2014 est.) |
| Obesity - adult prevalence rate: | 21% (2014) |
| Education expenditures: | 8.7% of GDP (2011) |
| School life expectancy (primary to tertiary education): | total: 19 years |
| School life expectancy (primary to tertiary education): | male: 18 years |
| School life expectancy (primary to tertiary education): | female: 19 years (2012) |
| Unemployment, youth ages 15-24: | total: 14.2% |
| Unemployment, youth ages 15-24: | male: 14.8% |
| Unemployment, youth ages 15-24: | female: 14.1% (2012 est.) |
