| People and Society | DENMARK |
| --- | --- |
| Population: | 5,605,948 (July 2017 est.) |
| Nationality: | noun: Dane(s) |
| Nationality: | adjective: Danish |
| Ethnic groups: | Scandinavian, Inuit, Faroese, Turkish, Polish, Syrian, German, Iraqi (2017 est.) |
| Languages: | Danish, Faroese, Greenlandic (an Inuit dialect), German (small minority) |
| Languages: | note: English is the predominant second language |
| Religions: | Evangelical Lutheran (official) 76%, Muslim 4%, other (denominations of less than 1% each, includes Roman Catholic, Jehovah's Witness, Serbian Orthodox Christian, Jewish, Baptist, and Buddhist) 20% (2017 est.) |
| Age structure: | 0-14 years: 16.41% (male 472,106/female 447,997) |
| Age structure: | 15-24 years: 13.08% (male 374,379/female 358,927) |
| Age structure: | 25-54 years: 38.76% (male 1,080,118/female 1,092,503) |
| Age structure: | 55-64 years: 12.52% (male 349,091/female 352,903) |
| Age structure: | 65 years and over: 19.23% (male 483,519/female 594,405) (2017 est.) |
| Dependency ratios: | total dependency ratio: 56 |
| Dependency ratios: | youth dependency ratio: 26.3 |
| Dependency ratios: | elderly dependency ratio: 29.7 |
| Dependency ratios: | potential support ratio: 3.4 (2015 est.) |
| Median age: | total: 42.2 years |
| Median age: | male: 41.2 years |
| Median age: | female: 43.2 years (2017 est.) |
| Population growth rate: | 0.22% (2017 est.) |
| Birth rate: | 10.5 births/1,000 population (2017 est.) |
| Death rate: | 10.3 deaths/1,000 population (2017 est.) |
| Net migration rate: | 2.1 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | with excellent access to the North Sea, Skagerrak, Kattegat, and the Baltic Sea, population centers tend to be along coastal areas, particularly in Copenhagen and the eastern side of the country's mainland |
| Urbanization: | urban population: 88% of total population (2017) |
| Urbanization: | rate of urbanization: 0.58% annual rate of change (2015-20 est.) |
| Major urban areas - population: | COPENHAGEN (capital) 1.268 million (2015) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 29.1 years (2015 est.) |
| Maternal mortality rate: | 6 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 4 deaths/1,000 live births |
| Infant mortality rate: | male: 4.1 deaths/1,000 live births |
| Infant mortality rate: | female: 3.9 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 79.5 years |
| Life expectancy at birth: | male: 77.1 years |
| Life expectancy at birth: | female: 82.1 years (2017 est.) |
| Total fertility rate: | 1.73 children born/woman (2017 est.) |
| Health expenditures: | 10.8% of GDP (2014) |
| Physicians density: | 3.65 physicians/1,000 population (2013) |
| Hospital bed density: | 3.5 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 99.6% of population |
| Sanitation facility access: | rural: 99.6% of population |
| Sanitation facility access: | total: 99.6% of population |
| unimproved: | urban: 0.4% of population |
| unimproved: | rural: 0.4% of population |
| unimproved: | total: 0.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 19.7% (2016) |
| Education expenditures: | 8.6% of GDP (2013) |
| School life expectancy (primary to tertiary education): | total: 19 years |
| School life expectancy (primary to tertiary education): | male: 18 years |
| School life expectancy (primary to tertiary education): | female: 20 years (2014) |
| Unemployment, youth ages 15-24: | total: 12% |
| Unemployment, youth ages 15-24: | male: 13.1% |
| Unemployment, youth ages 15-24: | female: 10.9% (2016 est.) |
