| People and Society | Denmark |
| --- | --- |
| Nationality: | noun: Dane(s) |
| Nationality: | adjective: Danish |
| Ethnic groups: | Scandinavian, Inuit, Faroese, German, Turkish, Iranian, Somali |
| Languages: | Danish, Faroese, Greenlandic (an Inuit dialect), German (small minority) |
| Languages: | note: English is the predominant second language |
| Religions: | Evangelical Lutheran (official) 95%, other Christian (includes Protestant and Roman Catholic) 3%, Muslim 2% |
| Population: | 5,556,452 (July 2013 est.) |
| Age structure: | 0-14 years: 17.2% (male 489,845/female 465,189) |
| Age structure: | 15-24 years: 13% (male 367,927/female 352,872) |
| Age structure: | 25-54 years: 39.3% (male 1,091,525/female 1,094,584) |
| Age structure: | 55-64 years: 12.5% (male 344,484/female 348,596) |
| Age structure: | 65 years and over: 18% (male 446,476/female 554,954) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 55 % |
| population pyramid: | youth dependency ratio: 27.2 % |
| population pyramid: | elderly dependency ratio: 27.7 % |
| population pyramid: | potential support ratio: 3.6 (2013) |
| Median age: | total: 41.4 years |
| Median age: | male: 40.5 years |
| Median age: | female: 42.3 years (2013 est.) |
| Population growth rate: | 0.23% (2013 est.) |
| Birth rate: | 10.2 births/1,000 population (2013 est.) |
| Death rate: | 10.21 deaths/1,000 population (2013 est.) |
| Net migration rate: | 2.3 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 86.9% of total population (2011) |
| Urbanization: | rate of urbanization: 0.5% annual rate of change (2010-15 est.) |
| Major urban areas - population: | COPENHAGEN (capital) 1.206 million (2011) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.8 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 29.1 (2010 est.) |
| Maternal mortality rate: | 12 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 4.14 deaths/1,000 live births |
| Infant mortality rate: | male: 4.21 deaths/1,000 live births |
| Infant mortality rate: | female: 4.07 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 78.94 years |
| Life expectancy at birth: | male: 76.54 years |
| Life expectancy at birth: | female: 81.47 years (2013 est.) |
| Total fertility rate: | 1.73 children born/woman (2013 est.) |
| Health expenditures: | 11.2% of GDP (2011) |
| Physicians density: | 3.42 physicians/1,000 population (2007) |
| Hospital bed density: | 3.5 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 0.2% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 5,300 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Obesity - adult prevalence rate: | 18.2% (2008) |
| Education expenditures: | 8.7% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99% |
| Literacy: | male: 99% |
| Literacy: | female: 99% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 17 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 18 years (2010) |
| Unemployment, youth ages 15-24: | total: 14.2% |
| Unemployment, youth ages 15-24: | male: 15.7% |
| Unemployment, youth ages 15-24: | female: 12.7% (2011) |
