| People and Society | Maldives |
| --- | --- |
| Population: | 391,904 (July 2020 est.) |
| Nationality: | noun: Maldivian(s) |
| Nationality: | adjective: Maldivian |
| Ethnic groups: | homogeneous mixture of Sinhalese, Dravidian, Arab, Australasian, and African resulting from historical changes in regional hegemony over marine trade routes |
| Languages: | Dhivehi (official, dialect of Sinhala, script derived from Arabic), English (spoken by most government officials) |
| Religions: | Sunni Muslim (official) |
| Age structure: | 0-14 years: 22.13% (male 44,260/female 42,477) |
| Age structure: | 15-24 years: 17.24% (male 37,826/female 29,745) |
| Age structure: | 25-54 years: 48.91% (male 104,217/female 87,465) |
| Age structure: | 55-64 years: 6.91% (male 12,942/female 14,123) |
| Age structure: | 65 years and over: 4.81% (male 8,417/female 10,432) (2020 est.) |
| Dependency ratios: | total dependency ratio: 30.2 |
| Dependency ratios: | youth dependency ratio: 25.5 |
| Dependency ratios: | elderly dependency ratio: 4.7 |
| Dependency ratios: | potential support ratio: 21.4 (2020 est.) |
| Median age: | total: 29.5 years |
| Median age: | male: 29.2 years |
| Median age: | female: 30 years (2020 est.) |
| Population growth rate: | -0.08% (2020 est.) |
| Birth rate: | 16 births/1,000 population (2020 est.) |
| Death rate: | 4.1 deaths/1,000 population (2020 est.) |
| Net migration rate: | -12.7 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | about a third of the population lives in the centrally located capital city of Male and almost a tenth in southern Addu City; the remainder of the populace is spread over the 200 or so populated islands of the archipelago |
| Urbanization: | urban population: 40.7% of total population (2020) |
| Urbanization: | rate of urbanization: 2.93% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 177,000 MALE (capital) (2018) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.27 male(s)/female |
| Sex ratio: | 25-54 years: 1.19 male(s)/female |
| Sex ratio: | 55-64 years: 0.92 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 1.13 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 24.5 years (2009 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 53 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 19.8 deaths/1,000 live births |
| Infant mortality rate: | male: 22 deaths/1,000 live births |
| Infant mortality rate: | female: 17.5 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 76.4 years |
| Life expectancy at birth: | male: 74 years |
| Life expectancy at birth: | female: 78.9 years (2020 est.) |
| Total fertility rate: | 1.71 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 18.8% (2016/17) |
| Drinking water source: | improved: urban: 98.3% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 1.7% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0% of population (2017 est.) |
| Current Health Expenditure: | 9% (2017) |
| Physicians density: | 3.72 physicians/1,000 population (2017) |
| Hospital bed density: | 4.3 beds/1,000 population (2009) |
| Sanitation facility access: | improved: urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| Sanitation facility access: | unimproved: urban: 0% of population |
| Sanitation facility access: | rural: 0% of population |
| Sanitation facility access: | total: 0% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 8.6% (2016) |
| Children under the age of 5 years underweight: | 17.7% (2009) |
| Education expenditures: | 4.1% of GDP (2016) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 97.7% |
| Literacy: | male: 97.3% |
| Literacy: | female: 98.1% (2016) |
| Unemployment, youth ages 15-24: | total: 15.9% |
| Unemployment, youth ages 15-24: | male: 19.1% |
| Unemployment, youth ages 15-24: | female: 12.1% (2016 est.) |
