| People and Society | MALDIVES |
| --- | --- |
| Population: | 392,709 (July 2017 est.) |
| Nationality: | noun: Maldivian(s) |
| Nationality: | adjective: Maldivian |
| Ethnic groups: | South Indians, Sinhalese, Arabs |
| Languages: | Dhivehi (official, dialect of Sinhala, script derived from Arabic), English (spoken by most government officials) |
| Religions: | Sunni Muslim (official) |
| Age structure: | 0-14 years: 21.4% (male 42,871/female 41,162) |
| Age structure: | 15-24 years: 20.21% (male 45,547/female 33,804) |
| Age structure: | 25-54 years: 48.1% (male 106,701/female 82,187) |
| Age structure: | 55-64 years: 5.85% (male 11,312/female 11,667) |
| Age structure: | 65 years and over: 4.45% (male 8,042/female 9,416) (2017 est.) |
| Dependency ratios: | total dependency ratio: 38 |
| Dependency ratios: | youth dependency ratio: 32.3 |
| Dependency ratios: | elderly dependency ratio: 5.7 |
| Dependency ratios: | potential support ratio: 17.7 (2015 est.) |
| Median age: | total: 28.2 years |
| Median age: | male: 28.1 years |
| Median age: | female: 28.3 years (2017 est.) |
| Population growth rate: | -0.06% (2017 est.) |
| Birth rate: | 16.1 births/1,000 population (2017 est.) |
| Death rate: | 4 deaths/1,000 population (2017 est.) |
| Net migration rate: | -12.7 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | about a third of the population lives in the centrally located capital city of Male and almost a tenth in southern Addu City; the remainder of the populace is spread over the 200 or so populated islands of the archipelago |
| Urbanization: | urban population: 47.5% of total population (2017) |
| Urbanization: | rate of urbanization: 3.52% annual rate of change (2015-20 est.) |
| Major urban areas - population: | MALE (capital) 156,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.37 male(s)/female |
| Sex ratio: | 25-54 years: 1.34 male(s)/female |
| Sex ratio: | 55-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.89 male(s)/female |
| Sex ratio: | total population: 1.23 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 23.9 years |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2009 est.) |
| Maternal mortality rate: | 68 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 22 deaths/1,000 live births |
| Infant mortality rate: | male: 24.4 deaths/1,000 live births |
| Infant mortality rate: | female: 19.6 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 75.8 years |
| Life expectancy at birth: | male: 73.5 years |
| Life expectancy at birth: | female: 78.3 years (2017 est.) |
| Total fertility rate: | 1.73 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 34.7% (2009) |
| Health expenditures: | 13.7% of GDP (2014) |
| Physicians density: | 1.58 physicians/1,000 population (2010) |
| Hospital bed density: | 4.3 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.5% of population |
| Drinking water source: | rural: 97.9% of population |
| Drinking water source: | total: 98.6% of population |
| unimproved: | urban: 0.5% of population |
| unimproved: | rural: 2.1% of population |
| unimproved: | total: 1.4% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 97.5% of population |
| Sanitation facility access: | rural: 98.3% of population |
| Sanitation facility access: | total: 97.9% of population |
| unimproved: | urban: 2.5% of population |
| unimproved: | rural: 1.7% of population |
| unimproved: | total: 2.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 8.6% (2016) |
| Children under the age of 5 years underweight: | 17.8% (2009) |
| Education expenditures: | 5.7% of GDP (2015) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.3% |
| Literacy: | male: 99.8% |
| Literacy: | female: 98.8% (2015 est.) |
| Unemployment, youth ages 15-24: | total: 25.4% |
| Unemployment, youth ages 15-24: | male: 29.1% |
| Unemployment, youth ages 15-24: | female: 21.4% (2010 est.) |
