| People and Society | Solomon Islands |
| --- | --- |
| Population: | 660,121 (July 2018 est.) |
| Nationality: | noun: Solomon Islander(s) |
| Nationality: | adjective: Solomon Islander |
| Ethnic groups: | Melanesian 95.3%, Polynesian 3.1%, Micronesian 1.2%, other 0.3% (2009 est.) |
| Languages: | Melanesian pidgin (in much of the country is lingua franca), English (official but spoken by only 1%-2% of the population), 120 indigenous languages |
| Religions: | Protestant 73.4% (Church of Melanesia 31.9%, South Sea Evangelical 17.1%, Seventh Day Adventist 11.7%, United Church 10.1%, Christian Fellowship Church 2.5%), Roman Catholic 19.6%, other Christian 2.9%, other 4%, none 0.03%, unspecified 0.1% (2009 est.) |
| Age structure: | 0-14 years: 34.05% (male 115,734 /female 109,009) |
| Age structure: | 15-24 years: 19.95% (male 67,794 /female 63,925) |
| Age structure: | 25-54 years: 36.89% (male 123,930 /female 119,577) |
| Age structure: | 55-64 years: 4.77% (male 16,112 /female 15,389) |
| Age structure: | 65 years and over: 4.34% (male 13,515 /female 15,136) (2018 est.) |
| Dependency ratios: | total dependency ratio: 75.4 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 69.4 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 6 (2015 est.) |
| Dependency ratios: | potential support ratio: 16.6 (2015 est.) |
| Median age: | total: 22.8 years |
| Median age: | male: 22.6 years |
| Median age: | female: 23.1 years (2018 est.) |
| Population growth rate: | 1.9% (2018 est.) |
| Birth rate: | 24.5 births/1,000 population (2018 est.) |
| Death rate: | 3.8 deaths/1,000 population (2018 est.) |
| Net migration rate: | -1.7 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | most of the population lives along the coastal regions; about one in five live in urban areas, and of these some two-thirds reside in Honiara, the largest town and chief port |
| Urbanization: | urban population: 23.7% of total population (2018) |
| Urbanization: | rate of urbanization: 3.91% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 82,000 HONIARA (capital) (2018) |
| Sex ratio: | at birth: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.06 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.06 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 1.04 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 1.02 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.92 male(s)/female (2017 est.) |
| Sex ratio: | total population: 1.04 male(s)/female (2017 est.) |
| Mother's mean age at first birth: | 22.6 years (2015 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 114 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 14.3 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 16.3 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 12.2 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 75.8 years (2018 est.) |
| Life expectancy at birth: | male: 73.1 years (2018 est.) |
| Life expectancy at birth: | female: 78.6 years (2018 est.) |
| Total fertility rate: | 3.09 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 29.3% (2015) |
| Health expenditures: | 5.1% of GDP (2014) |
| Physicians density: | 0.19 physicians/1,000 population (2013) |
| Hospital bed density: | 1.4 beds/1,000 population (2012) |
| Drinking water source: | improved: urban: 93.2% of population |
| Drinking water source: | rural: 77.2% of population |
| Drinking water source: | total: 80.8% of population |
| Drinking water source: | unimproved: urban: 6.8% of population |
| Drinking water source: | rural: 22.8% of population |
| Drinking water source: | total: 19.2% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 81.4% of population (2015 est.) |
| Sanitation facility access: | rural: 15% of population (2015 est.) |
| Sanitation facility access: | total: 29.8% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 18.6% of population (2015 est.) |
| Sanitation facility access: | rural: 85% of population (2015 est.) |
| Sanitation facility access: | total: 70.2% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 22.5% (2016) |
| Children under the age of 5 years underweight: | 15.5% (2015) |
| Education expenditures: | 10% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write (2009 est.) |
| Literacy: | total population: 84.1% (2009 est.) |
| Literacy: | male: 88.9% (2009 est.) |
| Literacy: | female: 79.2% (2009 est.) |
