| People and Society | SLOVENIA |
| --- | --- |
| Population: | 1,978,029 (July 2016 est.) |
| Nationality: | noun: Slovene(s) |
| Nationality: | adjective: Slovenian |
| Ethnic groups: | Slovene 83.1%, Serb 2%, Croat 1.8%, Bosniak 1.1%, other or unspecified 12% (2002 census) |
| Languages: | Slovenian (official) 91.1%, Serbo-Croatian 4.5%, other or unspecified 4.4%, Italian (official, only in municipalities where Italian national communities reside), Hungarian (official, only in municipalities where Hungarian national communities reside) (2002 census) |
| Religions: | Catholic 57.8%, Muslim 2.4%, Orthodox 2.3%, other Christian 0.9%, unaffiliated 3.5%, other or unspecified 23%, none 10.1% (2002 census) |
| Age structure: | 0-14 years: 13.35% (male 136,114/female 127,904) |
| Age structure: | 15-24 years: 9.58% (male 97,191/female 92,369) |
| Age structure: | 25-54 years: 43.3% (male 432,824/female 423,708) |
| Age structure: | 55-64 years: 14.82% (male 144,160/female 148,903) |
| Age structure: | 65 years and over: 18.95% (male 152,770/female 222,086) (2016 est.) |
| Dependency ratios: | total dependency ratio: 48.7% |
| Dependency ratios: | youth dependency ratio: 22% |
| Dependency ratios: | elderly dependency ratio: 26.7% |
| Dependency ratios: | potential support ratio: 3.7% (2015 est.) |
| Median age: | total: 44.1 years |
| Median age: | male: 42.5 years |
| Median age: | female: 45.9 years (2016 est.) |
| Population growth rate: | -0.29% (2016 est.) |
| Birth rate: | 8.3 births/1,000 population (2016 est.) |
| Death rate: | 11.5 deaths/1,000 population (2016 est.) |
| Net migration rate: | 0.4 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | a fairly even distribution throughout most of the country, with urban areas attracting larger and denser populations; pockets in the mountainous northwest exhibit less density than elsewhere |
| Urbanization: | urban population: 49.6% of total population (2015) |
| Urbanization: | rate of urbanization: 0.08% annual rate of change (2010-15 est.) |
| Major urban areas - population: | LJUBLJANA (capital) 279,000 (2014) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.68 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 29 (2013 est.) |
| Maternal mortality rate: | 9 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 4 deaths/1,000 live births |
| Infant mortality rate: | male: 4.5 deaths/1,000 live births |
| Infant mortality rate: | female: 3.4 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 78.2 years |
| Life expectancy at birth: | male: 74.6 years |
| Life expectancy at birth: | female: 82 years (2016 est.) |
| Total fertility rate: | 1.35 children born/woman (2016 est.) |
| Health expenditures: | 9.2% of GDP (2014) |
| Physicians density: | 2.54 physicians/1,000 population (2010) |
| Hospital bed density: | 4.6 beds/1,000 population (2013) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.7% of population |
| Drinking water source: | rural: 99.4% of population |
| Drinking water source: | total: 99.5% of population |
| unimproved: | urban: 0.3% of population |
| unimproved: | rural: 0.6% of population |
| unimproved: | total: 0.5% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 99.1% of population |
| Sanitation facility access: | rural: 99.1% of population |
| Sanitation facility access: | total: 99.1% of population |
| unimproved: | urban: 0.9% of population |
| unimproved: | rural: 0.9% of population |
| unimproved: | total: 0.9% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.08% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 900 (2014 est.) |
| HIV/AIDS - deaths: | less than 100 (2014 est.) |
| Obesity - adult prevalence rate: | 27.4% (2014) |
| Education expenditures: | 5.7% of GDP (2012) |
| Literacy: | definition: NA |
| Literacy: | total population: 99.7% |
| Literacy: | male: 99.7% |
| Literacy: | female: 99.7% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 17 years |
| School life expectancy (primary to tertiary education): | male: 17 years |
| School life expectancy (primary to tertiary education): | female: 18 years (2014) |
| Unemployment, youth ages 15-24: | total: 20.2% |
| Unemployment, youth ages 15-24: | male: 19.4% |
| Unemployment, youth ages 15-24: | female: 21.3% (2014 est.) |
