| People and Society | ANTIGUA AND BARBUDA |
| --- | --- |
| Population: | 94,731 (July 2017 est.) |
| Nationality: | noun: Antiguan(s), Barbudan(s) |
| Nationality: | adjective: Antiguan, Barbudan |
| Ethnic groups: | black 87.3%, mixed 4.7%, hispanic 2.7%, white 1.6%, other 2.7%, unspecified 0.9% (2011 est.) |
| Languages: | English (official), Antiguan creole |
| Religions: | Protestant 68.3% (Anglican 17.6%, Seventh Day Adventist 12.4%, Pentecostal 12.2%, Moravian 8.3%, Methodist 5.6%, Wesleyan Holiness 4.5%, Church of God 4.1%, Baptist 3.6%), Roman Catholic 8.2%, other 12.2%, unspecified 5.5%, none 5.9% (2011 est.) |
| Age structure: | 0-14 years: 23.09% (male 11,116/female 10,760) |
| Age structure: | 15-24 years: 16.83% (male 7,939/female 8,008) |
| Age structure: | 25-54 years: 42.19% (male 18,268/female 21,695) |
| Age structure: | 55-64 years: 9.83% (male 4,179/female 5,130) |
| Age structure: | 65 years and over: 8.06% (male 3,279/female 4,357) (2017 est.) |
| Dependency ratios: | total dependency ratio: 45.2 |
| Dependency ratios: | youth dependency ratio: 35.7 |
| Dependency ratios: | elderly dependency ratio: 9.6 |
| Dependency ratios: | potential support ratio: 10.5 (2015 est.) |
| Median age: | total: 31.9 years |
| Median age: | male: 30 years |
| Median age: | female: 33.5 years (2017 est.) |
| Population growth rate: | 1.21% (2017 est.) |
| Birth rate: | 15.7 births/1,000 population (2017 est.) |
| Death rate: | 5.7 deaths/1,000 population (2017 est.) |
| Net migration rate: | 2.2 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | the island of Antigua is home to approximately 97% of the population; nearly the entire population of Barbuda lives in Codrington |
| Urbanization: | urban population: 23% of total population (2017) |
| Urbanization: | rate of urbanization: -0.38% annual rate of change (2015-20 est.) |
| Major urban areas - population: | SAINT JOHN'S (capital) 22,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.03 male(s)/female |
| Sex ratio: | 15-24 years: 0.99 male(s)/female |
| Sex ratio: | 25-54 years: 0.84 male(s)/female |
| Sex ratio: | 55-64 years: 0.82 male(s)/female |
| Sex ratio: | 65 years and over: 0.76 male(s)/female |
| Sex ratio: | total population: 0.9 male(s)/female (2016 est.) |
| Infant mortality rate: | total: 12.1 deaths/1,000 live births |
| Infant mortality rate: | male: 13.9 deaths/1,000 live births |
| Infant mortality rate: | female: 10.2 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 76.7 years |
| Life expectancy at birth: | male: 74.6 years |
| Life expectancy at birth: | female: 79 years (2017 est.) |
| Total fertility rate: | 2 children born/woman (2017 est.) |
| Health expenditures: | 5.5% of GDP (2014) |
| Hospital bed density: | 2.1 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 97.9% of population |
| Drinking water source: | rural: 97.9% of population |
| Drinking water source: | total: 97.9% of population |
| unimproved: | urban: 2.1% of population |
| unimproved: | rural: 2.1% of population |
| unimproved: | total: 2.1% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 91.4% of population |
| Sanitation facility access: | rural: 91.4% of population |
| Sanitation facility access: | total: 91.4% of population |
| unimproved: | urban: 8.6% of population |
| unimproved: | rural: 8.6% of population |
| unimproved: | total: 8.6% of population (2011 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Obesity - adult prevalence rate: | 18.9% (2016) |
| Education expenditures: | 2.6% of GDP (2009) |
| Literacy: | definition: age 15 and over has completed five or more years of schooling |
| Literacy: | total population: 99% |
| Literacy: | male: 98.4% |
| Literacy: | female: 99.4% (2012 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2012) |
