| People and Society | Senegal |
| --- | --- |
| Nationality: | noun: Senegalese (singular and plural) |
| Nationality: | adjective: Senegalese |
| Ethnic groups: | Wolof 43.3%, Pular 23.8%, Serer 14.7%, Jola 3.7%, Mandinka 3%, Soninke 1.1%, European and Lebanese 1%, other 9.4% |
| Languages: | French (official), Wolof, Pulaar, Jola, Mandinka |
| Religions: | Muslim 94%, Christian 5% (mostly Roman Catholic), indigenous beliefs 1% |
| Population: | 12,969,606 (July 2012 est.) |
| Age structure: | 0-14 years: 43% (male 2,802,171/ female 2,775,607) |
| Age structure: | 15-64 years: 54.1% (male 3,299,604/ female 3,720,007) |
| Age structure: | 65 years and over: 2.9% (male 170,667/ female 201,550) (2012 est.) |
| Age structure: | population pyramid: [] |
| Median age: | total: 18.2 years |
| Median age: | male: 17.3 years |
| Median age: | female: 19 years (2012 est.) |
| Population growth rate: | 2.532% (2012 est.) |
| Birth rate: | 36.19 births/1,000 population (2012 est.) |
| Death rate: | 9.05 deaths/1,000 population (July 2012 est.) |
| Net migration rate: | -1.82 migrant(s)/1,000 population (2012 est.) |
| Urbanization: | urban population: 42% of total population (2010) |
| Urbanization: | rate of urbanization: 3.3% annual rate of change (2010-15 est.) |
| Major cities - population: | DAKAR (capital) 2.777 million (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 0.89 male(s)/female |
| Sex ratio: | 65 years and over: 0.85 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2011 est.) |
| Maternal mortality rate: | 370 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 55.16 deaths/1,000 live births |
| Infant mortality rate: | male: 61.57 deaths/1,000 live births |
| Infant mortality rate: | female: 48.56 deaths/1,000 live births (2012 est.) |
| Life expectancy at birth: | total population: 60.18 years |
| Life expectancy at birth: | male: 58.22 years |
| Life expectancy at birth: | female: 62.19 years (2012 est.) |
| Total fertility rate: | 4.69 children born/woman (2012 est.) |
| Health expenditures: | 5.7% of GDP (2009) |
| Physicians density: | 0.059 physicians/1,000 population (2008) |
| Hospital bed density: | 0.34 beds/1,000 population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 69% of population |
| Sanitation facility access: | rural: 38% of population |
| Sanitation facility access: | total: 51% of population |
| unimproved: | urban: 31% of population |
| unimproved: | rural: 62% of population |
| unimproved: | total: 49% of population |
| HIV/AIDS - adult prevalence rate: | 0.9% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 59,000 (2009 est.) |
| HIV/AIDS - deaths: | 2,600 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: Crimean-Congo hemorrhagic fever, dengue fever, malaria, Rift Valley fever, and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies (2009) |
| Children under the age of 5 years underweight: | 14.5% (2005) |
| Education expenditures: | 5.8% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 39.3% |
| Literacy: | male: 51.1% |
| Literacy: | female: 29.2% (2002 est.) |
| School life expectancy (primary to tertiary education): | total: 8 years |
| School life expectancy (primary to tertiary education): | male: 8 years |
| School life expectancy (primary to tertiary education): | female: 7 years (2008) |
| Unemployment, youth ages 15-24: | total: 14.8% |
| Unemployment, youth ages 15-24: | male: 11.9% |
| Unemployment, youth ages 15-24: | female: 20.1% (2006) |
